Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;3;2;0;0;0;97,048611;172;0;14620;0;0;2000;13334
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;6;2;0;0;0;97,743056;162;0;21060;0;52500;2000;13334
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;7;2;0;0;0;98,321759;152;0;22040;0;52500;2000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;8;4;2;0;0;0;0;0;0;0;8;4;2;0;0;97,673611;142;0;38056;0;52500;41000;20001
4_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;16;3;0;0;0;0;0;0;0;0;16;3;0;0;0;97,916667;132;0;39600;0;337500;3000;26668
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;15;3;1;0;0;0;0;0;0;0;15;3;1;0;0;98,153935;122;0;38918;0;52500;21500;20001
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;20;6;0;0;0;0;0;0;0;0;20;6;0;0;0;97,916667;112;0;47040;0;52500;6000;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;9;0;0;0;0;0;0;0;0;23;9;0;0;0;97,721354;122;0;64050;0;52500;9000;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;7;0;0;0;0;0;0;0;0;23;7;0;0;0;98,128858;132;0;64020;0;52500;7000;20001
9_0;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;19;8;0;0;0;0;0;0;0;0;19;8;0;0;0;97,829861;142;25560;63190;0;52500;63500;20001
10_0;1;1;0;4;3;0;0;0;0;0;0;0;0;0;0;0;24;16;1;0;0;0;0;0;0;1;24;16;1;0;1;96,019571;152;27360;108528;55784;337500;90000;26668
11_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;33;12;0;0;0;0;0;0;0;2;33;12;0;0;1;95,613426;162;9720;119070;116802;52500;30500;20001
