Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;21;6;0;0;0;0;3;1;0;0;21;9;1;0;0;93,993056;172;0;74820;222740;157500;6000;13334
1_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;11;1;0;0;0;0;0;0;0;24;8;0;0;0;98,034722;162;0;91692;0;157500;29500;20001
2_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;17;2;0;0;0;0;0;0;0;25;17;2;0;0;97,281250;152;0;119016;0;105000;54000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;30;3;2;0;0;0;0;0;0;0;30;3;2;0;0;97,993056;142;0;82076;0;52500;40000;20001
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;26;12;2;0;0;0;0;0;1;0;26;12;2;1;0;95,927083;132;0;92136;62700;52500;49000;20001
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;30;9;1;0;0;0;0;0;1;0;30;9;1;0;0;95,194444;122;0;81008;87840;52500;27500;20001
6_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;27;9;2;1;0;0;0;0;0;0;27;9;2;0;0;97,642361;112;0;76048;0;337500;119500;26668
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;10;1;0;0;0;0;0;0;0;25;10;1;0;0;97,885417;122;0;74298;0;52500;28500;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;10;0;0;0;0;0;0;0;1;21;10;0;0;1;96,326389;132;0;67980;71676;52500;10000;20001
9_0;3;0;0;7;11;0;0;0;0;0;0;0;0;0;0;0;26;6;0;0;0;0;6;1;0;2;26;12;1;0;1;85,388889;142;93720;72420;431396;157500;209500;46669
