Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97,916667;172;0;2580;0;0;0;13334
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;2;1;1;0;0;96,111111;162;0;13608;0;52500;19500;20001
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;99,027778;152;0;5320;0;52500;1000;13334
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;5;0;1;0;0;98,107639;142;0;15478;0;52500;18500;20001
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0;0;8;3;0;0;0;97,727273;132;0;23760;0;52500;3000;20001
5_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0;0;0;9;4;0;0;0;97,867063;122;0;26230;0;52500;4000;13334
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;5;1;0;0;0;0;0;0;0;12;5;1;0;0;97,577160;112;0;35168;0;52500;23500;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;15;5;0;0;0;0;0;0;0;0;15;5;0;0;0;97,948232;122;0;39650;0;52500;5000;20001
8_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;10;5;1;0;0;0;0;0;0;0;10;5;1;0;0;98,482906;132;0;37488;0;337500;23500;26668
9_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;16;9;1;0;0;0;0;0;0;0;16;9;1;0;0;97,697133;142;8520;64468;0;52500;46000;20001
10_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;9;0;0;0;0;0;0;0;0;21;9;0;0;0;98,090278;152;0;75240;0;105000;9000;20001
11_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;12;4;0;0;0;0;0;0;0;24;12;4;0;0;97,506775;162;0;119232;0;157500;86000;20001
12_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;28;3;0;0;0;0;11;1;1;1;28;14;1;1;1;81,480496;172;0;82560;995364;157500;3000;13334
13_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;22;0;0;0;0;2;2;2;1;28;13;1;1;0;86,535639;162;0;121824;710532;157500;22000;20001
14_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;9;5;0;0;0;0;0;2;1;29;7;3;0;0;93,180320;152;0;112024;328320;157500;101500;20001
15_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;41;15;1;0;0;0;0;0;2;1;41;15;1;0;0;93,457492;142;0;134758;306720;105000;33500;20001
16_0;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;45;16;0;0;0;0;0;0;2;2;45;16;0;0;1;93,375190;132;15840;131340;312444;105000;53000;20001
17_0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;58;21;2;0;0;0;0;0;2;3;58;21;2;0;1;91,644097;122;14640;165676;406870;105000;95000;26668
0_1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97,916667;172;0;2580;0;0;0;13334
1_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;97,916667;162;0;7290;0;52500;0;20001
2_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;98,611111;152;0;7600;0;52500;1000;13334
3_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;98,437500;142;0;12780;0;52500;0;20001
4_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0;0;7;0;1;0;0;98,244949;132;0;18348;0;52500;18500;20001
5_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;8;2;0;0;0;98,412698;122;0;19520;0;52500;2000;13334
