Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;10;5;0;0;0;0;0;0;0;0;10;5;0;0;0;97,829861;172;0;43000;0;52500;5000;20001
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0;0;11;1;0;0;0;98,394097;162;0;29970;0;52500;1000;13334
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;6;0;0;0;0;0;0;0;0;14;6;0;0;0;97,135417;152;0;50160;0;52500;6000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;10;3;0;0;0;0;0;0;0;0;10;3;0;0;0;98,177083;142;0;29820;0;52500;3000;20001
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;9;2;0;0;0;98,480903;132;0;23100;0;52500;2000;20001
5_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;7;0;0;0;0;0;0;0;0;9;7;0;0;0;97,612847;122;0;33550;0;52500;7000;13334
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;20;11;0;0;0;0;0;0;0;0;20;11;0;0;0;97,743056;112;0;58240;0;52500;11000;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;6;0;0;0;0;0;0;0;0;23;6;0;0;0;97,981771;122;0;56730;0;52500;6000;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;15;6;0;0;0;0;0;0;0;0;15;6;0;0;0;98,502604;132;0;45540;0;52500;6000;20001
9_0;2;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;15;11;1;0;0;0;0;0;0;2;15;11;1;0;2;93,532986;142;34080;68018;109482;105000;103500;26668
