Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;4;0;0;0;0;7;0;0;0;24;11;0;0;0;93,607639;172;0;75680;240972;157500;4000;13334
1_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;26;19;1;0;0;0;0;0;0;0;26;12;1;0;0;97,500000;162;0;116640;0;157500;37500;20001
2_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;18;10;0;0;0;0;0;0;0;0;18;10;0;0;0;98,368056;152;0;71440;0;105000;10000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;7;0;0;0;0;0;0;0;0;27;7;0;0;0;98,107639;142;0;77390;0;52500;7000;20001
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;15;0;0;0;0;0;0;0;0;29;15;0;0;0;97,447917;132;0;97020;0;52500;15000;20001
5_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;11;1;0;0;0;0;0;0;0;24;11;1;0;0;97,868056;122;0;74908;0;52500;29500;13334
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;11;2;0;0;0;0;0;0;0;27;11;2;0;0;97,593750;112;0;77616;0;52500;48000;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;30;16;0;0;0;0;0;0;0;1;30;16;0;0;1;95,340278;122;0;93940;69784;52500;16000;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;20;9;0;0;0;0;0;0;0;2;20;9;0;0;1;95,583333;132;0;63360;104544;52500;9000;20001
9_0;3;0;0;6;10;0;0;0;0;0;0;0;0;0;0;0;23;10;1;0;0;0;0;0;0;2;23;10;1;0;0;90,906250;142;85200;82218;204480;157500;213500;40002
10_0;3;1;0;5;6;0;0;0;0;0;0;0;0;0;0;0;27;5;0;0;0;0;4;1;0;2;27;9;1;0;0;82,052083;152;54720;76760;654208;442500;116000;33335
11_0;3;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;27;7;0;0;0;0;15;2;0;3;27;18;1;0;1;68,868056;162;19440;88290;1.34476e+06;157500;44000;13334
12_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;28;3;0;0;0;0;19;5;0;3;28;7;3;0;0;38,708333;172;0;82560;2.95358e+06;157500;3000;13334
13_0;3;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;4;26;7;0;3;26;7;2;0;0;16,843750;162;29160;53460;3.79712e+06;157500;55500;20001
14_0;3;0;0;6;7;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;1;38;8;0;3;18;12;1;0;0;-7,888889;152;63840;42408;4.6167e+06;157500;129500;40002
15_0;3;0;0;7;12;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;9;52;9;0;3;24;14;1;0;0;-55,597222;142;102240;34080;6.22698e+06;157500;222000;46669
16_0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;34;56;10;0;0;0;0;0;0;3;25;4;1;0;0;88,576389;132;0;149160;285120;157500;241000;33335
17_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;9;1;0;0;0;0;0;1;3;24;9;1;1;0;88,923611;122;0;70028;319152;52500;27500;13334
18_0;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;22;12;0;0;3;0;0;0;1;0;22;12;0;0;0;94,979167;112;0;81312;80640;4552500;1.0155e+06;40002
19_0;2;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;24;14;1;0;0;0;0;0;1;0;24;14;1;0;0;94,534722;122;21960;82228;87840;105000;88000;20001
20_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;10;0;0;0;0;0;0;1;0;28;10;0;0;0;95,347222;132;0;81840;95040;52500;10000;20001
21_0;3;1;0;8;0;10;0;0;0;0;0;0;0;0;0;0;30;6;1;1;0;0;0;0;0;0;30;6;1;0;0;95,729167;142;85200;89460;0;442500;283000;53336
22_0;3;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;23;11;1;0;0;0;0;0;0;0;23;11;1;0;0;97,295139;152;27360;91048;0;157500;85000;20001
23_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;12;1;0;0;0;0;0;0;1;26;12;1;0;1;95,690972;162;0;107568;93474;157500;30500;13334
24_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;5;0;0;0;0;5;0;1;1;23;10;0;1;0;87,166667;172;0;76540;559172;157500;5000;13334
25_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;11;0;0;0;0;0;0;1;1;27;6;0;0;0;93,038194;162;0;91530;233280;157500;11000;20001
