Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;3;0;0;0;0;0;0;0;0;13;3;0;0;0;98,229167;172;0;43860;0;105000;3000;6667
1_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11;7;1;0;0;0;0;0;0;0;11;7;1;0;0;97,645833;162;0;54918;0;105000;25500;13334
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;14;3;0;0;0;0;0;0;0;0;14;3;0;0;0;98,125000;152;0;41040;0;52500;3000;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;14;5;1;0;0;0;0;0;1;0;14;5;1;1;0;95,979167;142;0;48848;33370;52500;23500;13334
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;16;5;0;0;0;0;0;0;1;0;16;5;0;0;0;92,638889;132;0;44880;95040;52500;5000;13334
5_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;5;0;0;0;0;0;0;1;0;15;5;0;0;0;92,743056;122;0;39650;87840;52500;5000;13334
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;13;2;0;0;0;0;0;1;0;23;13;2;0;0;95,163194;112;0;75376;80640;52500;50000;13334
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;22;8;2;0;0;0;0;0;1;0;22;8;2;0;0;95,562500;122;0;68076;87840;52500;45000;13334
8_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;9;0;0;0;0;0;0;2;1;24;9;0;1;1;93,937500;132;0;71280;159192;52500;9000;13334
9_0;3;1;0;7;9;0;0;0;0;0;0;0;0;0;0;0;29;12;3;3;0;0;0;0;0;1;29;12;3;1;0;90,906250;142;76680;192978;102240;442500;454500;46669
10_0;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;23;9;0;0;0;0;0;0;0;1;23;9;0;0;0;95,260417;152;18240;79800;109440;105000;46000;20001
11_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;27;8;1;0;0;0;0;0;0;2;27;8;1;0;1;94,607639;162;0;97038;154548;157500;26500;13334
12_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;14;1;0;2;36;14;1;0;0;83,664352;172;0;92880;1.12092e+06;157500;0;6667
13_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;37;19;0;0;0;0;11;2;0;3;37;16;1;0;1;72,620370;162;0;145638;1.7705e+06;157500;19000;13334
14_0;3;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;34;26;3;0;0;0;0;0;0;3;34;15;1;0;0;92,601852;152;9120;148352;328320;157500;100000;20001
15_0;3;1;0;6;8;0;0;0;0;0;0;0;0;0;0;0;38;14;0;1;0;0;0;0;0;4;38;14;0;1;1;90,557870;142;68160;195960;315098;442500;235500;40002
16_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;42;17;1;0;0;0;0;0;0;4;42;17;1;0;0;91,009259;132;0;132528;380160;52500;35500;13334
17_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;48;19;1;0;0;0;0;0;1;5;48;19;1;1;1;92,734375;122;0;138348;372222;52500;37500;13334
0_1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;0;0;0;0;0;0;0;12;2;0;0;0;98,472222;172;0;37840;0;105000;2000;6667
1_1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;4;0;0;0;0;0;0;0;0;15;4;0;0;0;97,881944;162;0;49410;0;105000;4000;13334
2_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11;4;0;0;0;0;0;0;0;1;11;4;0;0;1;95,750000;152;0;37240;55784;52500;4000;13334
3_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;13;7;0;0;0;0;0;0;0;1;13;7;0;0;0;92,673611;142;0;47570;102240;52500;7000;13334
4_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;3;0;0;0;0;0;0;0;1;12;3;0;0;0;93,333333;132;0;31680;95040;52500;3000;13334
5_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;9;1;0;0;0;0;0;0;1;15;9;1;0;0;91,951389;122;0;53558;87840;52500;27500;13334
6_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;21;13;0;0;0;0;0;0;0;1;21;13;0;0;0;95,503472;112;0;64400;80640;52500;13000;13334
7_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;25;12;0;0;0;0;0;0;0;1;25;12;0;0;0;95,364583;122;0;75030;87840;52500;12000;13334
8_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;11;1;0;0;0;0;0;0;1;26;11;1;0;0;95,263889;132;0;85008;95040;52500;29500;13334
9_1;3;1;0;7;9;0;0;0;0;0;0;0;0;0;0;0;25;14;3;0;0;0;0;0;0;3;25;14;3;0;2;88,687500;142;76680;107494;278462;442500;236000;46669
10_1;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;29;13;1;0;0;0;0;0;0;3;29;13;1;0;0;89,552083;152;18240;110808;328320;105000;68500;20001
11_1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;27;11;0;0;0;0;0;0;0;4;27;11;0;0;1;90,045139;162;0;101250;363204;157500;11000;13334
12_1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;1;10;2;0;5;38;10;2;0;1;77,064815;172;0;95460;1.60872e+06;157500;0;6667
