Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;98,958333;172;0;2580;0;0;0;13334
1_0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;98,437500;162;0;7290;0;0;0;6667
2_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;4;1;0;0;0;98,148148;152;0;12160;0;52500;1000;6667
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;5;2;0;0;0;98,003472;142;0;16330;0;52500;2000;13334
4_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;7;2;0;0;0;97,986111;132;0;19140;0;52500;2000;6667
5_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;8;0;0;0;0;98,611111;122;0;14640;0;52500;0;6667
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;2;1;0;0;0;0;0;0;0;9;2;1;0;0;97,926587;112;0;23408;0;52500;20500;13334
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11;3;0;0;0;0;0;0;0;1;11;3;0;0;1;96,927083;122;0;27450;15738;52500;3000;13334
8_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;10;1;0;0;0;0;0;0;1;12;10;1;0;0;91,250000;132;0;54648;95040;52500;28500;13334
9_0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;11;5;0;0;0;0;0;0;0;1;11;5;0;0;0;92,743056;142;8520;37630;102240;52500;23500;13334
