Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;20;6;0;0;0;0;5;0;0;0;20;11;0;0;0;93,496528;172;0;72240;249916;157500;6000;6667
1_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;30;17;0;0;0;0;0;0;0;0;30;12;0;0;0;97,465278;162;0;118260;0;157500;17000;13334
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;9;0;0;0;0;0;0;1;0;26;9;0;1;0;97,583333;152;0;86640;19152;52500;9000;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;27;5;1;0;0;0;0;0;2;0;27;5;1;1;0;93,493056;142;0;76538;189570;52500;23500;13334
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;14;0;0;0;0;0;0;3;1;24;14;0;1;1;89,336806;132;0;84480;320892;52500;14000;13334
5_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;30;14;1;0;0;0;0;0;3;2;30;14;1;0;1;87,239583;122;0;93208;355142;52500;32500;13334
6_0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;13;0;3;0;0;0;0;0;3;28;13;0;0;1;91,298611;112;0;84896;195776;337500;233500;20001
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;20;12;1;0;0;0;0;0;0;3;20;12;1;0;0;90,506944;122;0;70028;263520;52500;30500;13334
8_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;30;7;1;0;0;0;0;0;0;3;30;7;1;0;0;90,333333;132;0;82368;285120;52500;25500;13334
9_0;3;0;0;7;11;0;0;0;0;0;0;0;0;0;0;0;25;8;0;0;0;0;1;0;0;4;25;9;0;0;1;86,899306;142;93720;75970;366076;157500;211500;46669
10_0;3;1;0;4;6;0;0;0;0;0;0;0;0;0;0;0;24;9;0;1;0;0;3;0;0;4;24;11;0;1;0;80,041667;152;54720;162640;656336;442500;193500;26668
11_0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;28;12;1;0;0;1;0;0;0;5;29;9;1;0;1;85,184028;162;9720;106596;574938;157500;49000;13334
12_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;27;4;0;0;0;0;6;1;1;5;26;10;1;1;0;76,027778;172;0;81356;1.10613e+06;157500;4000;6667
13_0;3;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;23;8;0;1;0;0;5;2;0;5;23;7;1;0;0;69,704861;162;19440;84078;1.30993e+06;442500;118500;20001
14_0;3;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;23;1;0;0;0;0;19;4;0;6;23;15;2;0;1;46,694444;152;63840;55480;2.21418e+06;157500;130500;33335
15_0;3;0;0;8;13;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;20;25;5;0;6;25;6;1;0;0;-10,972222;142;110760;10650;4.41691e+06;157500;240500;53336
16_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;47;36;7;0;0;0;0;0;0;6;27;11;2;0;0;81,309028;132;0;140316;570240;105000;165500;26668
17_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;46;19;0;0;0;0;0;0;0;7;46;19;0;0;1;89,553819;122;0;130540;603534;52500;19000;20001
0_1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;20;6;0;0;0;0;5;0;0;0;20;11;0;0;0;93,118056;172;0;72240;268664;157500;6000;6667
1_1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;18;1;0;0;0;0;0;0;0;23;13;1;0;0;97,642361;162;0;109998;0;157500;36500;13334
2_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;7;0;0;0;0;0;0;0;0;24;7;0;0;0;98,263889;152;0;76000;0;52500;7000;13334
3_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;12;1;0;0;0;0;0;0;0;24;12;1;0;0;97,798611;142;0;90028;0;52500;30500;13334
4_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;21;7;0;0;0;0;0;0;0;0;21;7;0;0;0;98,420139;132;0;60060;0;52500;7000;13334
5_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;27;14;0;0;0;0;0;0;0;0;27;14;0;0;0;97,621528;122;0;83570;0;52500;14000;13334
6_1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;26;12;1;1;0;0;0;0;0;0;26;12;1;1;0;95,854167;112;0;133728;0;337500;104000;20001
7_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;19;1;0;0;0;0;0;0;0;23;19;1;0;0;97,364583;122;0;92598;0;52500;37500;13334
8_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;10;2;0;0;0;0;0;0;1;24;10;2;0;1;95,368056;132;0;82896;93192;52500;47000;13334
9_1;3;0;0;7;11;0;0;0;0;0;0;0;0;0;0;0;22;9;0;0;0;0;1;1;0;2;22;10;1;0;1;90,486111;142;93720;72420;222940;157500;212500;46669
10_1;3;1;0;4;6;0;0;0;0;0;0;0;0;0;0;0;26;8;0;1;0;0;4;1;0;2;26;11;0;1;0;80,243056;152;54720;164160;646000;442500;192500;26668
11_1;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;30;14;0;0;0;0;3;1;0;2;30;13;0;0;0;82,298611;162;9720;116316;699840;157500;32500;13334
12_1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;27;4;0;0;0;0;5;2;0;2;27;6;1;0;0;80,243056;172;0;83420;895260;157500;4000;6667
13_1;3;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;26;7;0;0;0;0;6;2;0;3;26;8;0;0;1;72,895833;162;19440;85860;1.15927e+06;442500;44000;20001
14_1;3;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;21;2;0;0;0;0;8;2;0;3;21;4;0;0;0;66,673611;152;63840;53960;1.3411e+06;157500;131500;33335
15_1;3;0;0;8;13;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;20;15;2;0;3;25;7;0;0;0;30,482639;142;110760;10650;2.72157e+06;157500;240500;53336
16_1;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;53;26;3;0;0;0;0;0;0;3;33;11;1;0;0;89,121528;132;0;128436;285120;105000;81500;26668
17_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;50;17;3;0;0;0;0;0;0;4;50;17;3;0;1;93,748264;122;0;145424;293898;52500;72500;20001
0_2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;24;5;0;0;0;0;6;0;0;0;24;11;0;0;0;91,059028;172;0;79120;363780;157500;5000;6667
1_2;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;18;0;0;0;0;0;0;0;0;24;12;0;0;0;97,750000;162;0;104976;0;157500;18000;13334
2_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;25;9;0;0;0;0;0;0;0;0;25;9;0;0;0;98,072917;152;0;84360;0;52500;9000;13334
3_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;29;12;1;0;0;0;0;0;0;0;29;12;1;0;0;97,538194;142;0;100678;0;52500;30500;13334
4_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;28;10;0;0;0;0;0;0;0;0;28;10;0;0;0;97,847222;132;0;81840;0;52500;10000;13334
5_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;25;11;0;0;0;0;0;0;1;0;25;11;0;1;0;96,461806;122;0;72590;51728;52500;11000;13334
6_2;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;30;8;1;1;0;0;0;0;0;1;30;8;1;0;1;95,944444;112;0;75040;55776;337500;100000;20001
7_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;27;6;2;0;0;0;0;0;0;2;27;6;2;0;1;95,090278;122;0;72346;100162;52500;43000;13334
8_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;8;2;0;0;0;0;0;0;2;23;8;2;0;0;93,010417;132;0;75636;190080;52500;45000;13334
9_2;3;0;0;7;11;0;0;0;0;0;0;0;0;0;0;0;20;10;0;0;0;1;2;1;0;2;21;12;1;0;0;85,069444;142;93720;71000;445880;157500;213500;46669
10_2;3;1;0;4;6;0;0;0;0;0;0;0;0;0;0;0;26;8;0;1;0;5;4;2;0;3;30;10;1;1;1;72,763889;152;54720;164160;973408;442500;192500;26668
11_2;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;32;13;0;0;0;0;2;2;0;3;27;11;0;0;0;80,013889;162;9720;106272;816480;157500;31500;13334
12_2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;22;6;0;0;0;1;9;2;0;4;23;13;0;0;1;68,100694;172;0;77400;1.50276e+06;157500;6000;6667
13_2;3;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;25;8;0;0;0;0;9;2;0;4;24;8;0;0;0;60,267361;162;19440;84726;1.7496e+06;442500;45000;20001
14_2;3;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;22;1;0;0;0;0;20;2;0;4;22;12;0;0;0;41,364583;152;63840;53200;2.44978e+06;157500;130500;33335
15_2;3;0;0;8;13;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;20;30;2;1;4;25;10;0;1;0;-3,729167;142;110760;10650;4.1207e+06;157500;240500;53336
16_2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;43;42;2;0;0;0;0;0;1;4;23;12;0;0;0;84,274306;132;0;122628;475200;105000;79000;26668
17_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;46;23;2;0;0;0;0;0;1;5;46;23;2;0;1;91,416667;122;0;148596;454572;52500;60000;20001
0_3;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;22;6;0;0;0;0;0;0;0;0;22;6;0;0;0;98,437500;172;0;77400;0;157500;6000;6667
1_3;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;20;9;0;0;0;0;0;0;0;0;20;9;0;0;0;98,333333;162;0;77760;0;157500;9000;13334
2_3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;8;2;0;0;0;0;1;0;0;23;8;3;0;0;97,923611;152;0;87096;3800;52500;45000;13334
3_3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;21;6;5;0;0;0;0;0;0;0;21;6;4;0;0;97,940972;142;0;84206;0;52500;98500;13334
4_3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;21;15;1;0;0;0;0;0;0;1;21;15;1;0;1;96,302083;132;0;85668;54912;52500;33500;13334
5_3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;28;15;0;0;0;0;0;0;1;1;28;15;0;1;0;94,163194;122;0;87840;117242;52500;15000;13334
6_3;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;13;0;1;0;0;0;0;0;1;29;13;0;0;0;94,996528;112;0;80752;80640;337500;86500;20001
7_3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;30;9;2;0;0;0;0;0;0;1;30;9;2;0;0;95,076389;122;0;85156;87840;52500;46000;13334
8_3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;31;13;1;0;0;0;0;0;0;2;31;13;1;0;1;93,805556;132;0;100188;135300;52500;31500;13334
9_3;3;0;0;7;11;0;0;0;0;0;0;0;0;0;0;0;32;5;0;0;0;0;5;2;0;3;32;10;2;0;1;80,510417;142;93720;82360;620966;157500;208500;46669
10_3;3;1;0;4;6;0;0;0;0;0;0;0;0;0;0;0;19;10;0;0;0;0;0;3;0;3;19;5;1;0;0;82,409722;152;54720;64600;650712;442500;121000;26668
11_3;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;27;15;0;0;0;1;0;4;0;4;28;15;1;0;1;81,034722;162;9720;114210;760914;157500;33500;13334
12_3;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;25;4;0;0;0;0;4;7;0;4;24;8;3;0;0;68,687500;172;0;76196;1.4749e+06;157500;4000;6667
13_3;3;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;28;6;0;1;0;0;4;9;0;4;28;6;2;1;0;55,197917;162;19440;173340;1.89751e+06;442500;116500;20001
14_3;3;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;2;12;10;0;4;28;8;1;0;0;44,118056;152;63840;59280;2.32317e+06;157500;129500;33335
15_3;3;0;0;8;13;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;22;21;11;0;4;25;9;1;0;0;-5,892361;142;110760;10650;4.20916e+06;157500;240500;53336
16_3;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;46;30;11;0;0;0;0;0;1;4;24;9;0;1;0;84,711806;132;0;134112;447084;105000;233500;26668
17_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;44;20;2;0;0;0;0;0;1;4;44;20;2;0;0;91,791667;122;0;137616;439200;52500;57000;20001
0_4;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;25;4;0;0;0;0;4;1;0;0;25;8;1;0;0;93,052083;172;0;78260;265912;157500;4000;6667
1_4;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;25;15;3;0;0;0;0;0;0;0;25;11;2;0;0;97,510417;162;0;116154;0;157500;70500;13334
2_4;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;9;1;0;0;0;0;1;1;0;26;9;2;1;0;95,656250;152;0;91808;98344;52500;27500;13334
3_4;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;30;11;3;0;0;0;0;0;1;0;30;11;2;0;0;94,861111;142;0;107920;102240;52500;66500;13334
4_4;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;25;10;0;0;0;0;0;0;1;0;25;10;0;0;0;95,503472;132;0;75900;95040;52500;10000;13334
5_4;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;16;13;1;0;0;0;0;0;1;0;16;13;1;0;0;95,645833;122;0;65148;87840;52500;31500;13334
6_4;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;10;2;1;0;0;0;0;0;0;23;10;2;0;0;97,781250;112;0;71568;0;337500;120500;20001
7_4;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;22;13;1;0;0;0;0;0;0;0;22;13;1;0;0;97,833333;122;0;76128;0;52500;31500;13334
8_4;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;20;12;2;0;0;0;0;0;0;1;20;12;2;0;1;96,013889;132;0;80256;71280;52500;49000;13334
9_4;3;0;0;7;11;0;0;0;0;0;0;0;0;0;0;0;22;9;0;0;0;0;1;1;0;1;22;10;1;0;0;91,996528;142;93720;72420;161170;157500;212500;46669
10_4;3;1;0;4;6;0;0;0;0;0;0;0;0;0;0;0;26;8;0;0;0;0;3;1;0;1;26;10;0;0;0;87,552083;152;54720;83600;406600;442500;119000;26668
11_4;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;25;16;0;0;0;1;0;1;0;1;26;13;0;0;0;90,055556;162;9720;106758;347490;157500;34500;13334
12_4;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;20;6;0;0;0;0;4;4;0;2;19;10;3;0;1;83,027778;172;0;70176;770560;157500;6000;6667
13_4;3;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;20;10;0;0;0;0;3;4;0;3;20;9;0;0;1;75,003472;162;19440;79056;1.06774e+06;442500;47000;20001
14_4;3;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;17;3;0;0;0;0;8;4;0;3;17;8;0;0;0;66,430556;152;63840;47880;1.35782e+06;157500;132500;33335
15_4;3;0;0;8;13;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;16;20;4;0;4;21;12;0;0;1;16,159722;142;110760;10650;3.30732e+06;157500;240500;53336
16_4;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;40;31;5;0;0;0;0;0;0;5;24;11;1;0;1;86,180556;132;0;120120;405240;105000;123500;26668
17_4;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;52;19;4;0;0;0;0;0;0;5;52;19;4;0;0;91,500000;122;0;158112;439200;52500;93000;20001
