Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;77,500000;172;0;2580;25284;0;0;6667
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;98,935185;162;0;3726;0;52500;1000;13334
2_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;3;3;0;0;0;97,083333;152;0;15960;0;52500;3000;6667
3_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;3;4;0;0;0;97,829861;142;0;17750;0;52500;4000;6667
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;3;1;0;0;0;0;0;0;0;5;3;1;0;0;97,866162;132;0;22308;0;52500;21500;13334
5_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;1;1;5;2;0;1;1;91,736111;122;0;14030;87596;52500;2000;6667
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;6;0;0;0;0;0;0;1;1;12;6;0;0;0;86,574074;112;0;33600;161280;52500;6000;13334
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;3;0;0;0;0;0;0;1;1;15;3;0;0;0;89,109848;122;0;34770;175680;52500;3000;13334
8_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;19;8;0;0;0;0;0;0;1;2;19;8;0;0;1;88,547009;132;0;58740;224268;52500;8000;13334
9_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;16;4;0;0;0;0;0;0;3;2;16;4;0;2;0;86,491935;142;0;45440;382690;52500;4000;13334
10_0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;10;0;3;0;0;0;0;0;2;24;10;0;0;0;91,983025;152;0;96976;218880;337500;230500;20001
11_0;3;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;26;15;1;0;0;0;0;0;0;2;26;15;1;0;0;92,669377;162;0;117288;233280;442500;33500;20001
12_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;24;5;0;0;0;1;11;0;0;2;25;16;0;0;0;78,643617;172;0;79120;1.16392e+06;157500;5000;6667
13_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;30;22;0;0;0;0;4;3;0;2;29;15;3;0;0;82,376834;162;0;128628;960822;157500;22000;13334
14_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;35;19;4;0;0;0;0;0;0;2;35;15;1;0;0;94,357345;152;0;145464;218880;157500;93000;20001
15_0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;38;12;0;0;0;0;0;0;0;2;38;12;0;0;0;95,138889;142;8520;115020;204480;105000;30500;13334
16_0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;46;12;3;0;0;0;0;0;0;2;46;12;3;0;0;95,068493;132;15840;136224;190080;105000;104500;26668
17_0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;56;18;1;0;0;0;0;0;0;2;56;18;1;0;0;95,149306;122;14640;150548;175680;105000;73500;26668
0_1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97,916667;172;0;2580;0;0;0;6667
1_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;99,305556;162;0;2430;0;52500;0;13334
2_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;5;1;0;0;0;97,361111;152;0;14440;0;52500;1000;6667
3_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;5;3;0;0;0;97,656250;142;0;19170;0;52500;3000;6667
4_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;4;1;0;0;0;0;0;0;0;6;4;1;0;0;97,424242;132;0;26928;0;52500;22500;13334
5_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;4;0;0;0;0;0;0;1;0;10;4;0;1;0;93,700397;122;0;28060;49410;52500;4000;6667
6_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;0;0;1;0;8;4;0;0;0;92,901235;112;0;22400;80640;52500;4000;13334
