Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;10;4;0;0;0;0;0;0;0;0;10;4;0;0;0;98,003472;172;0;39560;0;105000;4000;13334
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;3;1;0;0;0;0;0;0;0;12;3;1;0;0;97,621528;162;0;44388;0;52500;21500;13334
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;1;0;0;0;0;0;0;0;0;12;1;0;0;0;98,263889;152;0;30400;0;52500;1000;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;0;0;0;0;0;0;0;12;2;0;0;0;98,090278;142;0;31240;0;52500;2000;13334
4_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;8;0;0;0;0;0;0;0;0;11;8;0;0;0;97,178819;132;0;42900;0;52500;8000;6667
5_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;1;5;5;0;0;1;97,222222;122;0;21350;17690;52500;5000;13334
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;25;8;0;0;0;0;0;0;0;1;25;8;0;0;0;94,552951;112;0;59920;80640;52500;8000;13334
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;21;8;0;0;0;0;0;0;1;1;21;8;0;1;0;94,279514;122;0;57950;102846;52500;8000;13334
8_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;21;7;0;0;0;0;0;0;1;2;21;7;0;0;1;89,782986;132;0;60060;250668;52500;7000;13334
9_0;3;0;0;6;9;0;0;0;0;0;0;0;0;0;0;0;20;10;2;0;0;0;0;0;1;2;20;10;2;0;0;85,815972;142;76680;80656;306720;157500;213500;40002
10_0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;15;6;0;2;0;0;0;0;0;2;15;6;0;1;0;89,839410;152;0;136952;218880;337500;153000;20001
11_0;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;18;5;1;1;0;0;0;0;0;2;18;5;1;1;0;89,696181;162;0;151308;233280;390000;97000;20001
12_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;29;3;0;0;0;0;11;1;0;2;29;14;1;0;0;82,910880;172;0;85140;930692;157500;3000;6667
13_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;37;19;0;0;0;0;3;2;0;2;37;11;1;0;0;83,402778;162;0;135918;793314;157500;19000;13334
14_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;31;13;2;0;0;0;0;0;0;3;31;10;0;0;1;91,756366;152;0;111416;321632;157500;50000;20001
15_0;3;0;0;6;7;0;0;0;0;0;0;0;0;0;0;0;38;11;0;0;0;0;0;0;0;3;38;11;0;0;0;90,248843;142;59640;112180;306720;157500;140500;40002
