Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;2;0;0;0;96,527778;172;0;17200;0;105000;2000;13334
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;5;2;0;0;0;98,003472;162;0;18630;0;52500;2000;13334
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;2;0;0;0;98,842593;152;0;15200;0;52500;2000;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;3;0;0;0;0;0;0;0;0;12;3;0;0;0;97,916667;142;0;34080;0;52500;3000;13334
4_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;15;7;0;0;0;0;0;0;0;0;15;7;0;0;0;97,465278;132;0;48180;0;52500;7000;6667
5_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;16;6;0;0;0;0;0;0;0;0;16;6;0;0;0;97,916667;122;0;43920;0;52500;6000;13334
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;17;12;1;0;0;0;0;0;0;0;17;12;1;0;0;97,375992;112;0;59248;0;52500;30500;13334
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;20;9;0;0;0;0;0;0;0;0;20;9;0;0;0;97,916667;122;0;58560;0;52500;9000;13334
8_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;6;2;0;0;0;0;0;0;1;26;6;2;0;1;95,783179;132;0;76296;67980;52500;43000;13334
9_0;2;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;28;13;0;0;0;0;0;0;0;2;28;13;0;0;1;93,881944;142;34080;96560;119564;105000;87000;26668
