Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;21;6;0;0;0;0;6;3;0;0;21;12;3;0;0;84,729167;172;0;74820;681636;157500;6000;6667
1_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;20;1;0;0;0;0;4;0;0;23;14;2;0;0;89,996528;162;0;114534;352188;157500;38500;13334
2_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;21;17;4;0;0;0;0;0;0;0;21;17;0;0;0;97,420139;152;0;112936;0;105000;91000;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;10;0;0;0;0;0;0;0;1;24;10;0;0;1;97,934028;142;0;79520;4970;52500;10000;13334
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;6;1;0;0;0;0;0;0;1;24;6;1;0;0;95,715278;132;0;67848;95040;52500;24500;13334
5_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;21;15;0;0;0;0;0;0;0;1;21;15;0;0;0;95,364583;122;0;75030;87840;52500;15000;13334
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;6;3;0;0;0;0;0;0;1;23;6;3;0;0;95,531250;112;0;63504;80640;52500;61500;13334
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;10;1;0;0;0;0;0;0;1;24;10;1;0;0;95,437500;122;0;72468;87840;52500;28500;13334
8_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;27;7;2;0;0;0;0;0;0;1;27;7;2;0;0;95,371528;132;0;80916;95040;52500;44000;13334
9_0;3;0;0;6;10;0;0;0;0;0;0;0;0;0;0;0;26;14;0;0;0;0;0;1;0;1;26;14;1;0;0;91,548611;142;85200;95140;165288;157500;199000;40002
10_0;3;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;25;8;0;0;0;0;0;1;0;1;25;8;0;0;0;91,892361;152;54720;81320;218880;157500;119000;26668
11_0;3;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;27;10;2;0;0;0;0;0;0;2;27;10;1;0;1;93,701389;162;9720;107082;177066;442500;65500;20001
12_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;22;6;0;0;0;3;4;0;0;3;25;10;0;0;1;84,819444;172;0;77400;674584;157500;6000;6667
13_0;3;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;5;14;1;0;3;26;10;1;0;0;58,857639;162;29160;58320;1.83206e+06;157500;55500;13334
14_0;3;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;15;23;3;0;3;33;9;2;0;0;10,736111;152;63840;52440;3.79134e+06;157500;129500;33335
15_0;3;0;0;8;13;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;40;36;4;1;3;28;13;1;1;0;-56,256944;142;110760;6390;6.27313e+06;157500;240500;53336
16_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;73;45;4;0;0;0;0;0;1;4;33;9;0;0;1;85,045139;132;0;154572;413952;105000;119000;26668
17_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;7;1;0;0;0;0;0;1;4;24;7;1;0;0;85,645833;122;0;65148;439200;52500;25500;13334
18_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;6;0;0;0;0;0;0;1;4;24;6;0;0;0;85,833333;112;0;53760;403200;52500;6000;13334
19_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;10;2;0;0;0;0;0;1;4;26;10;2;0;0;85,215278;122;0;80276;439200;52500;47000;13334
