Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100,000000;172;0;0;0;0;0;6667
1_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;96,597222;162;0;7938;0;0;18500;13334
2_0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;97,685185;152;0;7600;0;0;1000;6667
3_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;1;0;0;4;2;1;0;0;85,277778;142;0;14200;46008;0;2000;13334
4_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;98,138889;132;0;8844;0;0;18500;13334
5_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;1;0;0;0;0;0;0;0;4;2;1;0;0;96,898148;122;0;16348;0;0;20500;13334
6_0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;5;1;0;0;0;98,350694;112;0;10640;0;0;1000;6667
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;6;2;0;0;0;98,194444;122;0;15860;0;52500;2000;13334
8_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;6;1;0;0;0;98,726852;132;0;14520;0;52500;1000;6667
9_0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;6;2;0;0;0;98,115079;142;8520;18460;0;52500;20500;13334
