Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;6;1;1;0;0;0;0;0;0;0;6;1;1;0;0;96,666667;106.296;0;15306.6;0;52500;19500;20001
1_0;1;0;0;3;0;0;0;0;7;2;0;0;0;0;0;0;0;0;7;2;0;0;0;98,321759;105.205;0;15254.7;0;52500;2000;20001
2_0;1;0;0;3;0;0;0;0;11;4;1;0;0;0;0;0;0;0;11;4;1;0;0;97,847222;84.6637;0;23621.2;0;52500;22500;20001
3_0;1;0;0;3;0;0;0;0;17;11;0;0;0;0;0;0;0;0;17;11;0;0;0;97,251157;83.6099;0;39714.7;0;52500;11000;20001
4_0;1;0;0;3;0;0;0;0;23;11;1;0;0;0;0;0;0;0;23;11;1;0;0;97,316308;93.2017;0;55827.8;0;52500;29500;20001
5_0;1;0;0;3;0;0;0;0;26;9;0;0;0;0;0;0;0;0;26;9;0;0;0;97,916667;102.297;0;58309.5;0;52500;9000;20001
6_0;2;0;0;3;0;0;0;0;23;13;2;0;0;0;0;0;0;0;23;13;2;0;0;97,540205;124.668;0;83901.9;0;105000;50000;20001
7_0;2;0;0;3;0;0;0;0;34;9;1;0;0;0;0;0;0;0;34;9;1;0;0;97,353801;128.355;0;92929;0;105000;27500;20001
8_0;2;0;0;3;0;0;0;0;23;8;0;0;0;0;0;0;0;0;23;8;0;0;0;98,154240;169.512;0;85603.6;0;105000;8000;20001
9_0;2;0;0;3;0;0;0;0;24;4;1;0;0;0;0;0;0;1;24;4;1;0;1;97,467105;155.618;0;73762.9;34080.3;105000;22500;20001
10_0;2;0;0;3;0;0;0;0;21;9;0;0;0;0;0;0;0;1;21;9;0;0;0;95,559211;149.164;0;73836;107398;105000;9000;20001
11_0;1;0;0;3;0;0;0;0;20;10;1;0;0;0;0;0;0;1;20;10;1;0;0;95,416667;125.69;0;67118.5;90496.8;52500;28500;20001
12_0;3;0;0;5;6;0;0;0;25;11;0;0;0;0;0;0;0;2;25;11;0;0;1;94,648148;106.296;38266.5;63246;82804.5;157500;122000;33335
13_0;2;0;0;5;6;0;0;0;32;14;1;0;0;0;0;0;0;2;32;14;1;0;0;93,071581;105.205;37873.8;83532.7;151495;105000;143500;33335
14_0;3;0;0;5;6;0;0;0;29;17;1;0;0;0;0;0;0;2;29;17;1;0;0;93,858286;84.6637;30478.9;68492.9;121916;157500;146500;33335
15_0;6;0;0;12;20;0;0;0;42;19;0;0;0;0;0;0;0;2;42;19;0;0;0;92,319024;83.6099;100332;84446;120398;315000;389000;80004
16_0;2;0;0;3;0;0;0;0;49;18;3;0;0;0;0;0;1;3;49;18;3;1;1;93,664384;93.2017;0;111562;198799;105000;73500;20001
17_0;2;1;0;4;0;0;0;0;48;18;0;1;0;0;0;0;0;3;48;18;0;0;0;94,329861;102.297;0;113141;220962;390000;91500;26668
0_1;1;0;0;3;0;0;0;0;5;3;1;0;0;0;0;0;0;0;5;3;1;0;0;96,087963;106.296;0;17964;0;52500;21500;20001
1_1;1;0;0;3;0;0;0;0;9;5;1;0;0;0;0;0;0;0;9;5;1;0;0;96,886574;105.205;0;28300.1;0;52500;23500;20001
2_1;1;0;0;3;0;0;0;0;10;1;0;0;0;0;0;0;0;0;10;1;0;0;0;98,688272;84.6637;0;14392.8;0;52500;1000;20001
3_1;1;0;0;3;0;0;0;0;12;8;1;0;0;0;0;0;0;0;12;8;1;0;0;97,835648;83.6099;0;31270.1;0;52500;26500;20001
4_1;1;0;0;3;0;0;0;0;17;9;1;0;0;0;0;0;0;0;17;9;1;0;0;97,898746;93.2017;0;43711.6;0;52500;27500;20001
5_1;1;0;0;3;0;0;0;0;30;13;0;0;0;0;0;0;0;0;30;13;0;0;0;97,404971;102.297;0;72631.1;0;52500;13000;20001
6_1;2;0;0;3;0;0;0;0;28;9;0;0;0;0;0;0;1;0;28;9;0;1;0;96,228070;124.668;0;74801.1;53856.8;105000;9000;20001
7_1;2;0;0;3;0;0;0;0;22;8;0;0;0;0;0;0;1;0;22;8;0;0;0;95,577485;128.355;0;62893.9;92415.6;105000;8000;20001
8_1;2;0;0;3;0;0;0;0;21;7;1;0;0;0;0;0;1;1;21;7;1;0;1;93,220029;169.512;0;82891.4;231553;105000;25500;20001
9_1;2;0;0;3;0;0;0;0;23;14;1;0;0;0;0;0;1;1;23;14;1;0;0;92,328216;155.618;0;102552;224090;105000;32500;20001
10_1;2;0;0;3;0;0;0;0;24;9;2;0;0;0;0;0;1;1;24;9;2;0;0;92,514620;149.164;0;90691.5;214796;105000;46000;20001
11_1;1;0;0;3;0;0;0;0;25;11;0;0;0;0;0;0;1;3;25;11;0;0;2;89,071637;125.69;0;74785.5;301028;52500;11000;20001
12_1;3;0;0;5;6;0;0;0;31;9;2;0;0;0;0;0;2;3;31;9;2;1;0;87,444444;106.296;38266.5;75788.9;318356;157500;157000;33335
13_1;2;0;0;5;6;0;0;0;38;13;0;0;0;0;0;0;2;3;38;13;0;0;0;87,206197;105.205;37873.8;87320.1;378738;105000;124000;33335
14_1;3;0;0;5;6;0;0;0;31;9;2;0;0;0;0;0;3;3;31;9;2;1;0;88,064972;84.6637;30478.9;60365.2;338401;157500;157000;33335
15_1;6;0;0;12;20;0;0;0;36;21;1;0;0;0;0;0;3;3;36;21;1;0;0;86,292088;83.6099;100332;83108.3;361195;315000;409500;80004
16_1;2;0;0;3;0;0;0;0;50;12;1;0;0;0;0;0;3;3;50;12;1;0;0;89,832572;93.2017;0;95438.5;402631;105000;30500;20001
17_1;2;1;0;4;0;0;0;0;56;23;2;3;0;0;0;0;0;3;56;23;2;0;0;93,739583;102.297;0;147922;220962;390000;280500;26668
0_2;1;0;0;3;0;0;0;0;2;2;1;0;0;0;0;0;0;0;2;2;1;0;0;97,592593;106.296;0;11054.8;0;52500;20500;20001
1_2;1;0;0;3;0;0;0;0;6;2;0;0;0;0;0;0;0;0;6;2;0;0;0;98,495370;105.205;0;13676.6;0;52500;2000;20001
2_2;1;0;0;3;0;0;0;0;11;3;0;0;0;0;0;0;0;0;11;3;0;0;0;98,263889;84.6637;0;19049.3;0;52500;3000;20001
3_2;1;0;0;3;0;0;0;0;10;7;1;0;0;0;0;0;0;0;10;7;1;0;0;98,125000;83.6099;0;27089.6;0;52500;25500;20001
4_2;1;0;0;3;0;0;0;0;15;6;1;0;0;0;0;0;0;0;15;6;1;0;0;98,301971;93.2017;0;35323.4;0;52500;24500;20001
5_2;1;0;0;3;0;0;0;0;20;11;1;0;0;0;0;0;0;0;20;11;1;0;0;97,975146;102.297;0;56672.7;0;52500;29500;20001
6_2;2;0;0;3;0;0;0;0;26;11;0;0;0;0;0;0;0;0;26;11;0;0;0;97,770468;124.668;0;76047.8;0;105000;11000;20001
7_2;2;0;0;3;0;0;0;0;27;9;0;0;0;0;0;0;0;0;27;9;0;0;0;97,861842;128.355;0;75087.7;0;105000;9000;20001
8_2;2;0;0;3;0;0;0;0;24;11;2;0;0;0;0;0;0;1;24;11;2;0;1;96,684942;169.512;0;109844;43903.6;105000;48000;20001
9_2;2;0;0;3;0;0;0;0;22;6;0;0;0;0;0;0;0;1;22;6;0;0;0;95,723684;155.618;0;70028.1;112045;105000;6000;20001
10_2;2;0;0;3;0;0;0;0;25;7;1;0;0;0;0;0;0;1;25;7;1;0;0;95,361842;149.164;0;81890.9;107398;105000;25500;20001
11_2;1;0;0;3;0;0;0;0;21;11;0;0;0;0;0;0;0;1;21;11;0;0;0;95,413012;125.69;0;67244.1;90496.8;52500;11000;20001
12_2;3;0;0;5;6;0;0;0;25;9;1;0;0;0;0;0;0;1;25;9;1;0;0;94,848765;106.296;38266.5;62608.2;76533;157500;138500;33335
13_2;2;0;0;5;6;0;0;0;33;8;2;0;0;0;0;0;0;3;33;8;2;0;2;94,740919;105.205;37873.8;76063.1;93211.6;105000;156000;33335
14_2;3;0;0;5;6;0;0;0;37;17;1;0;0;0;0;0;0;3;37;17;1;0;0;91,880885;84.6637;30478.9;78652.5;182873;157500;146500;33335
15_2;6;0;0;12;20;0;0;0;40;19;0;0;0;0;0;0;0;4;40;19;0;0;1;90,279882;83.6099;100332;81937.7;203925;315000;389000;80004
16_2;2;0;0;3;0;0;0;0;46;11;1;0;0;0;0;0;0;4;46;11;1;0;0;92,724505;93.2017;0;87982.4;268421;105000;29500;20001
17_2;2;1;0;4;0;0;0;0;51;29;3;0;0;0;0;0;0;5;51;29;3;0;1;91,559028;102.297;0;148024;349346;390000;84500;26668
0_3;1;0;0;3;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;2;0;0;0;97,685185;106.296;0;10629.6;0;52500;2000;20001
