Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;6;0;1;0;0;0;0;0;0;0;6;0;1;0;0;98,923611;106.296;0;13180.7;0;52500;18500;6667
1_0;1;0;0;1;0;0;0;0;16;6;0;0;0;0;0;0;0;0;16;6;0;0;0;98,437500;105.205;0;37873.8;0;52500;6000;6667
2_0;1;0;0;2;0;0;0;0;30;14;1;0;0;0;0;0;0;0;30;14;1;0;0;97,789352;84.6637;0;64683;0;52500;32500;13334
3_0;1;1;0;2;0;0;0;0;46;12;3;1;0;0;0;0;0;0;46;12;3;1;0;96,610243;83.6099;0;130599;0;337500;141000;13334
4_0;2;0;0;2;0;0;0;0;48;15;2;0;0;0;0;0;0;0;48;15;2;0;0;98,134431;93.2017;0;101403;0;105000;52000;13334
5_0;2;0;0;3;0;0;0;0;64;24;1;0;0;0;0;0;0;0;64;24;1;0;0;97,910998;102.297;0;150786;0;105000;42500;20001
6_0;3;1;0;4;0;0;0;0;60;21;4;0;0;0;0;0;0;0;60;21;4;0;0;97,936508;124.668;0;181517;0;442500;95000;26668
7_0;3;0;0;3;0;0;0;0;62;30;2;0;0;0;0;0;0;0;62;30;2;0;0;97,735261;128.355;0;205111;0;157500;67000;20001
8_0;4;1;0;4;0;0;0;0;66;16;1;1;0;0;0;0;0;1;66;16;1;1;1;96,585884;169.512;0;317665;90688.9;495000;108000;26668
9_0;4;0;0;4;0;0;0;0;64;17;5;0;0;0;0;0;0;1;64;17;5;0;0;96,896259;155.618;0;228758;112045;210000;109500;26668
10_0;6;1;0;7;6;0;0;0;56;28;0;1;0;0;0;0;0;1;56;28;0;1;0;95,734127;149.164;53698.9;287886;107398;600000;212500;46669
11_0;3;0;0;4;2;0;0;0;60;24;1;0;0;0;0;0;0;3;60;24;1;0;2;96,275510;125.69;15082.8;177726;137505;157500;79500;26668
12_0;5;0;0;8;9;0;0;0;80;36;3;0;0;0;0;0;0;4;80;36;3;0;1;93,445652;106.296;57399.8;214930;304538;262500;258000;53336
13_0;7;1;0;14;17;0;0;0;79;35;2;1;0;0;0;0;0;5;79;35;2;1;1;92,575758;105.205;107309;261224;373793;652500;460000;93338
14_0;7;0;0;13;17;0;0;0;95;40;5;0;0;0;0;0;1;7;95;40;5;1;2;92,137397;84.6637;86356.9;202769;425012;367500;447000;86671
15_0;13;1;0;28;45;0;0;0;104;40;5;1;0;0;0;0;0;7;104;40;5;0;0;91,385542;83.6099;225747;213707;421394;967500;1.0385e+06;186676
16_0;4;0;0;6;2;0;0;0;118;45;0;0;0;0;0;0;0;7;118;45;0;0;0;94,057377;93.2017;11184.2;248848;469736;210000;82000;40002
17_0;4;1;0;6;0;0;0;0;126;52;8;2;0;0;0;0;0;7;126;52;8;2;0;93,540278;102.297;0;435991;515579;495000;347000;40002
0_1;1;0;0;1;0;0;0;0;8;5;0;0;0;0;0;0;0;0;8;5;0;0;0;98,090278;106.296;0;23385.1;0;52500;5000;6667
1_1;1;0;0;1;0;0;0;0;23;5;0;0;0;0;0;0;0;0;23;5;0;0;0;98,068576;105.205;0;46816.2;0;52500;5000;6667
