Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0;0;0;9;4;0;0;0;98,133681;142;0;30530;0;52500;4000;0
1_0;1;0;0;1;0;0;0;0;21;8;0;0;0;0;0;0;0;0;21;8;0;0;0;97,938368;142;0;67450;0;52500;8000;6667
2_0;1;0;0;2;0;0;0;0;27;9;1;0;0;0;0;0;0;0;27;9;1;0;0;98,208912;142;0;87898;0;52500;27500;13334
3_0;1;0;0;2;0;0;0;0;41;16;0;0;0;0;0;0;1;0;41;16;0;1;0;97,528212;142;0;132770;28968;52500;16000;13334
4_0;1;0;0;3;0;0;0;0;50;21;1;0;1;0;0;0;1;0;50;21;1;0;1;94,142661;142;0;382832;102240;52500;374000;20001
5_0;2;0;0;3;0;0;0;0;59;22;0;0;0;0;0;0;1;0;59;22;0;0;0;97,101757;142;0;188150;102240;105000;22000;20001
6_0;4;1;0;11;14;0;0;0;57;25;1;1;0;0;0;0;0;2;57;25;1;0;2;96,200397;142;119280;200930;60492;495000;376000;73337
7_0;5;0;0;11;17;0;0;0;60;25;2;0;0;0;0;0;1;2;60;25;2;1;0;93,700397;142;144840;208456;277894;262500;376500;73337
8_0;5;0;0;12;17;0;0;0;62;21;3;0;0;0;0;0;1;3;62;21;3;0;1;93,042800;142;144840;206184;346054;262500;391000;80004
9_0;2;1;0;5;2;0;0;0;51;22;1;1;0;0;0;0;0;3;51;22;1;0;0;94,975907;142;17040;179630;306720;390000;151000;33335
10_0;2;0;0;3;0;0;0;0;56;24;2;0;0;0;0;0;0;6;56;24;2;0;3;93,323413;142;0;197096;471866;105000;61000;20001
11_0;2;0;0;4;0;0;0;0;62;20;0;0;0;0;0;0;0;7;62;20;0;0;1;91,645408;142;0;188860;648230;105000;20000;26668
12_0;2;1;0;5;2;0;0;0;63;34;3;0;1;0;0;0;1;8;63;34;3;1;2;88,597826;142;17040;457098;866484;390000;461000;33335
13_0;2;1;0;5;0;0;0;0;77;31;4;1;1;0;0;0;1;8;77;31;4;1;1;89,043561;142;0;558486;920160;390000;513000;33335
14_0;3;1;0;8;6;0;0;0;91;30;1;2;1;0;0;0;0;7;91;30;1;1;0;92,536353;142;51120;370194;715680;442500;641000;53336
15_0;4;0;0;8;6;0;0;0;108;45;3;0;1;0;0;0;0;7;108;45;3;0;1;92,039826;142;51120;584188;715680;210000;546000;53336
16_0;6;1;0;15;18;0;0;0;108;44;3;0;1;0;0;0;0;8;108;44;3;0;2;91,860959;142;153360;581348;788100;600000;767000;100005
17_0;6;1;0;15;16;0;0;0;133;57;9;1;1;0;0;0;0;9;133;57;9;1;2;91,304861;142;136320;775746;865916;600000;927500;100005
0_1;1;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0;0;7;4;0;0;0;98,394097;142;0;26270;0;52500;4000;0
1_1;1;0;0;1;0;0;0;0;16;9;1;0;0;0;0;0;0;0;16;9;1;0;0;98,029514;142;0;64468;0;52500;27500;6667
2_1;1;0;0;2;0;0;0;0;29;15;2;0;0;0;0;0;0;0;29;15;2;0;0;97,676505;142;0;114026;0;52500;52000;13334
3_1;1;0;0;2;0;0;0;0;35;19;3;0;0;0;0;0;0;0;35;19;3;0;0;97,814670;142;0;142994;0;52500;74500;13334
4_1;1;0;0;3;0;0;0;0;55;18;1;0;1;0;0;0;0;0;55;18;1;0;1;95,351509;142;0;384962;0;52500;371000;20001
5_1;2;0;0;3;0;0;0;0;61;21;1;0;0;0;0;0;1;0;61;21;1;1;0;98,058390;142;0;194398;142;105000;39500;20001
6_1;4;1;0;11;14;0;0;0;52;32;4;2;0;0;0;0;0;3;52;32;4;1;3;94,889456;142;119280;299904;92868;495000;512000;73337
7_1;5;0;0;11;17;0;0;0;58;21;2;0;0;0;0;0;0;3;58;21;2;0;0;93,568594;142;144840;192836;306720;262500;372500;73337
8_1;5;0;0;12;17;0;0;0;65;26;3;0;0;0;0;0;1;4;65;26;3;1;1;92,501417;142;144840;226774;379708;262500;396000;80004
