Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;3;0;0;0;0;4;1;0;0;0;0;0;0;0;0;4;1;0;0;0;98,148148;106.296;0;8503.67;0;0;1000;20001
1_0;1;0;0;2;0;0;0;0;9;2;0;0;0;0;0;0;0;0;9;2;0;0;0;97,974537;105.205;0;18410.9;0;52500;2000;13334
2_0;1;0;0;2;0;0;0;0;9;3;0;0;0;0;0;1;0;0;9;3;1;0;0;95,100309;84.6637;0;16509.4;37252;52500;3000;13334
3_0;1;0;0;3;0;0;0;0;11;7;1;0;0;0;0;0;0;0;11;7;0;0;0;98,107639;83.6099;0;27340.5;0;52500;25500;20001
4_0;1;0;0;5;0;0;0;0;14;10;0;0;0;0;0;0;0;0;14;10;0;0;0;98,163082;93.2017;0;38212.7;0;52500;10000;33335
5_0;1;0;0;5;0;0;0;0;27;7;1;0;0;0;0;0;0;0;27;7;1;0;0;97,883772;102.297;0;59230.2;0;52500;25500;33335
6_0;2;0;0;3;2;0;0;0;18;5;1;0;0;0;0;0;1;0;18;5;1;1;0;95,584795;124.668;14960.2;50366.1;85273.2;105000;60500;20001
7_0;1;1;0;4;0;0;0;0;23;10;0;1;0;0;0;0;0;0;23;10;0;0;0;97,913012;128.355;0;73290.7;0;337500;83500;26668
8_0;3;0;0;3;1;0;0;0;29;12;1;0;0;0;0;0;0;0;29;12;1;0;0;97,189327;169.512;10170.7;120184;0;157500;49000;20001
9_0;2;0;0;3;1;0;0;0;27;13;0;0;0;0;0;0;0;0;27;13;0;0;0;97,350146;155.618;9337.08;103486;0;105000;31500;20001
10_0;2;0;0;3;0;0;0;0;26;11;0;0;0;0;0;0;0;1;26;11;0;0;1;95,858918;149.164;0;90989.8;78012.6;105000;11000;20001
