Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;98,958333;149.164;0;6712.37;0;52500;0;0
1_0;1;0;0;1;0;0;0;0;10;5;0;0;0;0;0;0;0;0;10;5;0;0;0;97,106481;125.69;0;31422.5;0;52500;5000;6667
2_0;1;0;0;1;0;0;0;0;5;4;0;0;0;0;0;0;0;0;5;4;0;0;0;98,804012;106.296;0;16475.9;0;52500;4000;6667
3_0;1;0;0;2;0;0;0;0;14;3;1;0;0;0;0;0;0;0;14;3;1;0;0;98,240741;105.205;0;31982.3;0;52500;21500;13334
4_0;1;0;0;2;0;0;0;0;21;8;0;0;1;0;0;0;0;0;21;8;0;0;1;90,893519;84.6637;0;166533;0;52500;342500;13334
5_0;1;0;0;2;0;0;0;0;22;8;0;0;0;0;0;0;0;0;22;8;0;0;0;98,109568;83.6099;0;40968.9;0;52500;8000;13334
6_0;1;0;0;2;0;0;0;0;32;15;3;0;0;0;0;0;0;0;32;15;3;0;0;97,151163;93.2017;0;82203.9;0;52500;70500;13334
7_0;2;0;0;2;0;0;0;0;35;12;1;0;0;0;0;0;0;1;35;12;1;0;1;96,325000;102.297;0;81735.6;53603.8;105000;30500;13334
8_0;2;0;0;2;0;0;0;0;41;10;3;0;0;0;0;0;0;1;41;10;3;0;0;96,011209;124.668;0;114321;89761.3;105000;65500;13334
9_0;3;0;0;3;0;0;0;0;36;10;1;0;0;0;0;0;0;1;36;10;1;0;0;96,359649;128.355;0;99346.8;92415.6;157500;28500;20001
10_0;3;0;0;3;0;0;0;0;36;18;4;0;0;0;0;0;0;2;36;18;4;0;1;95,455653;169.512;0;175614;140525;157500;92000;20001
11_0;2;0;0;3;0;0;0;0;36;15;0;0;0;0;0;0;1;2;36;15;0;1;0;93,399123;155.618;0;130719;290850;105000;15000;20001
12_0;4;0;0;5;6;0;0;0;37;17;1;1;0;0;0;0;0;2;37;17;1;0;0;94,021267;149.164;53698.9;142451;214796;210000;220000;33335
13_0;4;0;0;6;6;0;0;0;43;16;0;0;0;0;0;0;0;2;43;16;0;0;0;94,591158;125.69;45248.4;121291;180994;210000;127000;40002
14_0;4;0;0;7;6;0;0;0;54;20;5;1;1;0;0;0;0;2;54;20;5;1;1;90,737179;106.296;38266.5;361618;153066;210000;631500;46669
15_0;3;0;0;7;6;0;0;0;55;25;1;0;1;0;0;0;0;2;55;25;1;0;1;92,400327;105.205;37873.8;299939;151495;157500;489000;46669
16_0;4;0;0;7;6;0;0;0;53;25;4;0;1;0;0;0;0;1;53;25;4;0;0;96,130737;84.6637;30478.9;125556;60957.8;210000;544500;46669
17_0;8;0;0;17;27;0;0;0;56;29;3;1;1;0;0;0;0;2;56;29;3;1;2;91,133558;83.6099;135448;296314;96653.1;420000;992000;113339
18_0;2;0;0;4;0;0;0;0;59;21;5;0;1;0;0;0;0;2;59;21;5;0;1;94,225629;93.2017;0;276529;134210;105000;448000;26668
19_0;3;0;0;4;0;0;0;0;81;33;5;1;0;0;0;0;1;2;81;33;5;2;0;94,779990;102.297;0;263416;171041;157500;199000;26668
20_0;4;0;0;4;0;0;0;0;79;29;6;1;0;0;0;0;0;3;79;29;6;0;1;95,223380;124.668;0;248714;265793;210000;213500;26668
0_1;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;98,495370;149.164;0;9695.64;0;52500;1000;0
1_1;1;0;0;1;0;0;0;0;9;4;0;0;0;0;0;0;0;0;9;4;0;0;0;97,511574;125.69;0;27023.3;0;52500;4000;6667
2_1;1;0;0;1;0;0;0;0;14;4;0;0;0;0;0;0;0;0;14;4;0;0;0;97,762346;106.296;0;30825.8;0;52500;4000;6667
3_1;1;0;0;2;0;0;0;0;14;10;0;0;0;0;0;0;0;0;14;10;0;0;0;97,627315;105.205;0;43134;0;52500;10000;13334
4_1;1;0;0;2;0;0;0;0;13;7;1;0;0;0;0;0;0;0;13;7;1;0;0;98,291667;84.6637;0;31240.9;0;52500;25500;13334
5_1;1;0;0;2;0;0;0;0;25;10;1;0;0;0;0;0;0;0;25;10;1;0;0;97,650463;83.6099;0;50918.5;0;52500;28500;13334
6_1;1;0;0;2;0;0;0;0;27;11;1;0;1;0;0;0;0;0;27;11;1;0;1;93,052326;93.2017;0;200477;0;52500;364000;13334
7_1;2;0;0;2;0;0;0;0;30;9;1;0;0;0;0;0;0;1;30;9;1;0;1;97,647222;102.297;0;67925.5;18720.4;105000;27500;13334
8_1;2;0;0;2;0;0;0;0;36;9;2;0;0;0;0;0;0;1;36;9;2;0;0;96,325536;124.668;0;98238.7;89761.3;105000;46000;13334
9_1;3;0;0;3;0;0;0;0;33;18;0;0;0;0;0;0;0;2;33;18;0;0;1;94,902534;128.355;0;109744;158775;157500;18000;20001
10_1;3;0;0;3;0;0;0;0;32;17;3;0;0;0;0;0;0;3;32;17;3;0;1;94,105750;169.512;0;156290;253759;157500;72500;20001
11_1;2;0;0;3;0;0;0;0;43;12;0;0;0;0;0;0;0;3;43;12;0;0;0;92,580409;155.618;0;137722;336135;105000;12000;20001
12_1;4;0;0;5;6;0;0;0;39;17;2;0;0;0;0;0;0;3;39;17;2;0;0;92,376302;149.164;53698.9;148120;322194;210000;165000;33335
13_1;4;0;0;6;6;0;0;0;51;17;2;0;0;0;0;0;0;4;51;17;2;0;1;91,725352;125.69;45248.4;147434;338986;210000;165000;40002
14_1;4;0;0;7;6;0;0;0;48;20;1;0;1;0;0;0;0;3;48;20;1;0;0;93,365385;106.296;38266.5;128193;229599;210000;484000;46669
15_1;3;0;0;7;6;0;0;0;58;25;4;0;1;0;0;0;0;3;58;25;4;0;1;90,983660;105.205;37873.8;315404;227243;157500;544500;46669
16_1;4;0;0;7;6;0;0;0;57;24;3;1;1;0;0;0;0;2;57;24;3;1;0;94,234601;84.6637;30478.9;170936;121916;210000;598500;46669
17_1;8;0;0;17;27;0;0;0;68;22;2;1;1;0;0;0;0;2;68;22;2;1;1;90,726712;83.6099;135448;296815;120398;420000;966500;113339
18_1;2;0;0;4;0;0;0;0;70;22;0;0;1;0;0;0;0;1;70;22;0;0;0;97,036164;93.2017;0;143717;67105.2;105000;356500;26668
19_1;3;0;0;4;0;0;0;0;79;32;0;0;0;0;0;0;0;2;79;32;0;0;1;96,122173;102.297;0;186693;136056;157500;32000;26668
20_1;4;0;0;4;0;0;0;0;84;30;3;0;0;0;0;0;0;3;84;30;3;0;1;95,831019;124.668;0;244599;204456;210000;85500;26668
0_2;1;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;3;4;0;0;0;97,106481;149.164;0;18645.5;0;52500;4000;0
1_2;1;0;0;1;0;0;0;0;8;3;0;0;0;0;0;0;0;0;8;3;0;0;0;97,916667;125.69;0;22624.2;0;52500;3000;6667
2_2;1;0;0;1;0;0;0;0;15;6;0;0;0;0;0;0;0;1;15;6;0;0;1;92,260802;106.296;0;36672.1;69942.7;52500;6000;6667
3_2;1;0;0;2;0;0;0;0;17;2;0;0;1;0;0;0;0;0;17;2;0;0;0;97,991898;105.205;0;36506.1;0;52500;336500;13334
4_2;1;0;0;2;0;0;0;0;20;8;2;1;0;0;0;0;0;0;20;8;2;1;0;95,101852;84.6637;0;89574.1;0;52500;118500;13334
5_2;1;0;0;2;0;0;0;0;20;4;2;0;0;0;0;0;0;0;20;4;2;0;0;98,271605;83.6099;0;37457.3;0;52500;41000;13334
6_2;1;0;0;2;0;0;0;0;32;7;1;0;0;0;0;0;0;0;32;7;1;0;0;97,887597;93.2017;0;60953.9;0;52500;25500;13334
7_2;2;0;0;2;0;0;0;0;32;9;0;0;0;0;0;0;0;1;32;9;0;0;1;96,958333;102.297;0;67516.3;44499.4;105000;9000;13334
8_2;2;0;0;2;0;0;0;0;37;16;0;0;0;0;0;0;0;1;37;16;0;0;0;96,113548;124.668;0;109085;89761.3;105000;16000;13334
9_2;3;0;0;3;0;0;0;0;38;17;2;0;0;0;0;0;0;2;38;17;2;0;1;94,597953;128.355;0;125531;159032;157500;54000;20001
10_2;3;0;0;3;0;0;0;0;38;15;5;0;0;0;0;0;0;2;38;15;5;0;0;93,957115;169.512;0;176292;244097;157500;107500;20001
11_2;2;0;0;3;0;0;0;0;36;10;1;0;0;0;0;0;0;2;36;10;1;0;0;94,605263;155.618;0;120448;224090;105000;28500;20001
12_2;4;0;0;5;6;0;0;0;41;18;2;0;0;0;0;0;0;2;41;18;2;0;0;93,830295;149.164;53698.9;155578;214796;210000;166000;33335
13_2;4;0;0;6;6;0;0;0;45;18;6;1;0;0;0;0;0;3;45;18;6;1;1;92,321987;125.69;45248.4;222346;225739;210000;313500;40002
14_2;4;0;0;7;6;0;0;0;50;13;2;0;1;0;0;0;0;4;50;13;2;0;2;90,163818;106.296;38266.5;273180;275731;210000;495500;46669
15_2;3;0;0;7;6;0;0;0;50;28;1;1;1;0;0;0;0;3;50;28;1;1;0;92,735294;105.205;37873.8;202625;227243;157500;565500;46669
16_2;4;0;0;7;6;0;0;0;62;15;1;0;1;0;0;0;0;2;62;15;1;0;0;95,295894;84.6637;30478.9;111417;121916;210000;479000;46669
17_2;8;0;0;17;27;0;0;0;64;30;1;0;1;0;0;0;0;1;64;30;1;0;0;94,407969;83.6099;135448;137622;60199.2;420000;882500;113339
18_2;2;0;0;4;0;0;0;0;72;24;4;0;1;0;0;0;0;1;72;24;4;0;1;94,879455;93.2017;0;297127;67105.2;105000;432500;26668
19_2;3;0;0;4;0;0;0;0;78;22;1;1;0;0;0;0;0;2;78;22;1;1;1;96,086529;102.297;0;222394;103320;157500;114000;26668
20_2;4;0;0;4;0;0;0;0;81;37;4;0;0;0;0;0;0;2;81;37;4;0;0;95,913194;124.668;0;260682;179523;210000;111000;26668
0_3;1;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;2;0;0;0;97,685185;149.164;0;14916.4;0;52500;2000;0
1_3;1;0;0;1;0;0;0;0;8;3;1;0;0;0;0;0;0;0;8;3;1;0;0;97,523148;125.69;0;26897.7;0;52500;21500;6667
2_3;1;0;0;1;0;0;0;0;13;4;0;0;0;0;0;0;0;0;13;4;0;0;0;97,878086;106.296;0;29231.4;0;52500;4000;6667
3_3;1;0;0;2;0;0;0;0;17;5;1;0;0;0;0;0;0;0;17;5;1;0;0;97,748843;105.205;0;40924.7;0;52500;23500;13334
4_3;1;0;0;2;0;0;0;0;22;11;1;0;0;0;0;0;0;0;22;11;1;0;0;97,296296;84.6637;0;49443.6;0;52500;29500;13334
5_3;1;0;0;2;0;0;0;0;26;6;1;0;0;0;0;0;0;0;26;6;1;0;0;97,901235;83.6099;0;45483.8;0;52500;24500;13334
6_3;1;0;0;2;0;0;0;0;23;14;2;0;0;0;0;0;0;0;23;14;2;0;0;97,761628;93.2017;0;64588.7;0;52500;51000;13334
7_3;2;0;0;2;0;0;0;0;27;18;3;0;0;0;0;0;0;0;27;18;3;0;0;97,591667;102.297;0;88691.8;0;105000;73500;13334
8_3;2;0;0;2;0;0;0;0;33;13;0;0;0;0;0;0;0;1;33;13;0;0;1;97,953216;124.668;0;94124.7;10596.8;105000;13000;13334
9_3;3;0;0;3;0;0;0;0;41;18;1;0;0;0;0;0;0;3;41;18;1;0;2;93,633041;128.355;0;129510;205881;157500;36500;20001
10_3;3;0;0;3;0;0;0;0;38;15;2;0;0;0;0;0;0;3;38;15;2;0;0;92,451267;169.512;0;159002;366146;157500;52000;20001
11_3;2;0;0;3;0;0;0;0;41;11;2;0;0;0;0;0;0;3;41;11;2;0;0;92,536550;155.618;0;140523;336135;105000;48000;20001
12_3;4;0;0;5;6;0;0;0;43;13;2;0;0;0;0;0;0;3;43;13;2;0;0;92,419705;149.164;53698.9;145136;322194;210000;161000;33335
13_3;4;0;0;6;6;0;0;0;50;19;1;0;0;0;0;0;0;3;50;19;1;0;0;92,793427;125.69;45248.4;146303;271490;210000;148500;40002
14_3;4;0;0;7;6;0;0;0;49;21;2;0;1;0;0;0;0;3;49;21;2;0;1;90,678419;106.296;38266.5;288593;229599;210000;503500;46669
15_3;3;0;0;7;6;0;0;0;47;13;5;0;1;0;0;0;0;3;47;13;5;0;1;91,589869;105.205;37873.8;276373;227243;157500;551000;46669
16_3;4;0;0;7;6;0;0;0;52;25;0;0;1;0;0;0;0;3;52;25;0;0;1;92,010870;84.6637;30478.9;234688;182873;210000;470500;46669
17_3;8;0;0;17;27;0;0;0;61;23;5;0;1;0;0;0;0;2;61;23;5;0;0;93,466611;83.6099;135448;133525;120398;420000;949500;113339
18_3;2;0;0;4;0;0;0;0;63;27;5;0;1;0;0;0;0;3;63;27;5;0;2;93,692348;93.2017;0;293306;155367;105000;454000;26668
19_3;3;0;0;4;0;0;0;0;64;29;5;0;0;0;0;0;0;4;64;29;5;0;1;94,859882;102.297;0;174929;252879;157500;121500;26668
20_3;4;0;0;4;0;0;0;0;68;26;6;0;0;0;0;0;0;4;68;26;6;0;0;94,648148;124.668;0;217422;359045;210000;137000;26668
0_4;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;98,842593;149.164;0;7458.18;0;52500;1000;0
1_4;1;0;0;1;0;0;0;0;6;1;0;0;0;0;0;0;0;0;6;1;0;0;0;98,726852;125.69;0;13825.9;0;52500;1000;6667
2_4;1;0;0;1;0;0;0;0;12;3;0;0;0;0;0;0;0;0;12;3;0;0;0;98,148148;106.296;0;25511;0;52500;3000;6667
3_4;1;0;0;2;0;0;0;0;12;3;0;0;0;0;0;0;0;0;12;3;0;0;0;98,611111;105.205;0;25249.2;0;52500;3000;13334
