Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;4;1;0;0;0;0;0;0;0;0;4;1;0;0;0;98,611111;149.164;0;11933.1;0;52500;1000;13334
1_0;1;0;0;3;0;0;0;0;9;7;1;0;0;0;0;0;0;0;9;7;1;0;0;97,317708;125.69;0;38838.2;0;52500;25500;20001
2_0;1;0;0;3;0;0;0;0;16;4;1;0;0;0;0;0;0;0;16;4;1;0;0;97,951389;106.296;0;37628.7;0;52500;22500;20001
3_0;1;0;0;3;0;0;0;0;23;6;0;0;0;0;0;0;0;0;23;6;0;0;0;97,981771;105.205;0;48920.3;0;52500;6000;20001
4_0;1;0;0;3;0;0;0;0;24;15;4;0;0;0;0;0;1;0;24;15;4;1;0;94,934028;84.6637;0;67392.3;56132;52500;89000;20001
5_0;1;0;0;3;0;0;0;0;32;14;2;0;0;0;0;0;1;0;32;14;2;0;0;95,520833;83.6099;0;69229;60199.2;52500;51000;20001
6_0;1;1;0;4;0;0;0;0;40;15;3;1;0;0;0;0;0;0;40;15;3;0;0;97,450397;93.2017;0;95811.3;0;337500;144000;26668
7_0;2;0;0;3;0;0;0;0;39;17;2;0;0;0;0;0;0;0;39;17;2;0;0;97,845052;102.297;0;101581;0;105000;54000;20001
8_0;2;1;0;4;0;0;0;0;58;24;1;0;0;0;0;0;0;1;58;24;1;0;1;96,799769;124.668;0;172541;34283.8;390000;42500;26668
9_0;3;0;0;4;1;0;0;0;41;22;5;0;0;0;0;0;1;1;41;22;5;1;0;96,033951;128.355;7701.3;157235;98961.7;157500;133000;26668
10_0;4;0;0;4;1;0;0;0;51;14;3;0;0;0;0;0;1;1;51;14;3;0;0;94,893904;169.512;10170.7;194430;244097;210000;88000;26668
11_0;4;1;0;4;1;0;0;0;45;25;0;1;0;0;0;0;0;1;45;25;0;0;0;96,178627;155.618;9337.08;186897;112045;495000;117000;26668
