Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;99,131944;142;0;7100;0;52500;1000;6667
1_0;1;0;0;1;0;0;0;0;6;5;0;0;0;0;0;0;0;0;6;5;0;0;0;98,350694;142;0;26980;0;52500;5000;6667
2_0;1;0;0;1;0;0;0;0;16;3;0;0;0;0;0;0;0;0;16;3;0;0;0;98,263889;142;0;42600;0;52500;3000;6667
3_0;1;0;0;2;0;0;0;0;21;6;1;0;0;0;0;0;0;0;21;6;1;0;0;97,964410;142;0;66598;0;52500;24500;13334
4_0;1;0;0;1;0;0;0;0;20;12;1;0;0;0;0;0;0;0;20;12;1;0;0;98,006944;142;0;81508;0;52500;30500;6667
5_0;1;0;0;2;0;0;0;0;34;16;0;0;0;0;0;0;0;0;34;16;0;0;0;97,598380;142;0;117860;0;52500;16000;13334
6_0;1;1;0;2;0;0;0;0;35;14;2;1;0;0;0;0;0;0;35;14;2;1;0;96,520337;142;0;199226;0;337500;124500;13334
7_0;1;0;0;2;0;0;0;0;33;20;2;0;0;0;0;0;0;1;33;20;2;0;1;96,786024;142;0;136746;73556;52500;57000;13334
8_0;2;0;0;3;0;0;0;0;46;19;3;0;0;0;0;0;0;1;46;19;3;0;0;96,350309;142;0;166424;102240;105000;74500;20001
9_0;2;0;0;5;5;0;0;0;42;18;1;0;0;0;0;0;0;2;42;18;1;0;1;95,405093;142;42600;145408;150236;105000;129000;33335
10_0;4;1;0;11;16;0;0;0;47;19;0;0;0;0;0;0;0;2;47;19;0;0;0;93,277392;142;136320;154070;204480;495000;315000;73337
11_0;4;1;0;12;7;0;0;0;51;14;1;0;0;0;0;0;0;2;51;14;1;0;0;94,330633;142;59640;153218;204480;495000;162000;80004
12_0;3;0;0;5;5;0;0;0;38;21;2;0;0;0;0;0;0;4;38;21;2;0;2;93,720486;142;42600;150236;320778;157500;150500;33335
13_0;3;0;0;6;6;0;0;0;51;19;3;0;0;0;0;0;0;4;51;19;3;0;0;92,918245;142;51120;177074;408960;157500;185500;40002
14_0;2;1;0;5;3;0;0;0;66;31;1;2;0;0;0;0;0;4;66;31;1;2;0;91,660880;142;25560;383968;408960;390000;252000;33335
15_0;3;0;0;5;4;0;0;0;70;20;2;0;0;0;0;0;0;4;70;20;2;0;0;93,865079;142;34080;215556;408960;157500;131000;33335
16_0;2;1;0;5;2;0;0;0;70;33;4;2;0;0;0;0;0;5;70;33;4;2;1;92,457359;142;17040;412652;449430;390000;291000;33335
17_0;2;0;0;4;0;0;0;0;81;38;2;0;0;0;0;0;0;5;81;38;2;0;0;93,628049;142;0;290106;511200;105000;75000;26668
18_0;5;1;0;10;12;0;0;0;82;26;2;0;0;0;0;0;0;6;82;26;2;0;1;93,442761;142;102240;258156;524548;547500;285000;66670
19_0;4;0;0;8;6;0;0;0;89;36;6;0;0;0;0;0;1;6;89;36;6;1;0;92,642829;142;51120;320778;688700;210000;258000;53336
20_0;4;1;0;8;6;0;0;0;98;32;7;2;0;0;0;0;0;7;98;32;7;1;1;92,580556;142;51120;412368;674358;495000;419500;53336
0_1;1;0;0;1;0;0;0;0;5;2;1;0;0;0;0;0;0;0;5;2;1;0;0;97,413194;142;0;21158;0;52500;20500;6667
1_1;1;0;0;1;0;0;0;0;9;2;2;0;0;0;0;0;0;0;9;2;2;0;0;97,890625;142;0;34506;0;52500;39000;6667
2_1;1;0;0;1;0;0;0;0;13;7;1;0;0;0;0;0;1;0;13;7;1;1;0;94,484954;142;0;52398;82928;52500;25500;6667
3_1;1;0;0;2;0;0;0;0;26;9;3;0;0;0;0;0;1;0;26;9;3;0;0;93,958333;142;0;95424;102240;52500;64500;13334
4_1;1;0;0;1;0;0;0;0;25;3;1;0;0;0;0;0;1;0;25;3;1;0;0;95,871528;142;0;66598;102240;52500;21500;6667
5_1;1;0;0;2;0;0;0;0;28;11;3;0;0;0;0;0;1;0;28;11;3;0;0;95,769676;142;0;105364;102240;52500;66500;13334
6_1;1;1;0;2;0;0;0;0;28;13;0;1;0;0;0;0;0;0;28;13;0;0;0;98,249008;142;0;100252;0;337500;86500;13334
7_1;1;0;0;2;0;0;0;0;48;16;0;0;0;0;0;0;0;0;48;16;0;0;0;97,743056;142;0;147680;0;52500;16000;13334
8_1;2;0;0;3;0;0;0;0;45;14;1;0;0;0;0;0;0;0;45;14;1;0;0;98,092207;142;0;140438;0;105000;32500;20001
9_1;2;0;0;5;5;0;0;0;51;12;0;0;0;0;0;0;0;0;51;12;0;0;0;97,482639;142;42600;142710;0;105000;104500;33335
10_1;4;1;0;11;16;0;0;0;50;21;2;0;0;0;0;0;0;0;50;21;2;0;0;95,760031;142;136320;175796;0;495000;354000;73337
11_1;4;1;0;12;7;0;0;0;44;19;2;0;0;0;0;0;0;0;44;19;2;0;0;97,052469;142;59640;157336;0;495000;185500;80004
12_1;3;0;0;5;5;0;0;0;55;24;3;0;0;0;0;0;0;0;55;24;3;0;0;97,036458;142;42600;199794;0;157500;172000;33335
13_1;3;0;0;6;6;0;0;0;54;17;3;0;0;0;0;0;1;0;54;17;3;1;0;97,455808;142;51120;177784;0;157500;183500;40002
14_1;2;1;0;5;3;0;0;0;56;19;2;1;0;0;0;0;0;1;56;19;2;0;1;97,447917;142;25560;186588;38340;390000;185000;33335
15_1;3;0;0;5;4;0;0;0;70;25;4;0;0;0;0;0;1;1;70;25;4;1;0;95,644180;142;34080;239412;194114;157500;173000;33335
16_1;2;1;0;5;2;0;0;0;66;29;2;2;0;0;0;0;0;3;66;29;2;1;2;95,659113;142;17040;311548;177358;390000;250000;33335
17_1;2;0;0;4;0;0;0;0;78;26;5;0;0;0;0;0;0;4;78;26;5;0;1;95,159214;142;0;264120;344634;105000;118500;26668
18_1;5;1;0;10;12;0;0;0;89;42;2;1;0;0;0;0;0;4;89;42;2;1;0;93,294402;142;102240;393766;408960;547500;374500;66670
19_1;4;0;0;8;6;0;0;0;82;35;3;0;0;0;0;0;0;4;82;35;3;0;0;94,806935;142;51120;288544;408960;210000;201500;53336
20_1;4;1;0;8;6;0;0;0;90;43;1;0;0;0;0;0;0;4;90;43;1;0;0;94,922222;142;51120;318648;408960;495000;172500;53336
0_2;1;0;0;1;0;0;0;0;6;1;0;0;0;0;0;0;0;0;6;1;0;0;0;98,090278;142;0;15620;0;52500;1000;6667
1_2;1;0;0;1;0;0;0;0;10;7;0;0;0;0;0;0;0;0;10;7;0;0;0;97,482639;142;0;41180;0;52500;7000;6667
2_2;1;0;0;1;0;0;0;0;17;4;0;0;0;0;0;0;0;0;17;4;0;0;0;98,061343;142;0;47570;0;52500;4000;6667
3_2;1;0;0;2;0;0;0;0;19;7;3;0;0;0;0;0;0;0;19;7;3;0;0;97,712674;142;0;74834;0;52500;62500;13334
4_2;1;0;0;1;0;0;0;0;25;11;1;0;0;0;0;0;0;0;25;11;1;0;0;97,815972;142;0;89318;0;52500;29500;6667
5_2;1;0;0;2;0;0;0;0;30;8;0;0;0;0;0;0;1;0;30;8;0;1;0;97,092014;142;0;86620;56090;52500;8000;13334
6_2;1;1;0;2;0;0;0;0;39;18;1;1;0;0;0;0;0;1;39;18;1;0;1;96,339286;142;0;142710;66882;337500;110000;13334
7_2;1;0;0;2;0;0;0;0;33;17;2;0;0;0;0;0;1;2;33;17;2;1;1;95,759549;142;0;128226;149242;52500;54000;13334
8_2;2;0;0;3;0;0;0;0;53;21;0;0;0;0;0;0;1;2;53;21;0;0;0;93,489583;142;0;172530;306720;105000;21000;20001
9_2;2;0;0;5;5;0;0;0;51;23;1;0;0;0;0;0;2;5;51;23;1;1;3;89,631559;142;42600;178778;541872;105000;134000;33335
10_2;4;1;0;11;16;0;0;0;40;24;0;2;0;0;0;0;1;6;40;24;0;1;1;85,553627;142;136320;232312;694806;495000;467000;73337
11_2;4;1;0;12;7;0;0;0;44;19;1;1;0;0;0;0;0;6;44;19;1;0;0;88,734568;142;59640;156200;613440;495000;240500;80004
12_2;3;0;0;5;5;0;0;0;53;27;3;0;0;0;0;0;0;6;53;27;3;0;0;89,484375;142;42600;204054;613440;157500;175000;33335
13_2;3;0;0;6;6;0;0;0;59;20;2;0;0;0;0;0;0;7;59;20;2;0;1;90,284091;142;51120;192126;630906;157500;168000;40002
14_2;2;1;0;5;3;0;0;0;64;24;0;0;0;0;0;0;0;8;64;24;0;0;1;90,276331;142;25560;204480;724342;390000;79500;33335
