Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;97,743056;149.164;0;9695.64;0;52500;1000;0
1_0;1;0;0;1;0;0;0;0;5;2;1;0;0;0;1;0;0;0;5;3;1;0;0;86,649306;125.69;0;18727.8;77927.8;52500;20500;6667
2_0;1;0;0;1;0;0;0;0;5;4;0;0;0;0;0;0;0;0;5;3;0;0;0;98,344907;106.296;0;15200.3;0;52500;4000;6667
3_0;1;1;0;1;0;0;0;0;11;4;0;1;0;0;0;0;0;0;11;4;0;1;0;93,272569;105.205;0;81533.8;0;337500;77500;6667
4_0;1;0;0;1;0;0;0;0;12;9;1;0;0;0;0;0;0;0;12;9;1;0;0;97,263889;84.6637;0;33357.5;0;52500;27500;6667
5_0;1;0;0;1;0;0;0;0;15;5;0;0;0;0;0;0;0;0;15;5;0;0;0;98,119213;83.6099;0;27173.2;0;52500;5000;6667
6_0;1;0;0;1;0;0;0;0;17;7;2;0;0;0;0;0;0;0;17;7;2;0;0;97,703373;93.2017;0;43152.4;0;52500;44000;6667
7_0;1;0;0;1;0;0;0;0;21;7;1;0;0;0;0;0;0;1;21;7;1;0;1;97,178819;102.297;0;50023.4;16469.9;52500;25500;6667
8_0;1;0;0;1;0;0;0;0;15;9;0;0;0;0;0;0;0;2;15;9;0;0;1;94,965278;124.668;0;50490.7;112202;52500;9000;6667
9_0;3;0;0;3;2;0;0;0;23;5;2;0;0;0;0;0;0;3;23;5;2;0;1;89,448302;128.355;15402.6;65846.1;269802;157500;79000;20001
10_0;2;0;0;3;1;0;0;0;22;5;0;0;0;0;0;0;0;3;22;5;0;0;0;89,776235;169.512;10170.7;72890.2;366146;105000;23500;20001
11_0;2;0;0;3;1;0;0;0;28;8;0;0;0;0;0;0;0;3;28;8;0;0;0;89,197531;155.618;9337.08;90258.4;336135;105000;26500;20001
12_0;2;1;0;2;0;0;0;0;28;17;0;1;0;0;0;0;0;3;28;17;0;1;0;88,020833;149.164;0;192421;322194;390000;90500;13334
13_0;3;0;0;4;4;0;0;0;29;12;2;0;0;0;0;0;0;3;29;12;2;0;0;90,299383;125.69;30165.6;93387.7;271490;157500;123000;26668
14_0;3;0;0;5;4;0;0;0;32;7;0;0;1;0;0;0;0;2;32;7;0;0;0;93,466667;106.296;25511;71430.8;153066;157500;415500;33335
15_0;3;0;0;5;5;0;0;0;33;16;1;0;1;0;0;0;0;1;33;16;1;0;0;95,148990;105.205;31561.5;94789.6;75747.5;157500;461500;33335
16_0;2;0;0;5;4;0;0;0;31;11;4;0;1;0;0;0;0;0;31;11;4;0;0;97,423611;84.6637;20319.3;73911.4;0;105000;493500;33335
17_0;4;0;0;8;11;0;0;0;37;13;0;0;1;0;0;0;0;0;37;13;0;0;1;93,660256;83.6099;55182.6;192888;0;210000;551000;53336
18_0;2;0;0;4;3;0;0;0;37;18;1;0;0;0;0;0;0;0;37;18;1;0;0;97,759921;93.2017;16776.3;88448.4;0;105000;92000;26668
19_0;2;0;0;3;1;0;0;0;45;22;1;0;0;0;0;0;0;0;45;22;1;0;0;97,761111;102.297;6137.84;117540;0;105000;59000;20001
20_0;2;1;0;3;0;0;0;0;52;24;1;0;0;0;0;0;0;0;52;24;1;0;0;97,753472;124.668;0;161321;0;390000;42500;20001
0_1;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;2;3;0;0;0;96,875000;149.164;0;13424.7;0;52500;3000;0
1_1;1;0;0;1;0;0;0;0;6;2;0;0;0;0;0;0;0;0;6;2;0;0;0;97,743056;125.69;0;16339.7;0;52500;2000;6667
2_1;1;0;0;1;0;0;0;0;8;5;0;0;0;0;0;0;0;0;8;5;0;0;0;97,453704;106.296;0;23385.1;0;52500;5000;6667
3_1;1;1;0;1;0;0;0;0;8;6;0;0;0;0;0;0;0;0;8;6;0;0;0;97,916667;105.205;0;25249.2;0;337500;6000;6667
