Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;98,379630;106.296;0;3720.35;0;0;1000;0
1_0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;2;0;0;0;97,685185;105.205;0;10520.5;0;0;2000;0
2_0;1;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;6;4;0;0;0;97,376543;84.6637;0;14392.8;0;52500;4000;0
3_0;1;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;6;1;0;0;0;98,726852;83.6099;0;9197.09;0;52500;1000;0
4_0;1;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0;0;8;3;0;0;0;98,333333;93.2017;0;16776.3;0;52500;3000;0
5_0;1;0;0;1;0;0;0;0;12;5;0;0;0;0;0;0;0;0;12;5;0;0;0;97,839506;102.297;0;28643.3;0;52500;5000;6667
6_0;1;0;0;1;0;0;0;0;13;4;0;1;0;0;0;0;0;0;13;4;0;1;0;94,675926;124.668;0;100358;0;52500;77500;6667
7_0;1;0;0;2;0;0;0;0;16;6;0;0;0;0;0;0;0;0;16;6;0;0;0;97,916667;128.355;0;46207.8;0;52500;6000;13334
8_0;2;0;0;1;0;0;0;0;16;6;0;0;0;0;0;0;0;0;16;6;0;0;0;98,148148;169.512;0;61024.3;0;105000;6000;6667
9_0;2;0;0;1;0;0;0;0;18;8;0;0;0;0;0;0;0;0;18;8;0;0;0;98,009259;155.618;0;66915.7;0;105000;8000;6667
10_0;1;0;0;2;0;0;0;0;18;6;2;0;1;0;0;0;0;0;18;6;2;0;1;91,792929;149.164;0;290869;0;52500;377500;13334
11_0;1;0;0;2;0;0;0;0;26;8;2;0;0;0;0;0;0;0;26;8;2;0;0;97,615741;125.69;0;77676.4;0;52500;45000;13334
