Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;3;3;0;0;0;0;0;0;0;0;3;3;0;0;0;98,177083;106.296;0;11161.1;0;52500;3000;20001
1_0;1;0;0;3;0;0;0;0;9;1;0;0;0;0;0;0;0;0;9;1;0;0;0;98,654514;105.205;0;16306.8;0;52500;1000;20001
2_0;1;0;0;3;0;0;0;0;14;9;1;0;0;0;0;0;0;0;14;9;1;0;0;97,546296;84.6637;0;35897.4;0;52500;27500;20001
3_0;1;0;0;3;0;0;0;0;17;11;1;0;0;0;0;0;1;0;17;11;1;1;0;96,931424;83.6099;0;42557.5;16554.8;52500;29500;20001
4_0;1;0;0;3;0;0;0;0;20;6;1;0;0;0;0;0;1;0;20;6;1;0;0;95,923611;93.2017;0;42313.5;67105.2;52500;24500;20001
5_0;1;0;0;3;0;0;0;0;25;12;3;0;0;0;0;0;1;0;25;12;3;0;0;95,842014;102.297;0;73347.2;73654.1;52500;67500;20001
6_0;2;0;0;3;0;0;0;0;39;18;0;0;0;0;0;0;1;1;39;18;0;0;1;94,179067;124.668;0;117812;174785;105000;18000;20001
7_0;2;0;0;3;0;0;0;0;41;16;1;0;0;0;0;0;1;1;41;16;1;0;0;94,772135;128.355;0;124376;184831;105000;34500;20001
8_0;3;1;0;4;0;0;0;0;38;14;1;1;0;0;0;0;0;1;38;14;1;0;0;96,855710;169.512;0;154256;122049;442500;106000;26668
9_0;3;0;0;3;0;0;0;0;47;23;3;0;0;0;0;0;0;1;47;23;3;0;0;96,550347;155.618;0;197168;112045;157500;78500;20001
