Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;97,685185;106.296;0;5314.79;0;0;1000;0
1_0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;4;1;0;0;0;98,148148;105.205;0;8416.39;0;0;1000;0
2_0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;7;2;0;0;0;97,762346;84.6637;0;12276.2;0;0;2000;0
3_0;1;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;8;2;0;0;0;98,148148;83.6099;0;13377.6;0;52500;2000;0
4_0;1;0;0;1;0;0;0;0;10;4;0;0;0;0;0;0;0;0;10;4;0;0;0;97,870370;93.2017;0;21436.4;0;52500;4000;6667
5_0;1;0;0;1;0;0;0;0;12;4;1;0;0;0;0;0;0;0;12;4;1;0;0;97,731481;102.297;0;30075.4;0;52500;22500;6667
6_0;1;1;0;1;0;0;0;0;15;5;0;0;0;0;0;0;0;0;15;5;0;0;0;97,850529;124.668;0;40517.2;0;337500;5000;6667
7_0;1;0;0;1;0;0;0;0;16;9;0;0;0;0;0;0;0;1;16;9;0;0;1;94,091435;128.355;0;53909.1;77141.4;52500;9000;6667
8_0;1;0;0;1;0;0;0;0;17;7;0;0;0;0;0;0;0;1;17;7;0;0;0;94,264403;169.512;0;66957.2;122049;52500;7000;6667
9_0;1;0;0;1;0;0;0;0;18;13;0;0;0;0;0;0;0;1;18;13;0;0;0;94,212963;155.618;0;82477.5;112045;52500;13000;6667
10_0;1;0;0;1;0;0;0;0;20;12;0;0;0;0;0;0;0;1;20;12;0;0;0;94,696970;149.164;0;80548.4;107398;52500;12000;6667
11_0;1;0;0;1;0;0;0;0;19;9;0;0;0;0;0;0;0;1;19;9;0;0;0;95,428241;125.69;0;58445.8;90496.8;52500;9000;6667
12_0;2;0;0;4;5;0;0;0;26;13;0;0;0;0;0;0;0;1;26;13;0;0;0;94,052707;106.296;31888.8;69092.3;76533;105000;105500;26668
13_0;1;0;0;2;1;0;0;0;25;10;0;0;0;0;0;0;0;1;25;10;0;0;0;95,519180;105.205;6312.29;60492.8;75747.5;52500;28500;13334
14_0;2;1;0;4;3;0;0;0;31;8;1;0;0;0;0;0;0;1;31;8;1;0;0;95,188272;84.6637;15239.5;55793.3;60957.8;390000;82000;26668
15_0;6;0;0;12;21;0;0;0;27;16;0;0;0;0;0;0;1;2;27;16;0;1;1;89,719329;83.6099;105349;60617.2;131100;315000;404500;80004
16_0;2;0;0;3;3;0;0;0;35;13;2;0;0;0;0;0;1;2;35;13;2;0;0;91,471688;93.2017;16776.3;79501;201316;105000;105500;20001
17_0;2;0;0;2;0;0;0;0;36;18;2;0;0;0;0;0;1;2;36;18;2;0;0;92,242063;102.297;0;99023.9;220962;105000;55000;13334
18_0;2;1;0;3;1;0;0;0;38;16;1;2;0;0;0;0;0;2;38;16;1;1;0;93,101852;124.668;7480.11;184509;179523;390000;200000;20001
19_0;2;0;0;2;0;0;0;0;37;12;1;0;0;0;0;0;0;2;37;12;1;0;0;95,075955;128.355;0;106406;184831;105000;30500;13334
20_0;3;0;0;2;0;0;0;0;41;22;0;0;0;0;0;0;1;2;41;22;0;1;0;94,540441;169.512;0;178835;274270;157500;22000;13334
21_0;3;0;0;3;1;0;0;0;40;19;1;0;0;0;0;0;1;2;40;19;1;0;0;93,761574;155.618;9337.08;157797;336135;157500;56000;20001
22_0;2;0;0;2;0;0;0;0;52;16;2;0;0;0;0;0;1;3;52;16;2;0;1;93,837719;149.164;0;174223;328757;105000;53000;13334
23_0;2;1;0;3;1;0;0;0;45;25;0;2;0;0;0;0;0;3;45;25;0;1;0;93,140625;125.69;7541.4;217569;271490;390000;190500;20001
0_1;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;96,990741;106.296;0;6909.23;0;0;1000;0
1_1;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;5;2;0;0;0;97,337963;105.205;0;12098.6;0;0;2000;0
2_1;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;5;3;0;0;0;97,916667;84.6637;0;11429.6;0;0;3000;0
3_1;1;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;7;1;0;0;0;98,553241;83.6099;0;10451.2;0;52500;1000;0
