Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;96,990741;106.296;0;6909.23;0;0;1000;0
1_0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;98,495370;105.205;0;6838.32;0;0;1000;0
2_0;1;0;0;2;0;0;0;0;8;1;1;0;1;0;0;0;0;0;8;1;1;0;1;74,290123;84.6637;0;141050;0;52500;354000;13334
3_0;1;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;5;1;0;0;0;98,900463;83.6099;0;7942.94;0;52500;1000;0
4_0;1;0;0;2;0;0;0;0;10;3;0;0;0;0;0;0;0;0;10;3;0;0;0;98,055556;93.2017;0;19572.3;0;52500;3000;13334
5_0;1;0;0;1;0;0;0;0;10;5;0;0;0;0;0;0;0;0;10;5;0;0;0;98,070988;102.297;0;25574.3;0;52500;5000;6667
6_0;1;0;0;1;0;0;0;0;13;3;1;0;0;0;0;0;0;0;13;3;1;0;0;98,088624;124.668;0;36029.2;0;52500;21500;6667
7_0;1;0;0;2;0;0;0;0;18;4;0;0;0;0;0;0;0;0;18;4;0;0;0;97,974537;128.355;0;44924.2;0;52500;4000;13334
8_0;2;0;0;1;0;0;0;0;13;9;0;0;0;0;0;0;0;0;13;9;0;0;0;98,070988;169.512;0;63567;0;105000;9000;6667
9_0;1;0;0;1;0;0;0;0;18;5;0;0;0;0;0;0;0;1;18;5;0;0;1;98,245370;155.618;0;57578.6;1400.56;52500;5000;6667
10_0;2;0;0;2;0;0;0;0;22;7;3;0;1;0;0;0;0;0;22;7;3;0;0;97,373737;149.164;0;93078.1;0;105000;397000;13334
11_0;1;0;0;1;0;0;0;0;23;15;2;0;0;0;0;0;0;0;23;15;2;0;0;97,249228;125.69;0;89617;0;52500;52000;6667
12_0;2;0;0;3;3;0;0;0;26;9;2;0;0;0;0;0;0;0;26;9;2;0;0;97,086895;106.296;19133.3;67816.7;0;105000;101500;20001
13_0;2;1;0;4;3;0;0;0;19;9;1;1;0;0;0;0;0;0;19;9;1;1;0;96,001984;105.205;18936.9;108256;0;390000;156500;26668
