Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;98,333333;106.296;0;6377.75;0;52500;0;20001
1_0;1;0;0;3;0;0;0;0;7;2;0;0;0;0;0;0;0;0;7;2;0;0;0;97,986111;105.205;0;15254.7;0;52500;2000;20001
2_0;1;0;0;3;0;0;0;0;13;3;0;0;0;0;0;0;0;0;13;3;0;0;0;97,638889;84.6637;0;21589.2;0;52500;3000;20001
3_0;1;0;0;3;0;0;0;0;11;4;0;0;0;0;0;0;1;0;11;4;0;1;0;95,972222;83.6099;0;20484.4;28009.3;52500;4000;20001
4_0;1;0;0;3;0;0;0;0;16;8;1;0;0;0;0;0;1;0;16;8;1;0;0;93,588889;93.2017;0;40449.5;67105.2;52500;26500;20001
5_0;1;0;0;3;0;0;0;0;22;3;2;0;0;0;0;0;1;1;22;3;2;0;1;93,578704;102.297;0;46852.2;95034.3;52500;40000;20001
6_0;1;0;0;3;0;0;0;0;18;10;0;0;0;0;0;0;1;1;18;10;0;0;0;92,420635;124.668;0;58594.2;179523;52500;10000;20001
7_0;2;1;0;4;0;0;0;0;24;11;1;2;0;0;0;0;0;1;24;11;1;1;0;93,437500;128.355;0;150175;92415.6;390000;176500;26668
8_0;2;0;0;3;0;0;0;0;23;15;0;0;0;0;0;0;0;2;23;15;0;0;1;94,462963;169.512;0;109335;194769;105000;15000;20001
9_0;2;0;0;3;0;0;0;0;31;16;1;0;0;0;0;0;0;3;31;16;1;0;1;92,066667;155.618;0;127451;316994;105000;34500;20001
10_0;2;0;0;3;0;0;0;0;39;12;2;0;0;0;0;0;0;3;39;12;2;0;0;92,290404;149.164;0;133203;322194;105000;49000;20001
11_0;2;0;0;3;0;0;0;0;39;13;2;0;0;0;0;0;0;3;39;13;2;0;0;92,886574;125.69;0;114755;271490;105000;50000;20001
12_0;4;0;0;8;10;0;0;0;45;21;1;0;0;0;0;0;1;4;45;21;1;1;1;90,128205;106.296;63777.5;120008;307301;210000;224500;53336
13_0;2;1;0;5;3;0;0;0;41;20;3;2;0;0;0;0;0;5;41;20;3;1;1;89,773810;105.205;18936.9;176008;347281;390000;278000;33335
14_0;2;0;0;4;2;0;0;0;48;14;2;0;0;0;0;0;0;5;48;14;2;0;0;91,133333;84.6637;10159.6;90420.8;304789;105000;88000;26668
15_0;9;0;0;20;34;0;0;0;60;26;2;0;0;0;0;0;0;7;60;26;2;0;2;85,998264;83.6099;170564;124412;379338;472500;692000;133340
16_0;3;0;0;6;6;0;0;0;51;16;2;0;0;0;0;0;0;7;51;16;2;0;0;89,292484;93.2017;33552.6;107462;469736;157500;164000;40002
17_0;3;0;1;11;4;0;0;0;58;21;0;0;8;0;0;0;0;0;58;21;0;0;1;94,774691;102.297;24551.4;321828;0;4657500;2.771e+06;73337
18_0;3;1;0;4;1;0;0;0;60;18;4;1;0;0;0;0;0;0;60;18;4;1;0;97,096491;124.668;7480.11;240111;0;442500;184000;26668
19_0;3;0;0;3;0;0;0;0;58;22;1;0;0;0;0;0;0;0;58;22;1;0;0;98,133333;128.355;0;172509;0;157500;40500;20001
