Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;98,842593;142;0;7100;0;0;1000;13334
1_0;1;0;0;2;0;0;0;0;8;3;0;0;0;0;0;0;0;0;8;3;0;0;0;97,916667;142;0;25560;0;52500;3000;13334
2_0;1;0;0;4;0;0;0;0;14;9;1;0;0;0;0;0;0;0;14;9;1;0;0;96,728395;142;0;60208;0;52500;27500;26668
3_0;1;0;0;3;0;0;0;0;13;5;0;0;0;0;0;0;0;0;13;5;0;0;0;98,292824;142;0;41890;0;52500;5000;20001
4_0;1;0;0;3;0;0;0;0;25;10;1;0;0;0;0;0;0;0;25;10;1;0;0;97,180556;142;0;86478;0;52500;28500;20001
5_0;1;0;0;3;0;0;0;0;23;12;0;0;0;0;0;0;0;0;23;12;0;0;0;97,743056;142;0;83070;0;52500;12000;20001
6_0;1;0;0;5;0;0;0;0;22;10;1;1;0;0;0;0;0;0;22;10;1;1;0;96,382275;142;0;155348;0;52500;102000;33335
7_0;1;0;0;5;0;0;0;0;27;9;1;0;1;0;0;0;0;1;27;9;1;0;2;92,893519;142;0;299762;48990;52500;362000;33335
8_0;1;0;0;5;0;0;0;0;35;8;1;0;1;0;0;0;0;0;35;8;1;0;0;98,016975;142;0;109482;0;52500;361000;33335
9_0;1;0;0;5;0;0;0;0;35;15;2;0;0;0;0;0;0;0;35;15;2;0;0;97,932870;142;0;126806;0;52500;52000;33335
10_0;1;0;0;5;0;0;0;0;39;21;3;0;1;0;0;0;0;0;39;21;3;0;1;94,530724;142;0;369058;0;52500;411000;33335
11_0;1;0;0;5;0;0;0;0;38;15;0;0;0;0;0;0;0;0;38;15;0;0;0;98,321759;142;0;123540;0;52500;15000;33335
12_0;2;0;0;6;6;0;0;0;51;25;0;0;1;0;0;0;0;0;51;25;0;0;1;94,449786;142;51120;391494;0;105000;470500;40002
13_0;3;0;0;7;6;0;0;0;52;22;0;0;0;0;0;0;0;0;52;22;0;0;0;97,387566;142;51120;173240;0;157500;133000;46669
14_0;3;0;0;7;6;0;0;0;48;25;0;1;0;0;0;0;0;0;48;25;0;1;0;96,743827;142;51120;248500;0;157500;209500;46669
15_0;3;0;0;7;6;0;0;0;62;19;0;0;0;0;0;0;0;0;62;19;0;0;0;97,583912;142;51120;186020;0;157500;130000;46669
16_0;6;0;0;17;24;0;0;0;68;26;4;0;0;0;0;0;0;0;68;26;4;0;0;95,757081;142;204480;237992;0;315000;544000;113339
17_0;2;0;0;5;0;0;0;0;76;29;3;0;1;0;0;0;0;1;76;29;3;0;2;95,695730;142;0;470588;4686;105000;419000;33335
18_0;2;0;0;5;0;0;0;0;68;31;5;0;1;0;0;0;0;0;68;31;5;0;0;97,751208;142;0;264404;0;105000;458000;33335
19_0;2;0;0;5;0;0;0;0;71;30;2;0;0;0;0;0;0;0;71;30;2;0;0;98,027095;142;0;246086;0;105000;67000;33335
20_0;4;0;0;11;12;0;0;0;83;31;2;1;1;0;0;0;0;0;83;31;2;1;1;94,966624;142;102240;561610;0;210000;698000;73337
21_0;2;0;0;5;0;0;0;0;89;30;2;0;0;0;0;0;0;0;89;30;2;0;0;97,954453;142;0;284426;0;105000;67000;33335
22_0;3;0;0;9;6;0;0;0;81;23;6;1;1;0;0;0;0;1;81;23;6;1;2;95,598291;142;51120;553942;38482;157500;653000;60003
23_0;4;0;0;8;6;0;0;0;88;39;5;0;1;0;0;0;0;1;88;39;5;0;1;95,516667;142;51120;534204;102240;210000;577000;53336
0_1;0;0;0;2;0;0;0;0;5;2;0;0;0;0;0;0;0;0;5;2;0;0;0;97,337963;142;0;16330;0;0;2000;13334
1_1;1;0;0;2;0;0;0;0;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;98,784722;142;0;14910;0;52500;0;13334
2_1;1;0;0;4;0;0;0;0;14;3;0;0;0;0;0;0;0;0;14;3;0;0;0;97,916667;142;0;38340;0;52500;3000;26668
3_1;1;0;0;3;0;0;0;0;13;10;1;0;0;0;0;0;0;0;13;10;1;0;0;97,517361;142;0;60918;0;52500;28500;20001
