Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;0;0;0;0;0;5;1;1;0;0;0;0;0;0;0;5;1;1;0;0;97,760417;106.296;0;13712.2;0;52500;19500;0
1_0;1;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;12;0;0;0;0;98,437500;105.205;0;18936.9;0;52500;0;0
2_0;1;0;0;2;0;0;0;0;16;10;0;0;0;0;0;0;0;0;16;10;0;0;0;97,453704;84.6637;0;37252;0;52500;10000;13334
3_0;1;0;0;2;0;0;0;0;17;9;2;1;0;0;0;0;0;0;17;9;2;1;0;95,516493;83.6099;0;86369.1;0;52500;119500;13334
4_0;1;0;0;2;0;0;0;0;24;8;2;0;1;0;0;0;0;0;24;8;2;0;1;92,777778;93.2017;0;193859;0;52500;379500;13334
5_0;2;0;0;2;0;0;0;0;31;13;2;1;0;0;0;0;0;0;31;13;2;1;0;96,171875;102.297;0;135339;0;105000;123500;13334
6_0;2;0;0;3;0;0;0;0;32;14;0;0;0;0;0;0;0;1;32;14;0;0;1;97,598380;124.668;0;94748;8726.79;105000;14000;20001
7_0;2;0;0;3;0;0;0;0;32;7;1;0;0;0;0;0;0;1;32;7;1;0;0;96,024306;128.355;0;83944.2;92415.6;105000;25500;20001
8_0;2;0;0;3;0;0;0;0;26;7;0;0;0;0;0;0;0;1;26;7;0;0;0;96,383102;169.512;0;89841.4;122049;105000;7000;20001
9_0;2;0;0;3;0;0;0;0;26;9;1;0;0;0;0;0;0;1;26;9;1;0;0;96,168981;155.618;0;93993.2;112045;105000;27500;20001
