Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;8;2;0;0;0;0;0;0;0;0;8;2;0;0;0;97,979798;106.296;0;17007.3;0;52500;2000;20001
1_0;1;0;0;3;0;0;0;0;13;5;0;0;0;0;0;0;0;0;13;5;0;0;0;98,137626;105.205;0;31035.4;0;52500;5000;20001
2_0;1;0;0;3;0;0;0;0;19;10;0;0;0;0;0;0;0;0;19;10;0;0;0;97,958754;84.6637;0;41061.9;0;52500;10000;20001
3_0;1;0;0;3;0;0;0;0;20;12;1;0;0;0;0;0;0;0;20;12;1;0;0;98,188131;83.6099;0;47992.1;0;52500;30500;20001
4_0;2;0;0;3;0;0;0;0;43;9;0;0;0;0;0;0;0;2;43;9;0;0;2;96,949495;93.2017;0;76891.4;35696.2;105000;9000;20001
5_0;2;0;0;3;0;0;0;0;39;17;1;0;0;0;0;0;0;2;39;17;1;0;0;94,951599;102.297;0;98103.2;147308;105000;35500;20001
6_0;2;0;0;3;0;0;0;0;43;16;0;0;0;0;0;0;0;2;43;16;0;0;0;94,938973;124.668;0;120305;179523;105000;16000;20001
7_0;2;1;0;4;0;0;0;0;44;18;1;0;0;0;0;0;0;2;44;18;1;0;0;94,751684;128.355;0;135286;184831;390000;36500;26668
8_0;3;0;0;3;1;0;0;0;40;17;2;0;0;0;0;0;0;2;40;17;2;0;0;94,722222;169.512;10170.7;170868;244097;157500;72500;20001
9_0;3;0;0;3;2;0;0;0;43;10;0;0;0;0;0;0;0;3;43;10;0;0;1;94,215067;155.618;18674.2;131497;277622;157500;47000;20001
10_0;3;0;0;4;2;0;0;0;41;22;3;0;0;0;0;0;1;5;41;22;3;1;2;89,924242;149.164;17899.6;172582;523714;157500;114500;26668
11_0;2;0;0;3;2;0;0;0;37;17;3;0;0;0;0;0;1;6;37;17;3;0;1;87,561027;125.69;15082.8;125313;602558;105000;109500;20001
12_0;3;0;0;5;5;0;0;0;52;21;2;0;0;0;0;0;1;6;52;21;2;0;0;88,080808;106.296;31888.8;134783;535731;157500;150500;33335
13_0;4;0;0;8;11;0;0;0;55;18;0;0;0;0;0;0;1;6;55;18;0;0;0;89,133523;105.205;69435.2;124668;530233;210000;221500;53336
14_0;5;0;0;9;12;0;0;0;63;27;3;0;0;0;0;0;1;7;63;27;3;0;1;89,586139;84.6637;60957.8;134361;433139;262500;304500;60003
15_0;7;0;0;15;23;0;0;0;67;25;1;0;0;0;0;0;2;7;67;25;1;1;0;88,608586;83.6099;115382;128676;510271;367500;469000;100005
16_0;4;1;1;16;8;0;0;0;74;37;3;1;9;0;0;0;1;0;74;37;3;0;2;92,509183;93.2017;44736.8;496392;67105.2;4995000;3.3245e+06;106672
