Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;98,958333;142;0;4260;0;52500;0;13334
1_0;1;0;0;3;0;0;0;0;5;3;0;0;0;0;0;0;0;0;5;3;0;0;0;97,656250;142;0;19170;0;52500;3000;20001
2_0;1;0;0;3;0;0;0;0;9;4;0;0;0;0;0;0;0;0;9;4;0;0;0;97,511574;142;0;30530;0;52500;4000;20001
3_0;1;0;0;3;0;0;0;0;8;2;0;0;0;0;0;0;0;0;8;2;0;0;0;98,611111;142;0;22720;0;52500;2000;20001
4_0;1;0;0;3;0;0;0;0;6;3;0;0;0;0;0;0;0;1;6;3;0;0;1;94,902778;142;0;21300;82928;52500;3000;20001
5_0;1;0;0;3;0;0;0;0;16;4;0;0;0;0;0;0;0;1;16;4;0;0;0;93,981481;142;0;45440;102240;52500;4000;20001
6_0;1;0;0;3;0;0;0;0;16;8;1;0;0;0;0;0;0;1;16;8;1;0;0;94,275794;142;0;61628;102240;52500;26500;20001
7_0;1;0;0;3;0;0;0;0;20;14;2;0;0;0;0;0;0;1;20;14;2;0;0;94,062500;142;0;92016;102240;52500;51000;20001
8_0;1;0;0;3;0;0;0;0;20;8;0;0;0;0;0;0;0;1;20;8;0;0;0;95,447531;142;0;65320;102240;52500;8000;20001
9_0;2;1;0;5;6;0;0;0;22;16;0;0;0;0;0;0;0;1;22;16;0;0;0;93,325617;142;51120;92300;102240;390000;127000;33335
10_0;2;0;0;3;2;0;0;0;19;8;1;0;0;0;0;0;0;1;19;8;1;0;0;94,911265;142;17040;68018;102240;105000;63500;20001
11_0;1;0;0;3;2;0;0;0;22;11;1;0;0;0;0;0;0;1;22;11;1;0;0;94,506173;142;17040;82928;102240;52500;66500;20001
12_0;1;0;0;3;2;0;0;0;20;16;0;0;0;0;0;0;0;1;20;16;0;0;0;94,930556;142;17040;88040;102240;52500;53000;20001
13_0;1;0;0;3;2;0;0;0;23;14;1;0;0;0;0;0;0;2;23;14;1;0;1;95,006313;142;17040;93578;114026;52500;69500;20001
14_0;1;0;0;3;1;0;0;0;35;9;2;0;0;0;0;0;0;2;35;9;2;0;0;93,423032;142;8520;109766;204480;52500;64500;20001
15_0;2;0;0;4;4;0;0;0;32;18;2;0;0;0;0;0;0;2;32;18;2;0;0;93,087607;142;34080;128936;204480;105000;129000;26668
16_0;1;0;0;3;1;0;0;0;36;11;0;0;0;0;0;0;1;5;36;11;0;1;3;92,328869;142;8520;107920;322766;52500;29500;20001
17_0;2;0;0;5;6;0;0;0;37;12;3;0;0;0;0;0;1;6;37;12;3;0;1;86,168981;142;51120;127374;669956;105000;178500;33335
18_0;2;1;0;6;5;0;0;0;36;11;3;2;0;0;0;0;0;6;36;11;3;1;0;87,098291;142;42600;201356;613440;390000;306000;40002
19_0;2;0;0;3;1;0;0;0;48;19;2;0;0;0;0;0;0;6;48;19;2;0;0;88,992063;142;8520;165856;613440;105000;74500;20001
20_0;2;0;1;10;4;0;0;0;53;20;3;0;7;0;0;0;1;0;53;20;3;1;1;93,316667;142;34080;440342;38056;4605000;2.491e+06;66670
21_0;3;0;0;6;0;7;0;0;48;23;4;0;0;0;0;0;1;0;48;23;4;0;0;95,451852;142;59640;186872;102240;157500;226500;40002
22_0;2;0;0;3;0;1;0;0;49;19;1;0;0;0;0;0;1;1;49;19;1;0;1;95,900000;142;8520;163158;142710;105000;56000;20001
23_0;2;0;0;5;0;5;0;0;43;14;0;0;0;0;0;0;1;1;43;14;0;0;0;95,064815;142;42600;131350;204480;105000;106500;33335
24_0;5;1;0;11;15;0;0;0;58;16;1;1;0;0;0;0;0;1;58;16;1;0;0;95,017361;142;127800;177500;102240;547500;385500;73337
25_0;2;0;0;5;1;3;0;0;57;21;1;0;0;0;0;0;0;2;57;21;1;0;1;95,223856;142;34080;185878;195108;105000;113500;33335
26_0;4;0;0;8;0;10;0;0;60;19;6;0;0;0;0;0;0;3;60;19;6;0;1;94,415123;142;85200;210728;217970;210000;315000;53336
27_0;2;0;0;4;3;0;0;0;55;21;3;0;0;0;0;0;0;3;55;21;3;0;0;94,609649;142;25560;191274;306720;105000;132000;26668
28_0;4;1;0;11;14;0;0;0;59;25;1;0;0;0;0;0;0;4;59;25;1;0;1;93,816667;142;119280;201498;311406;495000;302500;73337
29_0;3;0;0;7;0;8;0;0;62;25;2;0;0;0;0;0;0;5;62;25;2;0;1;92,875661;142;68160;212716;483936;157500;210000;46669
30_0;2;0;0;5;1;0;0;0;75;29;6;0;0;0;0;0;0;5;75;29;6;0;0;92,968434;142;8520;271078;511200;105000;158500;33335
31_0;3;0;0;6;5;0;0;0;69;24;4;0;0;0;0;0;0;5;69;24;4;0;0;93,295894;142;42600;234442;511200;157500;190500;40002
