Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;98,055556;149.164;0;10441.5;0;52500;2000;13334
1_0;1;0;0;3;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;2;0;0;0;98,611111;125.69;0;12569;0;52500;2000;20001
2_0;1;0;0;3;0;0;0;0;10;5;0;0;0;0;0;0;0;1;10;5;0;0;1;94,453704;106.296;0;26574;37097.2;52500;5000;20001
3_0;1;0;0;3;0;0;0;0;15;5;0;0;0;0;0;0;0;1;15;5;0;0;0;92,743056;105.205;0;34191.6;75747.5;52500;5000;20001
4_0;1;0;0;3;0;0;0;0;17;5;0;0;0;0;0;0;0;1;17;5;0;0;0;94,027778;84.6637;0;30055.6;60957.8;52500;5000;20001
5_0;1;0;0;3;0;0;0;0;20;11;0;0;0;0;0;0;0;1;20;11;0;0;0;94,259259;83.6099;0;43477.2;60199.2;52500;11000;20001
6_0;1;0;0;3;0;0;0;0;22;12;0;0;0;0;0;0;0;1;22;12;0;0;0;94,880952;93.2017;0;53124.9;67105.2;52500;12000;20001
7_0;1;0;0;3;0;0;0;0;24;12;1;0;0;0;0;0;0;1;24;12;1;0;0;95,298611;102.297;0;64856.5;73654.1;52500;30500;20001
8_0;2;1;0;4;0;0;0;0;28;9;0;0;0;0;0;0;0;1;28;9;0;0;0;95,925926;124.668;0;74801.1;89761.3;390000;9000;26668
9_0;2;0;0;3;1;0;0;0;28;14;1;0;0;0;0;0;0;1;28;14;1;0;0;95,327160;128.355;7701.3;94212.6;92415.6;105000;51000;20001
10_0;2;0;0;3;0;0;0;0;28;16;0;0;0;0;0;0;0;1;28;16;0;0;0;95,493827;169.512;0;125439;122049;105000;16000;20001
11_0;2;0;0;3;0;0;0;0;36;12;2;0;0;0;0;0;0;2;36;12;2;0;1;92,996914;155.618;0;131964;221133;105000;49000;20001
12_0;3;0;0;4;4;0;0;0;31;12;0;0;0;0;0;0;0;2;31;12;0;0;0;93,375000;149.164;35799.3;105160;214796;157500;86000;26668
13_0;3;0;0;4;5;0;0;0;35;14;1;0;0;0;0;0;0;3;35;14;1;0;1;92,469697;125.69;37707;105454;231647;157500;125000;26668
14_0;3;0;0;5;6;0;0;0;28;11;0;0;0;0;0;0;0;3;28;11;0;0;0;92,685185;106.296;38266.5;68029.3;229599;157500;122000;33335
