Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;6;3;1;0;0;0;0;0;0;0;6;3;1;0;0;98,034188;142;0;26128;0;52500;21500;6667
1_0;1;0;0;1;0;0;0;0;18;4;0;0;0;0;0;0;0;0;18;4;0;0;0;98,130342;142;0;49700;0;52500;4000;6667
2_0;1;0;0;1;0;0;0;0;22;4;1;0;0;0;0;0;0;0;22;4;1;0;0;98,418803;142;0;63048;0;52500;22500;6667
3_0;1;0;0;2;0;0;0;0;34;14;2;0;0;0;0;0;0;0;34;14;2;0;0;97,708333;142;0;121836;0;52500;51000;13334
4_0;2;0;0;3;0;0;0;0;35;23;5;1;0;0;0;0;0;0;35;23;5;1;0;96,454125;142;0;239270;0;105000;189000;20001
5_0;2;0;0;3;0;0;0;0;48;22;1;0;0;0;0;0;0;1;48;22;1;0;1;97,845486;142;0;169548;6674;105000;40500;20001
0_1;1;0;0;1;0;0;0;0;10;4;1;0;0;0;0;0;0;0;10;4;1;0;0;97,179487;142;0;37488;0;52500;22500;6667
1_1;1;0;0;1;0;0;0;0;16;7;0;0;0;0;0;0;0;0;16;7;0;0;0;97,970085;142;0;53960;0;52500;7000;6667
2_1;1;0;0;1;0;0;0;0;28;8;2;0;0;0;0;0;0;0;28;8;2;0;0;97,692308;142;0;92016;0;52500;45000;6667
3_1;1;0;0;2;0;0;0;0;29;16;0;0;0;0;0;0;0;0;29;16;0;0;0;97,983440;142;0;107210;0;52500;16000;13334
4_1;2;0;0;3;0;0;0;0;37;15;1;0;0;0;0;0;0;0;37;15;1;0;0;98,129209;142;0;126238;0;105000;33500;20001
5_1;2;0;0;3;0;0;0;0;49;26;1;0;0;0;0;0;0;0;49;26;1;0;0;97,762153;142;0;183038;0;105000;44500;20001
0_2;1;0;0;1;0;0;0;0;6;2;0;0;0;0;0;0;0;0;6;2;0;0;0;98,611111;142;0;18460;0;52500;2000;6667
1_2;1;0;0;1;0;0;0;0;11;5;1;0;0;0;0;0;0;0;11;5;1;0;0;98,402778;142;0;42458;0;52500;23500;6667
2_2;1;0;0;1;0;0;0;0;27;13;0;0;0;0;0;0;0;0;27;13;0;0;0;97,631766;142;0;94430;0;52500;13000;6667
3_2;1;0;0;2;0;0;0;0;32;10;0;0;0;0;0;0;0;0;32;10;0;0;0;98,183761;142;0;96560;0;52500;10000;13334
4_2;2;0;0;3;0;0;0;0;42;19;3;0;0;0;0;0;0;0;42;19;3;0;0;97,659933;142;0;157904;0;105000;74500;20001
5_2;2;0;0;3;0;0;0;0;51;15;5;1;0;0;0;0;0;0;51;15;5;1;0;96,935764;142;0;250630;0;105000;181000;20001
0_3;1;0;0;1;0;0;0;0;9;2;0;0;0;0;0;0;0;0;9;2;0;0;0;98,130342;142;0;24850;0;52500;2000;6667
1_3;1;0;0;1;0;0;0;0;12;8;0;0;0;0;0;0;0;0;12;8;0;0;0;98,183761;142;0;48280;0;52500;8000;6667
2_3;1;0;0;1;0;0;0;0;27;13;0;0;0;0;0;0;0;0;27;13;0;0;0;97,631766;142;0;94430;0;52500;13000;6667
3_3;1;0;0;2;0;0;0;0;33;16;1;0;0;0;0;0;0;0;33;16;1;0;0;97,732372;142;0;120558;0;52500;34500;13334
4_3;2;0;0;3;0;0;0;0;38;17;1;0;0;0;0;0;0;0;38;17;1;0;0;98,013468;142;0;134048;0;105000;35500;20001
5_3;2;0;0;3;0;0;0;0;49;20;2;1;0;0;0;0;0;0;49;20;2;1;0;96,991319;142;0;246086;0;105000;130500;20001
0_4;1;0;0;1;0;0;0;0;8;6;0;0;0;0;0;0;0;0;8;6;0;0;0;97,435897;142;0;34080;0;52500;6000;6667
1_4;1;0;0;1;0;0;0;0;12;5;1;0;0;0;0;0;0;0;12;5;1;0;0;98,322650;142;0;44588;0;52500;23500;6667
2_4;1;0;0;1;0;0;0;0;23;6;0;0;0;0;0;0;0;0;23;6;0;0;0;98,344017;142;0;66030;0;52500;6000;6667
3_4;1;0;0;2;0;0;0;0;30;14;2;0;0;0;0;0;0;0;30;14;2;0;0;97,868590;142;0;113316;0;52500;51000;13334
4_4;2;0;0;3;0;0;0;0;42;15;2;0;0;0;0;0;0;0;42;15;2;0;0;97,899832;142;0;141716;0;105000;52000;20001
5_4;2;0;0;3;0;0;0;0;55;34;2;1;0;0;0;0;0;0;55;34;2;1;0;96,348958;142;0;298626;0;105000;144500;20001
