Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;7;1;0;0;0;0;0;0;0;0;7;1;0;0;0;98,664530;142;0;17750;0;52500;1000;20001
1_0;1;0;0;3;0;0;0;0;16;6;1;0;0;0;0;0;0;0;16;6;1;0;0;97,895299;142;0;55948;0;52500;24500;20001
2_0;1;1;0;4;0;0;0;0;26;6;0;0;0;0;0;0;0;0;26;6;0;0;0;98,183761;142;0;72420;0;337500;6000;26668
3_0;1;0;0;3;0;0;0;0;34;14;1;0;0;0;0;0;0;0;34;14;1;0;0;97,799145;142;0;117008;0;52500;32500;20001
4_0;1;0;0;3;0;0;0;0;42;11;3;0;0;0;0;0;0;0;42;11;3;0;0;97,996633;142;0;135184;0;52500;66500;20001
5_0;1;1;0;4;0;0;0;0;46;19;1;0;0;0;0;0;0;0;46;19;1;0;0;98,083333;142;0;156768;0;337500;37500;26668
0_1;1;0;0;3;0;0;0;0;10;3;0;0;0;0;0;0;0;0;10;3;0;0;0;97,756410;142;0;29820;0;52500;3000;20001
1_1;1;0;0;3;0;0;0;0;18;9;0;0;0;0;0;0;1;0;18;9;0;1;0;97,120726;142;0;63900;12638;52500;9000;20001
2_1;1;1;0;4;0;0;0;0;26;10;3;1;0;0;0;0;0;0;26;10;3;0;0;97,443020;142;0;101956;0;337500;139000;26668
3_1;1;0;0;3;0;0;0;0;36;13;1;0;0;0;0;0;0;0;36;13;1;0;0;97,772436;142;0;118428;0;52500;31500;20001
4_1;1;0;0;3;0;0;0;0;42;17;2;0;0;0;0;0;1;1;42;17;2;1;1;95,744949;142;0;147396;139728;52500;54000;20001
5_1;1;1;0;4;0;0;0;0;44;16;1;1;0;0;0;0;0;2;44;16;1;0;1;95,777778;142;0;147680;197664;337500;108000;26668
0_2;1;0;0;3;0;0;0;0;5;3;1;0;0;0;0;0;0;0;5;3;1;0;0;98,194444;142;0;23998;0;52500;21500;20001
1_2;1;0;0;3;0;0;0;0;20;6;0;0;0;0;0;0;0;0;20;6;0;0;0;97,756410;142;0;59640;0;52500;6000;20001
2_2;1;1;0;4;0;0;0;0;26;11;1;0;0;0;0;0;0;0;26;11;1;0;0;97,706553;142;0;91448;0;337500;29500;26668
3_2;1;0;0;3;0;0;0;0;31;7;1;0;0;0;0;0;0;0;31;7;1;0;0;98,293269;142;0;90738;0;52500;25500;20001
4_2;1;0;0;3;0;0;0;0;37;15;1;0;0;0;0;0;0;1;37;15;1;0;1;98,061869;142;0;126238;4544;52500;33500;20001
5_2;1;1;0;4;0;0;0;0;44;21;0;0;0;0;0;0;0;1;44;21;0;0;0;96,875000;142;0;153360;102240;337500;21000;26668
0_3;1;0;0;3;0;0;0;0;7;1;1;0;0;0;0;0;0;0;7;1;1;0;0;98,301282;142;0;22578;0;52500;19500;20001
1_3;1;0;0;3;0;0;0;0;17;5;0;0;0;0;0;0;1;0;17;5;0;1;0;95,405983;142;0;50410;71710;52500;5000;20001
2_3;1;1;0;4;0;0;0;0;27;8;0;1;0;0;0;0;0;0;27;8;0;0;0;97,895299;142;0;83922;0;337500;81500;26668
3_3;1;0;0;3;0;0;0;0;33;16;1;0;0;0;0;0;0;0;33;16;1;0;0;97,732372;142;0;120558;0;52500;34500;20001
4_3;1;0;0;3;0;0;0;0;48;15;1;0;0;0;0;0;1;0;48;15;1;1;0;97,266414;142;0;149668;34790;52500;33500;20001
5_3;1;1;0;4;0;0;0;0;58;17;1;1;0;0;0;0;0;1;58;17;1;0;1;97,192708;142;0;180340;49274;337500;109000;26668
0_4;1;0;0;3;0;0;0;0;10;4;1;0;0;0;0;0;0;0;10;4;1;0;0;97,179487;142;0;37488;0;52500;22500;20001
1_4;1;0;0;3;0;0;0;0;19;7;0;0;0;0;0;0;0;0;19;7;0;0;0;97,729701;142;0;60350;0;52500;7000;20001
2_4;1;1;0;4;0;0;0;0;18;12;0;1;0;0;0;0;0;0;18;12;0;1;0;96,296296;142;0;147680;0;337500;85500;26668
3_4;1;0;0;3;0;0;0;0;39;13;2;0;0;0;0;0;0;0;39;13;2;0;0;97,561432;142;0;129646;0;52500;50000;20001
4_4;1;0;0;3;0;0;0;0;37;21;1;0;0;0;0;0;0;0;37;21;1;0;0;97,876684;142;0;143278;0;52500;39500;20001
5_4;1;1;0;4;0;0;0;0;40;21;2;1;0;0;0;0;0;1;40;21;2;1;1;97,111111;142;0;229756;6532;337500;131500;26668
