Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;18;8;0;0;0;0;0;0;0;0;18;8;0;0;0;98,190236;142;0;61060;0;52500;8000;6667
1_0;2;0;0;3;0;0;0;0;43;16;1;0;0;0;0;0;0;0;43;16;1;0;0;97,897727;142;0;141858;0;105000;34500;20001
2_0;2;0;0;3;0;0;0;0;57;31;0;0;0;0;0;0;0;0;57;31;0;0;0;97,930696;142;0;209450;0;105000;31000;20001
3_0;2;0;0;4;0;0;0;0;81;24;2;0;0;0;0;0;0;3;81;24;2;0;3;96,276305;142;0;250346;252192;105000;61000;26668
4_0;3;0;0;5;0;0;0;0;102;44;5;0;0;0;0;0;2;3;102;44;5;2;0;95,534639;142;0;366360;391494;157500;136500;33335
5_0;3;1;0;7;0;0;0;0;125;58;5;2;0;0;0;0;0;4;125;58;5;0;1;96,038194;142;0;462494;347616;442500;297500;46669
0_1;1;0;0;1;0;0;0;0;23;6;1;0;0;0;0;0;0;0;23;6;1;0;0;97,899832;142;0;70858;0;52500;24500;6667
1_1;2;0;0;3;0;0;0;0;47;18;1;0;0;0;0;0;0;0;47;18;1;0;0;97,687290;142;0;156058;0;105000;36500;20001
2_1;2;0;0;3;0;0;0;0;66;14;2;0;0;0;0;0;0;0;66;14;2;0;0;98,122896;142;0;189996;0;105000;51000;20001
3_1;2;0;0;4;0;0;0;0;74;37;1;0;0;0;0;0;0;0;74;37;1;0;0;98,017677;142;0;267528;0;105000;55500;26668
4_1;3;0;0;5;0;0;0;0;111;35;5;0;0;0;0;0;1;0;111;35;5;1;0;97,745147;142;0;359970;22720;157500;127500;33335
5_1;3;1;0;7;0;0;0;0;132;46;4;3;0;0;0;0;0;3;132;46;4;2;3;96,888889;142;0;585324;50836;442500;340500;46669
0_2;1;0;0;1;0;0;0;0;21;7;2;0;0;0;0;0;0;0;21;7;2;0;0;97,798822;142;0;74266;0;52500;44000;6667
1_2;2;0;0;3;0;0;0;0;46;19;3;0;0;0;0;0;0;0;46;19;3;0;0;97,533670;142;0;166424;0;105000;74500;20001
2_2;2;0;0;3;0;0;0;0;61;24;2;0;0;0;0;0;0;0;61;24;2;0;0;97,947531;142;0;207746;0;105000;61000;20001
3_2;2;0;0;4;0;0;0;0;70;25;2;0;0;0;0;0;1;0;70;25;2;1;0;98,269150;142;0;229756;3834;105000;62000;26668
4_2;3;0;0;5;0;0;0;0;90;47;2;0;0;0;0;0;2;2;90;47;2;1;2;96,296854;142;0;334836;293656;157500;84000;33335
5_2;3;1;0;7;0;0;0;0;118;55;0;4;0;0;0;0;0;2;118;55;0;2;0;96,234722;142;0;565444;204480;442500;349000;46669
0_3;1;0;0;1;0;0;0;0;20;8;1;0;0;0;0;0;0;0;20;8;1;0;0;97,920875;142;0;70148;0;52500;26500;6667
1_3;2;0;0;3;0;0;0;0;36;15;2;0;0;0;0;0;0;0;36;15;2;0;0;98,089226;142;0;128936;0;105000;52000;20001
2_3;2;0;0;3;0;0;0;0;69;27;4;0;0;0;0;0;0;0;69;27;4;0;0;97,599607;142;0;242962;0;105000;101000;20001
3_3;2;0;0;4;0;0;0;0;83;28;6;0;0;0;0;0;0;0;83;28;6;0;0;97,886153;142;0;285278;0;105000;139000;26668
4_3;3;0;0;5;0;0;0;0;103;50;4;0;0;0;0;0;3;2;103;50;4;3;2;96,810576;142;0;380702;160602;157500;124000;33335
5_3;3;1;0;7;0;0;0;0;133;40;10;3;0;0;0;0;0;2;133;40;10;0;0;96,768750;142;0;456246;204480;442500;445500;46669
0_4;1;0;0;1;0;0;0;0;22;8;0;0;0;0;0;0;0;0;22;8;0;0;0;97,937710;142;0;69580;0;52500;8000;6667
1_4;2;0;0;3;0;0;0;0;45;20;4;0;0;0;0;0;0;0;45;20;4;0;0;97,451599;142;0;171962;0;105000;94000;20001
2_4;2;0;0;3;0;0;0;0;53;34;1;0;0;0;0;0;0;0;53;34;1;0;0;97,882997;142;0;214278;0;105000;52500;20001
3_4;2;0;0;4;0;0;0;0;90;28;3;0;0;0;0;0;0;1;90;28;3;0;1;97,685185;142;0;285704;26696;105000;83500;26668
4_4;3;0;0;5;0;0;0;0;101;52;5;0;0;0;0;0;0;1;101;52;5;0;0;97,117637;142;0;386950;102240;157500;144500;33335
5_4;3;1;0;7;0;0;0;0;122;58;5;0;0;0;0;0;0;1;122;58;5;0;0;97,305556;142;0;448720;102240;442500;150500;46669
