Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;18;5;0;0;0;0;0;0;0;0;18;5;0;0;0;97,944444;142;0;52540;0;52500;5000;6667
1_0;1;0;0;2;0;0;0;0;28;12;2;0;0;0;0;0;0;0;28;12;2;0;0;97,977778;142;0;103376;0;52500;49000;13334
2_0;1;0;0;2;0;0;0;0;39;25;0;0;0;0;0;0;0;0;39;25;0;0;0;97,990741;142;0;154070;0;52500;25000;13334
3_0;2;0;0;3;0;0;0;0;63;29;0;0;0;0;0;0;0;0;63;29;0;0;0;97,881944;142;0;216550;0;105000;29000;20001
4_0;2;0;0;4;0;0;0;0;70;35;5;0;0;0;0;0;0;0;70;35;5;0;0;97,866667;142;0;272640;0;105000;127500;26668
5_0;3;1;0;5;0;0;0;0;77;36;5;0;0;0;0;0;0;0;77;36;5;0;0;98,106481;142;0;290390;0;442500;128500;33335
0_1;1;0;0;1;0;0;0;0;17;6;3;0;0;0;0;0;0;0;17;6;3;0;0;97,350000;142;0;67734;0;52500;61500;6667
1_1;1;0;0;2;0;0;0;0;28;13;2;0;0;0;0;0;0;0;28;13;2;0;0;97,922222;142;0;106216;0;52500;50000;13334
2_1;1;0;0;2;0;0;0;0;52;16;2;0;0;0;0;0;0;0;52;16;2;0;0;97,837037;142;0;165856;0;52500;53000;13334
3_1;2;0;0;3;0;0;0;0;50;30;1;0;0;0;0;0;1;1;50;30;1;1;1;97,577778;142;0;196528;51120;105000;48500;20001
4_1;2;0;0;4;0;0;0;0;81;31;1;0;0;0;0;0;1;1;81;31;1;0;0;96,323333;142;0;265398;204480;105000;49500;26668
5_1;3;1;0;5;0;0;0;0;98;36;2;3;0;0;0;0;0;2;98;36;2;2;1;95,962037;142;0;474848;144414;442500;293500;33335
0_2;1;0;0;1;0;0;0;0;15;6;0;0;0;0;0;0;0;0;15;6;0;0;0;98,083333;142;0;48990;0;52500;6000;6667
1_2;1;0;0;2;0;0;0;0;33;17;1;0;0;0;0;0;0;0;33;17;1;0;0;97,586111;142;0;123398;0;52500;35500;13334
2_2;1;0;0;2;0;0;0;0;46;21;0;0;0;0;0;0;0;1;46;21;0;0;1;97,398148;142;0;157620;41890;52500;21000;13334
3_2;2;0;0;3;0;0;0;0;64;21;5;0;0;0;0;0;0;1;64;21;5;0;0;96,847222;142;0;220100;102240;105000;113500;20001
4_2;2;0;0;4;0;0;0;0;83;38;1;0;0;0;0;0;2;3;83;38;1;2;2;95,502222;142;0;289538;285278;105000;56500;26668
5_2;3;1;0;5;0;0;0;0;83;41;2;2;0;0;0;0;0;5;83;41;2;0;2;95,302778;142;0;310270;410096;442500;225000;33335
0_3;1;0;0;1;0;0;0;0;13;3;1;0;0;0;0;0;0;0;13;3;1;0;0;98,394444;142;0;41038;0;52500;21500;6667
1_3;1;0;0;2;0;0;0;0;35;12;0;0;0;0;0;0;1;0;35;12;0;1;0;96,338889;142;0;108630;78526;52500;12000;13334
2_3;1;0;0;2;0;0;0;0;49;19;2;0;0;0;0;0;1;0;49;19;2;0;0;96,475926;142;0;167986;102240;52500;56000;13334
3_3;2;0;0;3;0;0;0;0;58;19;0;0;0;0;0;0;2;0;58;19;0;1;0;96,572222;142;0;177500;172956;105000;19000;20001
4_3;2;0;0;4;0;0;0;0;74;32;0;0;0;0;0;0;2;1;74;32;0;0;1;96,106667;142;0;248500;249068;105000;32000;26668
5_3;3;1;0;5;0;0;0;0;99;34;3;2;0;0;0;0;0;1;99;34;3;0;0;97,186111;142;0;329298;102240;442500;236500;33335
0_4;1;0;0;1;0;0;0;0;17;7;1;0;0;0;0;0;0;0;17;7;1;0;0;97,616667;142;0;60918;0;52500;25500;6667
1_4;1;0;0;2;0;0;0;0;36;17;1;0;0;0;0;0;0;0;36;17;1;0;0;97,461111;142;0;129788;0;52500;35500;13334
2_4;1;0;0;2;0;0;0;0;44;10;1;0;0;0;0;0;0;0;44;10;1;0;0;98,344444;142;0;126948;0;52500;28500;13334
3_4;2;0;0;3;0;0;0;0;54;19;2;0;0;0;0;0;0;0;54;19;2;0;0;98,252778;142;0;178636;0;105000;56000;20001
4_4;2;0;0;4;0;0;0;0;78;33;2;0;0;0;0;0;0;0;78;33;2;0;0;97,891111;142;0;269516;0;105000;70000;26668
5_4;3;1;0;5;0;0;0;0;90;55;1;0;0;0;0;0;0;1;90;55;1;0;1;97,146296;142;0;352728;84916;442500;73500;33335
