Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;23;11;1;0;0;0;0;0;0;0;23;11;1;0;0;97,478956;106.296;0;63671.2;0;52500;29500;20001
1_0;2;0;0;3;0;0;0;0;36;16;0;0;0;0;0;0;0;0;36;16;0;0;0;98,190236;105.205;0;90476.2;0;105000;16000;20001
2_0;2;0;0;3;0;0;0;0;67;34;2;0;0;0;0;0;2;0;67;34;2;2;0;96,265432;84.6637;0;148415;76959.3;105000;71000;20001
3_0;3;0;0;5;0;0;0;0;76;33;4;0;0;0;0;0;2;0;76;33;4;0;0;96,447811;83.6099;0;161869;120398;157500;107000;33335
4_0;4;0;0;5;0;0;0;0;123;47;5;0;0;0;0;0;3;1;123;47;5;1;1;95,678548;93.2017;0;275411;205976;210000;139500;33335
5_0;4;1;0;7;0;0;0;0;126;50;5;4;0;0;0;0;0;3;126;50;5;1;2;96,406250;102.297;0;375227;154162;495000;436500;46669
0_1;1;0;0;3;0;0;0;0;21;7;1;0;0;0;0;0;0;0;21;7;1;0;0;97,941919;106.296;0;51978.7;0;52500;25500;20001
1_1;2;0;0;3;0;0;0;0;42;15;2;0;0;0;0;0;0;0;42;15;2;0;0;97,899832;105.205;0;104995;0;105000;52000;20001
2_1;2;0;0;3;0;0;0;0;62;21;0;0;0;0;0;0;0;0;62;21;0;0;0;98,106061;84.6637;0;114296;0;105000;21000;20001
3_1;3;0;0;5;0;0;0;0;90;32;2;0;0;0;0;0;0;0;90;32;2;0;0;97,834596;83.6099;0;172069;0;157500;69000;33335
4_1;4;0;0;5;0;0;0;0;100;46;5;0;0;0;0;0;0;0;100;46;5;0;0;97,832999;93.2017;0;241392;0;210000;138500;33335
5_1;4;1;0;7;0;0;0;0;134;42;3;1;0;0;0;0;0;2;134;42;3;1;2;97,139583;102.297;0;356199;65163.4;495000;171000;46669
0_2;1;0;0;3;0;0;0;0;15;10;1;0;0;0;0;0;0;0;15;10;1;0;0;98,068182;106.296;0;48789.8;0;52500;28500;20001
1_2;2;0;0;3;0;0;0;0;38;16;0;0;0;0;0;0;0;0;38;16;0;0;0;98,127104;105.205;0;93632.4;0;105000;16000;20001
2_2;2;0;0;3;0;0;0;0;64;21;4;0;0;0;0;0;0;0;64;21;4;0;0;97,873176;84.6637;0;128350;0;105000;95000;20001
