Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;8;5;0;0;0;0;0;0;0;0;8;5;0;0;0;97,649573;142;0;31240;0;52500;5000;20001
1_0;1;0;0;4;0;0;0;0;16;8;0;0;0;0;0;0;0;0;16;8;0;0;0;97,863248;142;0;56800;0;52500;8000;26668
2_0;1;0;0;3;0;0;0;0;22;13;3;0;0;0;0;0;0;0;22;13;3;0;0;97,535613;142;0;98264;0;52500;68500;20001
3_0;1;0;0;4;0;0;0;0;33;8;1;0;0;0;0;0;0;0;33;8;1;0;0;98,159722;142;0;97838;0;52500;26500;26668
4_0;1;0;0;4;0;0;0;0;43;17;3;0;0;0;0;0;0;0;43;17;3;0;0;97,712542;142;0;154354;0;52500;72500;26668
5_0;2;0;0;4;0;0;0;0;54;21;1;0;0;0;0;0;0;0;54;21;1;0;0;97,805556;142;0;179488;0;105000;39500;26668
0_1;1;0;0;3;0;0;0;0;7;6;0;0;0;0;0;0;0;0;7;6;0;0;0;97,596154;142;0;31950;0;52500;6000;20001
1_1;1;0;0;4;0;0;0;0;13;6;2;0;0;0;0;0;0;0;13;6;2;0;0;97,954060;142;0;54386;0;52500;43000;26668
2_1;1;0;0;3;0;0;0;0;26;5;1;0;0;0;0;0;0;0;26;5;1;0;0;98,133903;142;0;74408;0;52500;23500;20001
3_1;1;0;0;4;0;0;0;0;36;8;1;0;0;0;0;0;0;0;36;8;1;0;0;98,039530;142;0;104228;0;52500;26500;26668
4_1;1;0;0;4;0;0;0;0;40;14;0;1;0;0;0;0;0;1;40;14;0;1;1;95,690236;142;0;200220;90596;52500;87500;26668
5_1;2;0;0;4;0;0;0;0;48;21;0;1;0;0;0;0;1;1;48;21;0;2;0;95,770833;142;0;237140;108772;105000;94500;26668
0_2;1;0;0;3;0;0;0;0;11;4;0;0;0;0;0;0;0;0;11;4;0;0;0;97,382479;142;0;34790;0;52500;4000;20001
1_2;1;0;0;4;0;0;0;0;17;6;1;0;0;0;0;0;0;0;17;6;1;0;0;97,815171;142;0;58078;0;52500;24500;26668
2_2;1;0;0;3;0;0;0;0;26;10;1;0;0;0;0;0;0;0;26;10;1;0;0;97,777778;142;0;88608;0;52500;28500;20001
3_2;1;0;0;4;0;0;0;0;31;13;2;1;0;0;0;0;0;0;31;13;2;1;0;96,466346;142;0;187866;0;52500;123500;26668
4_2;1;0;0;4;0;0;0;0;37;20;1;1;0;0;0;0;1;0;37;20;1;2;0;96,416246;142;0;215698;26128;52500;112000;26668
5_2;2;0;0;4;0;0;0;0;42;18;0;1;0;0;0;0;0;0;42;18;0;0;0;98,236111;142;0;144272;0;105000;91500;26668
0_3;1;0;0;3;0;0;0;0;7;2;0;0;0;0;0;0;0;0;7;2;0;0;0;98,450855;142;0;20590;0;52500;2000;20001
1_3;1;0;0;4;0;0;0;0;17;5;1;0;0;0;0;0;0;0;17;5;1;0;0;97,922009;142;0;55238;0;52500;23500;26668
2_3;1;0;0;3;0;0;0;0;25;10;1;0;0;0;0;0;0;0;25;10;1;0;0;97,831197;142;0;86478;0;52500;28500;20001
3_3;1;0;0;4;0;0;0;0;34;14;0;0;0;0;0;0;0;0;34;14;0;0;0;97,889957;142;0;112180;0;52500;14000;26668
4_3;1;0;0;4;0;0;0;0;36;12;1;0;0;0;0;0;0;0;36;12;1;0;0;98,287037;142;0;115588;0;52500;30500;26668
5_3;2;0;0;4;0;0;0;0;53;18;4;0;0;0;0;0;0;1;53;18;4;0;1;97,133681;142;0;183322;51120;105000;92000;26668
0_4;1;0;0;3;0;0;0;0;8;1;1;0;0;0;0;0;0;0;8;1;1;0;0;98,141026;142;0;24708;0;52500;19500;20001
1_4;1;0;0;4;0;0;0;0;17;9;1;1;0;0;0;0;0;0;17;9;1;1;0;94,663462;142;0;141858;0;52500;101000;26668
2_4;1;0;0;3;0;0;0;0;28;12;0;0;0;0;0;0;0;0;28;12;0;0;0;97,649573;142;0;93720;0;52500;12000;20001
3_4;1;0;0;4;0;0;0;0;40;13;2;0;0;0;0;0;0;0;40;13;2;0;0;97,521368;142;0;131776;0;52500;50000;26668
4_4;1;0;0;4;0;0;0;0;43;17;0;0;0;0;0;0;0;1;43;17;0;0;1;97,095960;142;0;139870;56090;52500;17000;26668
5_4;2;0;0;4;0;0;0;0;53;23;2;1;0;0;0;0;0;1;53;23;2;1;0;95,532986;142;0;263126;102240;105000;133500;26668
