Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;9;2;0;0;0;0;0;0;0;0;9;2;0;0;0;98,480903;106.296;0;18601.8;0;52500;2000;6667
1_0;1;0;0;1;0;0;0;0;17;9;0;0;0;0;0;0;0;0;17;9;0;0;0;98,111979;105.205;0;45764.1;0;52500;9000;6667
2_0;1;0;0;2;0;0;0;0;28;11;1;0;0;0;0;0;0;0;28;11;1;0;0;98,049769;84.6637;0;57063.3;0;52500;29500;13334
3_0;2;0;0;2;0;0;0;0;39;10;1;1;0;0;0;0;0;0;39;10;1;1;0;97,072483;83.6099;0;112790;0;105000;102000;13334
4_0;2;0;0;3;0;0;0;0;49;25;2;1;1;0;0;0;0;0;49;25;2;1;1;94,298697;93.2017;0;309895;0;105000;470000;20001
5_0;3;0;0;3;0;0;0;0;64;27;2;0;0;0;0;0;0;0;64;27;2;0;0;97,777778;102.297;0;160402;0;157500;64000;20001
6_0;3;0;0;4;0;0;0;0;70;29;4;1;0;0;0;0;0;0;70;29;4;1;0;97,227053;124.668;0;286239;0;157500;176500;26668
7_0;5;0;0;5;0;0;0;0;90;24;0;0;0;0;0;0;0;0;90;24;0;0;0;98,074495;128.355;0;234890;0;262500;24000;33335
8_0;6;1;0;5;0;0;0;0;81;34;3;1;0;0;0;0;0;0;81;34;3;1;0;97,644482;169.512;0;428357;0;600000;163000;33335
9_0;7;1;0;6;0;0;0;0;100;47;3;0;0;0;0;0;0;2;100;47;3;0;2;97,285810;155.618;0;395581;109244;652500;102500;40002
10_0;6;0;0;6;0;0;0;0;119;35;7;1;0;0;0;0;1;3;119;35;7;2;1;95,978294;149.164;0;485229;305189;315000;238000;40002
11_0;5;1;0;7;0;0;0;0;119;49;4;1;0;0;0;0;0;5;119;49;4;0;2;95,920833;125.69;0;367895;370408;547500;196500;46669
0_1;1;0;0;1;0;0;0;0;9;4;1;0;0;0;0;0;0;0;9;4;1;0;0;97,838542;106.296;0;26467.7;0;52500;22500;6667
1_1;1;0;0;1;0;0;0;0;20;11;2;0;0;0;0;0;0;0;20;11;2;0;0;97,447917;105.205;0;61860.5;0;52500;48000;6667
2_1;1;0;0;2;0;0;0;0;37;12;1;0;0;0;0;0;0;0;37;12;1;0;0;97,601273;84.6637;0;70186.2;0;52500;30500;13334
3_1;2;0;0;2;0;0;0;0;43;12;2;0;0;0;0;0;0;0;43;12;2;0;0;97,931858;83.6099;0;79680.3;0;105000;49000;13334
4_1;2;0;0;3;0;0;0;0;49;24;3;0;0;0;0;0;0;0;49;24;3;0;0;97,741770;93.2017;0;122747;0;105000;79500;20001
5_1;3;0;0;3;0;0;0;0;61;31;3;0;0;0;0;0;0;2;61;31;3;0;2;97,440476;102.297;0;167461;17288.3;157500;86500;20001
6_1;3;0;0;4;0;0;0;0;77;22;3;0;0;0;0;0;0;3;77;22;3;0;1;95,852657;124.668;0;211562;216549;157500;77500;26668
7_1;5;0;0;5;0;0;0;0;88;31;2;0;0;0;0;0;0;5;88;31;2;0;2;94,910564;128.355;0;257737;363116;262500;68000;33335
8_1;6;1;0;5;0;0;0;0;90;35;5;0;0;0;0;0;1;5;90;35;5;1;0;94,477069;169.512;0;376317;628042;600000;127500;33335
9_1;7;1;0;6;0;0;0;0;112;42;3;1;0;0;0;0;0;7;112;42;3;0;2;94,056225;155.618;0;412076;693434;652500;171000;40002
10_1;6;0;0;6;0;0;0;0;105;58;5;0;0;0;0;0;0;9;105;58;5;0;2;93,365968;149.164;0;433320;870519;315000;150500;40002
11_1;5;1;0;7;0;0;0;0;127;53;3;1;0;0;0;0;0;9;127;53;3;1;0;93,002083;125.69;0;452107;814471;547500;182000;46669
0_2;1;0;0;1;0;0;0;0;8;4;1;0;0;0;0;0;0;0;8;4;1;0;0;97,968750;106.296;0;24873.2;0;52500;22500;6667
1_2;1;0;0;1;0;0;0;0;20;12;1;0;0;0;0;0;0;0;20;12;1;0;0;97,508681;105.205;0;60387.6;0;52500;30500;6667
2_2;1;0;0;2;0;0;0;0;28;16;1;0;0;0;0;0;0;0;28;16;1;0;0;97,760417;84.6637;0;65529.7;0;52500;34500;13334
3_2;2;0;0;2;0;0;0;0;47;17;2;0;0;0;0;0;0;0;47;17;2;0;0;97,584635;83.6099;0;93057.9;0;105000;54000;13334
4_2;2;0;0;3;0;0;0;0;46;25;1;0;0;0;0;0;0;0;46;25;1;0;0;97,901235;93.2017;0;114079;0;105000;43500;20001
5_2;3;0;0;3;0;0;0;0;66;25;4;0;0;0;0;0;0;1;66;25;4;0;1;97,457483;102.297;0;166336;17186;157500;99000;20001
6_2;3;0;0;4;0;0;0;0;76;21;3;1;0;0;0;0;1;3;76;21;3;2;2;95,849034;124.668;0;273273;155212;157500;150000;26668
7_2;5;0;0;5;0;0;0;0;82;30;1;1;0;0;0;0;0;3;82;30;1;0;0;95,738636;128.355;0;242591;277247;262500;122000;33335
8_2;6;1;0;5;0;0;0;0;103;32;4;1;0;0;0;0;0;5;103;32;4;1;2;94,475205;169.512;0;483279;521419;600000;179500;33335
9_2;7;1;0;6;0;0;0;0;107;45;4;3;0;0;0;0;1;6;107;45;4;4;1;93,189424;155.618;0;658420;608311;652500;339500;40002
10_2;6;0;0;6;0;0;0;0;114;45;4;1;0;0;0;0;0;6;114;45;4;0;0;94,617486;149.164;0;413482;644387;315000;192500;40002
11_2;5;1;0;7;0;0;0;0;137;52;9;2;0;0;0;0;0;8;137;52;9;2;2;93,674306;125.69;0;560703;584207;547500;365500;46669
0_3;1;0;0;1;0;0;0;0;8;6;0;0;0;0;0;0;0;0;8;6;0;0;0;97,916667;106.296;0;25511;0;52500;6000;6667
1_3;1;0;0;1;0;0;0;0;16;9;1;0;0;0;0;0;0;0;16;9;1;0;0;98,029514;105.205;0;47763;0;52500;27500;6667
2_3;1;0;0;2;0;0;0;0;33;16;2;0;0;0;0;0;0;0;33;16;2;0;0;97,445023;84.6637;0;74758;0;52500;53000;13334
3_3;2;0;0;2;0;0;0;0;34;21;2;0;0;0;0;0;0;0;34;21;2;0;0;97,834201;83.6099;0;83442.7;0;105000;58000;13334
4_3;2;0;0;3;0;0;0;0;46;16;0;1;0;0;0;0;0;0;46;16;0;1;0;97,359396;93.2017;0;143531;0;105000;89500;20001
5_3;3;0;0;3;0;0;0;0;61;21;3;0;0;0;0;0;0;2;61;21;3;0;2;96,609977;102.297;0;147001;97694;157500;76500;20001
6_3;3;0;0;4;0;0;0;0;78;22;2;1;0;0;0;0;1;4;78;22;2;2;2;94,599034;124.668;0;275268;282249;157500;132500;26668
7_3;5;0;0;5;0;0;0;0;73;29;10;1;0;0;0;0;0;4;73;29;10;0;0;94,822180;128.355;0;261973;369662;262500;287500;33335
8_3;6;1;0;5;0;0;0;0;96;39;7;0;0;0;0;0;0;5;96;39;7;0;1;94,500373;169.512;0;416660;583460;600000;168500;33335
9_3;7;1;0;6;0;0;0;0;94;36;2;2;0;0;0;0;0;6;94;36;2;2;1;93,678882;155.618;0;507003;668690;652500;220000;40002
10_3;6;0;0;6;0;0;0;0;100;35;4;1;0;0;0;0;0;7;100;35;4;1;1;94,135549;149.164;0;427503;725085;315000;182500;40002
11_3;5;1;0;7;0;0;0;0;121;54;1;0;0;0;0;0;0;7;121;54;1;0;0;94,465972;125.69;0;368146;633478;547500;72500;46669
0_4;1;0;0;1;0;0;0;0;6;3;0;0;0;0;0;0;0;0;6;3;0;0;0;98,697917;106.296;0;15944.4;0;52500;3000;6667
1_4;1;0;0;1;0;0;0;0;19;11;0;0;0;0;0;0;0;0;19;11;0;0;0;97,808160;105.205;0;53128.5;0;52500;11000;6667
2_4;1;0;0;2;0;0;0;0;28;14;0;0;0;0;0;0;0;0;28;14;0;0;0;97,974537;84.6637;0;59264.6;0;52500;14000;13334
3_4;2;0;0;2;0;0;0;0;38;14;1;0;1;0;0;0;0;0;38;14;1;0;1;94,843750;83.6099;0;198657;0;105000;367000;13334
4_4;2;0;0;3;0;0;0;0;59;20;0;0;0;0;0;0;0;0;59;20;0;0;0;97,796639;93.2017;0;119764;0;105000;20000;20001
5_4;3;0;0;3;0;0;0;0;58;27;5;0;0;0;0;0;0;1;58;27;5;0;1;97,229308;102.297;0;161630;38361.5;157500;119500;20001
6_4;3;0;0;4;0;0;0;0;71;32;2;1;0;0;0;0;0;2;71;32;2;1;1;96,141304;124.668;0;287111;111204;157500;142500;26668
7_4;5;0;0;5;0;0;0;0;83;28;4;1;0;0;0;0;0;3;83;28;4;1;1;95,813342;128.355;0;317165;193559;262500;175500;33335
8_4;6;1;0;5;0;0;0;0;92;43;1;1;0;0;0;0;0;5;92;43;1;1;2;94,161074;169.512;0;475312;586512;600000;135000;33335
9_4;7;1;0;6;0;0;0;0;97;36;3;1;0;0;0;0;0;5;97;36;3;1;0;94,639391;155.618;0;436820;560225;652500;165000;40002
10_4;6;0;0;6;0;0;0;0;111;53;6;1;0;0;0;0;0;6;111;53;6;1;1;94,124924;149.164;0;515957;638719;315000;237500;40002
11_4;5;1;0;7;0;0;0;0;124;56;6;0;0;0;0;0;0;6;124;56;6;0;0;94,788889;125.69;0;400197;542981;547500;167000;46669
0_5;1;0;0;1;0;0;0;0;12;5;1;0;0;0;0;0;0;0;12;5;1;0;0;97,274306;106.296;0;33376.9;0;52500;23500;6667
1_5;1;0;0;1;0;0;0;0;23;9;0;0;0;0;0;0;0;0;23;9;0;0;0;97,721354;105.205;0;55232.6;0;52500;9000;6667
2_5;1;0;0;2;0;0;0;0;27;11;1;0;0;0;0;0;0;0;27;11;1;0;0;98,093171;84.6637;0;55793.3;0;52500;29500;13334
3_5;2;0;0;2;0;0;0;0;42;16;2;0;0;0;0;0;0;0;42;16;2;0;0;97,790799;83.6099;0;85114.9;0;105000;53000;13334
4_5;2;0;0;3;0;0;0;0;51;18;1;0;1;0;0;0;0;1;51;18;1;0;2;95,425240;93.2017;0;247078;1584.43;105000;371000;20001
5_5;3;0;0;3;0;0;0;0;71;27;3;0;0;0;0;0;0;2;71;27;3;0;1;95,704365;102.297;0;174622;135442;157500;82500;20001
6_5;3;0;0;4;0;0;0;0;74;28;3;0;0;0;0;0;0;2;74;28;3;0;0;96,120773;124.668;0;220912;179523;157500;83500;26668
7_5;5;0;0;5;0;0;0;0;87;29;2;0;0;0;0;0;0;2;87;29;2;0;0;96,429924;128.355;0;250677;184831;262500;66000;33335
8_5;6;1;0;5;0;0;0;0;90;42;5;1;0;0;0;0;1;3;90;42;5;2;1;95,232103;169.512;0;489890;377164;600000;208000;33335
9_5;7;1;0;6;0;0;0;0;92;33;3;1;0;0;0;0;0;4;92;33;3;0;1;95,986446;155.618;0;337380;409120;652500;162000;40002
10_5;6;0;0;6;0;0;0;0;119;33;3;0;0;0;0;0;0;6;119;33;3;0;2;95,487250;149.164;0;379920;507007;315000;88500;40002
11_5;5;1;0;7;0;0;0;0;122;47;8;1;0;0;0;0;0;9;122;47;8;1;3;93,758333;125.69;0;448965;680737;547500;268500;46669
0_6;1;0;0;1;0;0;0;0;8;5;0;0;0;0;0;0;0;0;8;5;0;0;0;98,090278;106.296;0;23385.1;0;52500;5000;6667
1_6;1;0;0;1;0;0;0;0;22;8;1;0;0;0;0;0;0;0;22;8;1;0;0;97,725694;105.205;0;55127.4;0;52500;26500;6667
2_6;1;0;0;2;0;0;0;0;30;15;2;1;0;0;0;0;0;0;30;15;2;1;0;96,099537;84.6637;0;114127;0;52500;125500;13334
3_6;2;0;0;2;0;0;0;0;41;18;4;0;0;0;0;0;0;0;41;18;4;0;0;97,588976;83.6099;0;92890.6;0;105000;92000;13334
4_6;2;0;0;3;0;0;0;0;49;19;1;0;1;0;0;0;0;0;49;19;1;0;1;95,471536;93.2017;0;246146;0;105000;372000;20001
5_6;3;0;0;3;0;0;0;0;63;20;2;1;0;0;0;0;1;1;63;20;2;2;1;95,915533;102.297;0;198764;96057.2;157500;130500;20001
6_6;3;0;0;4;0;0;0;0;77;27;0;1;0;0;0;0;0;2;77;27;0;0;1;96,628019;124.668;0;214554;133520;157500;100500;26668
7_6;5;0;0;5;0;0;0;0;76;32;1;0;0;0;0;0;0;2;76;32;1;0;0;96,576178;128.355;0;232836;184831;262500;50500;33335
8_6;6;1;0;5;0;0;0;0;94;29;5;1;0;0;0;0;0;3;94;29;5;1;1;95,967562;169.512;0;455987;277322;600000;195000;33335
9_6;7;1;0;6;0;0;0;0;110;50;7;1;0;0;0;0;0;4;110;50;7;1;1;95,208333;155.618;0;531902;359322;652500;253000;40002
10_6;6;0;0;6;0;0;0;0;126;36;5;1;0;0;0;0;1;6;126;36;5;2;2;94,321494;149.164;0;493732;622311;315000;202000;40002
11_6;5;1;0;7;0;0;0;0;128;50;4;2;0;0;0;0;0;8;128;50;4;1;2;94,216667;125.69;0;453992;592754;547500;271000;46669
