Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;2;0;0;0;0;7;2;0;0;0;0;0;0;0;0;7;2;0;0;0;97,986111;142;0;20590;0;0;2000;13334
1_0;1;0;0;3;0;0;0;0;11;5;1;0;0;0;0;1;0;0;11;5;2;0;0;95,243056;142;0;42458;54812;52500;23500;20001
2_0;1;0;0;3;0;0;0;0;20;8;2;0;0;0;0;0;0;0;20;8;1;0;0;97,611111;142;0;73272;0;52500;45000;20001
3_0;1;0;0;3;0;0;0;0;25;8;0;0;0;0;0;0;0;0;25;8;0;0;0;98,142361;142;0;75970;0;52500;8000;20001
4_0;1;0;0;3;0;0;0;0;25;14;0;0;0;0;0;0;0;0;25;14;0;0;0;98,180556;142;0;93010;0;52500;14000;20001
5_0;1;1;0;4;0;0;0;0;33;11;2;0;0;0;0;0;0;0;33;11;2;0;0;98,187500;142;0;111186;0;337500;48000;26668
6_0;1;0;0;3;0;0;0;0;46;16;1;0;0;0;0;0;0;1;46;16;1;0;1;97,841270;142;0;148248;6248;52500;34500;20001
7_0;2;0;0;3;0;0;0;0;45;13;1;0;0;0;0;0;0;1;45;13;1;0;0;97,067708;142;0;137598;102240;105000;31500;20001
8_0;2;0;0;3;0;0;0;0;55;25;1;0;0;0;0;0;0;1;55;25;1;0;0;96,791667;142;0;192978;102240;105000;43500;20001
9_0;2;0;0;4;0;0;0;0;65;30;4;0;0;0;0;0;0;1;65;30;4;0;0;96,623611;142;0;242962;102240;105000;104000;26668
10_0;2;1;0;5;0;0;0;0;68;23;0;1;0;0;0;0;0;2;68;23;0;1;1;96,175505;142;0;285420;144698;390000;96500;33335
11_0;2;1;0;4;0;0;0;0;74;29;3;0;0;0;0;0;0;2;74;29;3;0;0;96,259259;142;0;254464;204480;390000;84500;26668
0_1;0;0;0;2;0;0;0;0;5;3;0;0;0;0;0;0;0;0;5;3;0;0;0;98,125000;142;0;19170;0;0;3000;13334
1_1;1;0;0;3;0;0;0;0;13;5;0;0;0;0;0;0;0;0;13;5;0;0;0;97,951389;142;0;41890;0;52500;5000;20001
2_1;1;0;0;3;0;0;0;0;10;8;1;0;0;0;0;0;0;0;10;8;1;0;0;98,407407;142;0;48848;0;52500;26500;20001
3_1;1;0;0;3;0;0;0;0;30;9;1;0;0;0;0;0;0;0;30;9;1;0;0;97,694444;142;0;94288;0;52500;27500;20001
4_1;1;0;0;3;0;0;0;0;29;11;3;0;0;0;0;0;0;0;29;11;3;0;0;97,897222;142;0;107494;0;52500;66500;20001
5_1;1;1;0;4;0;0;0;0;35;17;0;1;0;0;0;0;0;1;35;17;0;1;1;96,131944;142;0;198090;39192;337500;90500;26668
6_1;1;0;0;3;0;0;0;0;47;21;3;0;0;0;0;0;0;1;47;21;3;0;0;96,136905;142;0;174234;102240;52500;76500;20001
7_1;2;0;0;3;0;0;0;0;50;17;0;0;0;0;0;0;0;1;50;17;0;0;0;96,857639;142;0;154780;102240;105000;17000;20001
8_1;2;0;0;3;0;0;0;0;50;26;2;0;0;0;0;0;0;1;50;26;2;0;0;96,824074;142;0;189996;102240;105000;63000;20001
9_1;2;0;0;4;0;0;0;0;52;22;2;0;0;0;0;0;2;2;52;22;2;2;1;95,309722;142;0;182896;296638;105000;59000;26668
10_1;2;1;0;5;0;0;0;0;67;32;6;2;0;0;0;0;1;2;67;32;6;1;0;94,236111;142;0;341510;306720;390000;290000;33335
11_1;2;1;0;4;0;0;0;0;74;25;1;2;0;0;0;0;0;2;74;25;1;1;0;95,787037;142;0;312400;204480;390000;190500;26668
0_2;0;0;0;2;0;0;0;0;7;3;0;0;0;0;0;0;0;0;7;3;0;0;0;97,708333;142;0;23430;0;0;3000;13334
1_2;1;0;0;3;0;0;0;0;10;4;0;0;0;0;0;0;0;0;10;4;0;0;0;98,402778;142;0;32660;0;52500;4000;20001
2_2;1;0;0;3;0;0;0;0;18;11;1;0;0;0;0;0;1;0;18;11;1;1;0;95,370370;142;0;74408;67592;52500;29500;20001
3_2;1;0;0;3;0;0;0;0;25;11;0;0;0;0;0;0;1;0;25;11;0;0;0;95,434028;142;0;84490;102240;52500;11000;20001
4_2;1;0;0;3;0;0;0;0;29;9;2;0;0;0;0;0;1;2;29;9;2;0;2;94,219444;142;0;96986;198516;52500;46000;20001
5_2;1;1;0;4;0;0;0;0;42;10;2;1;0;0;0;0;0;4;42;10;2;0;2;92,004630;142;0;131208;359260;337500;120500;26668
6_2;1;0;0;3;0;0;0;0;44;19;2;0;0;0;0;0;0;4;44;19;2;0;0;92,087302;142;0;157336;408960;52500;56000;20001
7_2;2;0;0;3;0;0;0;0;62;19;3;0;0;0;0;0;0;4;62;19;3;0;0;92,548611;142;0;200504;408960;105000;74500;20001
8_2;2;0;0;3;0;0;0;0;50;19;1;0;0;0;0;0;0;4;50;19;1;0;0;93,759259;142;0;165288;408960;105000;37500;20001
9_2;2;0;0;4;0;0;0;0;68;26;1;0;0;0;0;0;1;4;68;26;1;1;0;93,187500;142;0;223508;473002;105000;44500;26668
10_2;2;1;0;5;0;0;0;0;80;29;4;1;0;0;0;0;0;4;80;29;4;0;0;93,911616;142;0;275764;408960;390000;176500;33335
11_2;2;1;0;4;0;0;0;0;69;18;1;0;0;0;0;0;0;5;69;18;1;0;1;94,939815;142;0;202918;417906;390000;36500;26668
0_3;0;0;0;2;0;0;0;0;5;2;0;0;0;0;0;2;0;0;5;2;2;0;0;81,347222;142;0;16330;174376;0;2000;13334
1_3;1;0;0;3;0;0;0;0;12;3;1;0;0;0;0;1;1;0;12;3;0;1;0;91,805556;142;0;37204;130356;52500;21500;20001
2_3;1;0;0;3;0;0;0;0;14;8;1;0;0;0;0;0;1;0;14;8;0;0;0;94,851852;142;0;55664;102240;52500;26500;20001
3_3;1;0;0;3;0;0;0;0;24;10;0;0;0;0;0;0;1;0;24;10;0;0;0;95,555556;142;0;79520;102240;52500;10000;20001
