Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;7;6;0;0;0;0;0;0;0;0;7;6;0;0;0;98,046875;142;0;31950;0;52500;6000;6667
1_0;1;0;0;1;0;0;0;0;20;8;0;0;0;0;0;0;0;0;20;8;0;0;0;98,003472;142;0;65320;0;52500;8000;6667
2_0;1;0;0;2;0;0;0;0;25;14;2;0;0;0;0;0;0;0;25;14;2;0;0;97,907986;142;0;102666;0;52500;51000;13334
3_0;1;1;0;2;0;0;0;0;36;11;1;1;0;0;0;0;0;0;36;11;1;1;0;97,126736;142;0;188008;0;337500;103000;13334
4_0;2;0;0;2;0;0;0;0;43;17;2;0;0;0;0;0;0;2;43;17;2;0;2;97,059328;142;0;149526;94004;105000;54000;13334
5_0;2;0;0;4;0;0;0;0;69;20;4;0;0;0;0;0;0;3;69;20;4;0;1;95,216837;142;0;223082;256168;105000;94000;26668
6_0;2;0;0;4;0;0;0;0;69;20;1;0;0;0;0;0;0;3;69;20;1;0;0;95,617150;142;0;208598;306720;105000;38500;26668
7_0;2;0;0;4;0;0;0;0;71;34;2;0;0;0;0;0;0;3;71;34;2;0;0;95,819655;142;0;257446;306720;105000;71000;26668
8_0;3;1;0;4;0;0;0;0;97;37;6;0;0;0;0;0;0;3;97;37;6;0;0;95,750373;142;0;340658;306720;442500;148000;26668
9_0;3;0;0;5;0;0;0;0;101;46;2;0;0;0;0;0;0;4;101;46;2;0;1;95,645917;142;0;355426;383542;157500;83000;33335
10_0;3;1;0;5;0;0;0;0;109;39;5;1;0;0;0;0;0;6;109;39;5;1;2;94,981785;142;0;442330;496574;442500;205000;33335
11_0;3;1;0;6;0;0;0;0;115;55;6;1;0;0;0;0;0;9;115;55;6;1;3;94,327083;142;0;505378;654620;442500;239500;40002
0_1;1;0;0;1;0;0;0;0;10;2;1;0;0;0;0;0;0;0;10;2;1;0;0;98,055556;142;0;31808;0;52500;20500;6667
1_1;1;0;0;1;0;0;0;0;22;7;0;0;0;0;0;0;1;0;22;7;0;1;0;95,212674;142;0;66740;89886;52500;7000;6667
2_1;1;0;0;2;0;0;0;0;27;11;2;0;0;0;0;0;1;0;27;11;2;0;0;95,911458;142;0;98406;102240;52500;48000;13334
3_1;1;1;0;2;0;0;0;0;42;13;1;1;0;0;0;0;0;0;42;13;1;0;0;97,938368;142;0;134900;0;337500;105000;13334
4_1;2;0;0;2;0;0;0;0;55;17;0;0;0;0;0;0;0;0;55;17;0;0;0;98,002401;142;0;165430;0;105000;17000;13334
5_1;2;0;0;4;0;0;0;0;57;22;3;0;0;0;0;0;0;2;57;22;3;0;2;96,770125;142;0;198374;125244;105000;77500;26668
6_1;2;0;0;4;0;0;0;0;70;38;5;0;0;0;0;0;0;3;70;38;5;0;1;95,415459;142;0;281160;257872;105000;130500;26668
7_1;2;0;0;4;0;0;0;0;83;34;5;0;0;0;0;0;0;4;83;34;5;0;1;94,791667;142;0;297490;405410;105000;126500;26668
8_1;3;1;0;4;0;0;0;0;95;41;2;1;0;0;0;0;0;6;95;41;2;1;2;93,918717;142;0;403706;522702;442500;151500;26668
9_1;3;0;0;5;0;0;0;0;107;36;2;0;0;0;0;0;1;8;107;36;2;1;2;92,745984;142;0;339806;891334;157500;73000;33335
10_1;3;1;0;5;0;0;0;0;104;43;5;1;0;0;0;0;0;8;104;43;5;0;0;93,642987;142;0;371472;817920;442500;209000;33335
