Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;5;1;0;0;0;98,680556;106.296;0;10098.1;0;52500;1000;0
1_0;1;0;0;1;0;0;0;0;12;8;1;0;0;0;0;0;0;0;12;8;1;0;0;97,402778;105.205;0;39346.6;0;52500;26500;6667
2_0;1;0;0;1;0;0;0;0;16;8;0;0;0;0;0;0;0;0;16;8;0;0;0;98,148148;84.6637;0;33865.5;0;52500;8000;6667
3_0;1;1;0;2;0;0;0;0;26;7;0;0;0;0;0;0;0;0;26;7;0;0;0;98,159722;83.6099;0;44313.3;0;337500;7000;13334
4_0;1;0;0;2;0;0;0;0;25;14;3;0;0;0;0;0;0;0;25;14;3;0;0;97,897222;93.2017;0;70553.6;0;52500;69500;13334
5_0;2;0;0;2;0;0;0;0;37;14;0;0;0;0;0;0;0;2;37;14;0;0;2;94,988426;102.297;0;85418.3;136056;105000;14000;13334
6_0;3;0;0;3;0;0;0;0;49;18;5;0;0;0;0;0;0;2;49;18;5;0;0;94,632937;124.668;0;157706;179523;157500;110500;20001
7_0;3;0;0;3;0;0;0;0;48;25;3;0;0;0;0;0;0;3;48;25;3;0;1;94,152778;128.355;0;169685;262614;157500;80500;20001
8_0;4;0;0;3;0;0;0;0;62;16;0;0;0;0;0;0;0;4;62;16;0;0;1;94,259259;169.512;0;211890;418695;210000;16000;20001
9_0;4;0;0;3;0;0;0;0;60;24;2;0;0;0;0;0;0;4;60;24;2;0;0;93,988889;155.618;0;225335;448180;210000;61000;20001
10_0;4;0;0;4;0;0;0;0;67;35;5;0;0;0;0;0;1;5;67;35;5;1;1;92,736111;149.164;0;279682;578457;210000;127500;26668
11_0;3;1;0;4;0;0;0;0;71;27;1;3;0;0;0;0;0;6;71;27;1;2;1;92,181713;125.69;0;342505;506531;442500;266000;26668
