Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;8;5;1;0;0;0;0;0;0;0;8;5;1;0;0;97,060185;142;0;36068;0;52500;23500;20001
1_0;1;0;0;3;0;0;0;0;17;5;0;0;0;0;0;0;0;0;17;5;0;0;0;97,945602;142;0;50410;0;52500;5000;20001
2_0;1;0;0;3;0;0;0;0;22;7;1;0;0;0;0;0;0;0;22;7;1;0;0;98,055556;142;0;71568;0;52500;25500;20001
3_0;1;0;0;3;0;0;0;0;34;16;0;0;0;0;0;0;0;0;34;16;0;0;0;97,598380;142;0;117860;0;52500;16000;20001
4_0;1;1;0;4;0;0;0;0;31;13;2;1;0;0;0;0;0;0;31;13;2;1;0;96,937500;142;0;187866;0;337500;123500;26668
5_0;2;0;0;3;0;0;0;0;53;21;2;0;0;0;0;0;0;0;53;21;2;0;0;97,525077;142;0;182186;0;105000;58000;20001
6_0;2;0;0;3;0;0;0;0;48;25;0;0;0;0;0;0;0;0;48;25;0;0;0;98,006536;142;0;173240;0;105000;25000;20001
7_0;2;0;0;4;0;0;0;0;62;22;4;0;0;0;0;0;0;0;62;22;4;0;0;97,865646;142;0;213852;0;105000;96000;26668
8_0;2;0;0;3;0;0;0;0;69;38;0;0;0;0;0;0;0;1;69;38;0;0;1;97,245996;142;0;254890;57652;105000;38000;20001
9_0;2;1;0;4;0;0;0;0;70;26;1;2;0;0;0;0;0;6;70;26;1;2;5;94,487007;142;0;378288;320636;390000;191500;26668
10_0;2;0;0;4;0;0;0;0;90;39;1;0;0;0;0;0;1;8;90;39;1;1;2;92,981549;142;0;307288;675778;105000;57500;26668
11_0;3;0;0;5;0;0;0;0;87;40;6;0;0;0;0;0;1;8;87;40;6;0;0;91,862037;142;0;327878;920160;157500;151000;33335
0_1;1;0;0;3;0;0;0;0;5;5;0;0;0;0;0;0;0;0;5;5;0;0;0;97,974537;142;0;24850;0;52500;5000;20001
1_1;1;0;0;3;0;0;0;0;13;6;1;0;0;0;0;0;0;0;13;6;1;0;0;97,980324;142;0;49558;0;52500;24500;20001
2_1;1;0;0;3;0;0;0;0;25;7;0;0;0;0;0;0;0;1;25;7;0;0;1;97,939815;142;0;73130;2698;52500;7000;20001
3_1;1;0;0;3;0;0;0;0;30;10;0;0;0;0;0;0;0;2;30;10;0;0;1;95,824653;142;0;92300;112606;52500;10000;20001
4_1;1;1;0;4;0;0;0;0;39;19;0;1;0;0;0;0;0;2;39;19;0;1;0;93,206019;142;0;212290;204480;337500;92500;26668
5_1;2;0;0;3;0;0;0;0;51;11;2;0;0;0;0;0;0;3;51;11;2;0;1;94,380787;142;0;149526;264120;105000;48000;20001
6_1;2;0;0;3;0;0;0;0;56;22;2;0;0;0;0;0;0;4;56;22;2;0;1;93,521242;142;0;191416;371614;105000;59000;20001
7_1;2;0;0;4;0;0;0;0;67;27;1;0;0;0;0;0;1;4;67;27;1;1;0;93,075397;142;0;224218;469594;105000;45500;26668
8_1;2;0;0;3;0;0;0;0;62;20;3;0;0;0;0;0;1;4;62;20;3;0;0;93,703704;142;0;203344;511200;105000;75500;20001
9_1;2;1;0;4;0;0;0;0;79;32;2;1;0;0;0;0;0;4;79;32;2;0;0;94,624776;142;0;272498;408960;390000;142500;26668
10_1;2;0;0;4;0;0;0;0;87;31;0;0;0;0;0;0;0;5;87;31;0;0;1;94,507299;142;0;273350;496006;105000;31000;26668
11_1;3;0;0;5;0;0;0;0;95;30;4;0;0;0;0;0;1;5;95;30;4;1;0;94,406481;142;0;306862;550960;157500;104000;33335
0_2;1;0;0;3;0;0;0;0;7;2;0;0;0;0;0;0;0;0;7;2;0;0;0;98,321759;142;0;20590;0;52500;2000;20001
1_2;1;0;0;3;0;0;0;0;15;5;1;0;0;0;0;0;0;0;15;5;1;0;0;97,922454;142;0;50978;0;52500;23500;20001
2_2;1;0;0;3;0;0;0;0;21;7;0;0;0;0;0;0;0;0;21;7;0;0;0;98,244599;142;0;64610;0;52500;7000;20001
3_2;1;0;0;3;0;0;0;0;23;8;2;0;0;0;0;0;0;0;23;8;2;0;0;98,342014;142;0;81366;0;52500;45000;20001
4_2;1;1;0;4;0;0;0;0;36;14;0;0;0;0;0;0;0;0;36;14;0;0;0;98,101852;142;0;116440;0;337500;14000;26668
5_2;2;0;0;3;0;0;0;0;40;20;0;0;0;0;0;0;0;1;40;20;0;0;1;97,613812;142;0;142000;33654;105000;20000;20001
6_2;2;0;0;3;0;0;0;0;47;26;1;0;0;0;0;0;0;2;47;26;1;0;1;96,129085;142;0;178778;157620;105000;44500;20001
7_2;2;0;0;4;0;0;0;0;63;26;1;0;0;0;0;0;0;2;63;26;1;0;0;95,834751;142;0;212858;204480;105000;44500;26668
8_2;2;0;0;3;0;0;0;0;68;26;0;0;0;0;0;0;0;3;68;26;0;0;1;96,169920;142;0;218680;215982;105000;26000;20001
9_2;2;1;0;4;0;0;0;0;82;32;2;0;0;0;0;0;0;4;82;32;2;0;1;94,783826;142;0;275196;386098;390000;69000;26668
10_2;2;0;0;4;0;0;0;0;88;35;2;0;0;0;0;0;2;4;88;35;2;2;0;93,853406;142;0;296496;564450;105000;72000;26668
11_2;3;0;0;5;0;0;0;0;94;40;5;0;0;0;0;0;2;4;94;40;5;0;0;93,796296;142;0;337960;613440;157500;132500;33335
0_3;1;0;0;3;0;0;0;0;6;5;0;0;0;0;0;0;0;0;6;5;0;0;0;97,800926;142;0;26980;0;52500;5000;20001
1_3;1;0;0;3;0;0;0;0;14;6;0;0;0;0;0;0;0;0;14;6;0;0;0;98,090278;142;0;46860;0;52500;6000;20001
2_3;1;0;0;3;0;0;0;0;25;7;0;0;0;0;0;0;1;0;25;7;0;1;0;96,095679;142;0;73130;70574;52500;7000;20001
3_3;1;0;0;3;0;0;0;0;26;11;3;0;0;0;0;0;1;0;26;11;3;0;0;95,856481;142;0;101104;102240;52500;66500;20001
4_3;1;1;0;4;0;0;0;0;41;16;1;1;0;0;0;0;0;0;41;16;1;0;0;97,696759;142;0;141290;0;337500;108000;26668
5_3;2;0;0;3;0;0;0;0;45;21;0;0;0;0;0;0;0;0;45;21;0;0;0;97,887731;142;0;155490;0;105000;21000;20001
6_3;2;0;0;3;0;0;0;0;50;20;3;0;0;0;0;0;0;0;50;20;3;0;0;97,954248;142;0;177784;0;105000;75500;20001
7_3;2;0;0;4;0;0;0;0;65;27;5;0;0;0;0;0;0;0;65;27;5;0;0;97,611961;142;0;239270;0;105000;119500;26668
8_3;2;0;0;3;0;0;0;0;64;22;4;0;0;0;0;0;1;0;64;22;4;1;0;98,041792;142;0;218112;4118;105000;96000;20001
9_3;2;1;0;4;0;0;0;0;84;27;2;2;0;0;0;0;0;1;84;27;2;1;1;96,503136;142;0;344208;99116;390000;211000;26668
10_3;2;0;0;4;0;0;0;0;82;28;6;0;0;0;0;0;0;1;82;28;6;0;0;97,248581;142;0;283148;102240;105000;139000;26668
11_3;3;0;0;5;0;0;0;0;102;33;5;0;0;0;0;0;0;1;102;33;5;0;0;97,148148;142;0;335120;102240;157500;125500;33335
0_4;1;0;0;3;0;0;0;0;7;2;0;0;0;0;0;0;0;0;7;2;0;0;0;98,321759;142;0;20590;0;52500;2000;20001
1_4;1;0;0;3;0;0;0;0;19;8;1;0;0;0;0;0;0;0;19;8;1;0;0;97,228009;142;0;68018;0;52500;26500;20001
2_4;1;0;0;3;0;0;0;0;24;8;3;0;0;0;0;0;0;0;24;8;3;0;0;97,600309;142;0;88324;0;52500;63500;20001
3_4;1;0;0;3;0;0;0;0;36;14;0;0;0;0;0;0;0;0;36;14;0;0;0;97,627315;142;0;116440;0;52500;14000;20001
4_4;1;1;0;4;0;0;0;0;39;16;3;1;0;0;0;0;0;0;39;16;3;1;0;96,442130;142;0;218254;0;337500;145000;26668
5_4;2;0;0;3;0;0;0;0;46;23;1;0;0;0;0;0;0;0;46;23;1;0;0;97,716049;142;0;168128;0;105000;41500;20001
6_4;2;0;0;3;0;0;0;0;55;20;1;0;0;0;0;0;0;0;55;20;1;0;0;97,942810;142;0;178778;0;105000;38500;20001
7_4;2;0;0;4;0;0;0;0;70;29;4;0;0;0;0;0;0;0;70;29;4;0;0;97,497166;142;0;250772;0;105000;103000;26668
8_4;2;0;0;3;0;0;0;0;63;25;0;0;0;0;0;0;0;0;63;25;0;0;0;98,191942;142;0;205190;0;105000;25000;20001
9_4;2;1;0;4;0;0;0;0;80;32;3;0;0;0;0;0;0;1;80;32;3;0;1;97,607527;142;0;275764;27548;390000;87500;26668
10_4;2;0;0;4;0;0;0;0;79;30;4;0;0;0;0;0;0;1;79;30;4;0;0;97,322587;142;0;272782;102240;105000;104000;26668
11_4;3;0;0;5;0;0;0;0;98;38;3;0;0;0;0;0;1;4;98;38;3;1;3;95,323148;142;0;331144;386098;157500;93500;33335
