Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;8;2;0;0;0;0;0;0;0;0;8;2;0;0;0;98,148148;142;0;22720;0;52500;2000;20001
1_0;1;0;0;3;0;0;0;0;13;5;0;0;0;0;0;0;0;0;13;5;0;0;0;98,292824;142;0;41890;0;52500;5000;20001
2_0;1;0;0;3;0;0;0;0;23;5;0;0;0;0;0;0;0;0;23;5;0;0;0;98,283179;142;0;63190;0;52500;5000;20001
3_0;1;0;0;3;0;0;0;0;34;5;1;0;0;0;0;0;0;0;34;5;1;0;0;98,136574;142;0;91448;0;52500;23500;20001
4_0;1;0;0;3;0;0;0;0;43;15;0;0;0;0;0;0;1;0;43;15;0;1;0;96,851852;142;0;134190;58930;52500;15000;20001
5_0;2;0;0;4;0;0;0;0;42;22;1;1;0;0;0;0;0;0;42;22;1;0;0;97,820216;142;0;160460;0;105000;114000;26668
6_0;2;0;0;4;0;0;0;0;54;18;0;1;0;0;0;0;0;0;54;18;0;1;0;97,222222;142;0;241400;0;105000;91500;26668
7_0;2;0;0;4;0;0;0;0;55;32;2;0;0;0;0;0;0;0;55;32;2;0;0;97,827381;142;0;217686;0;105000;69000;26668
8_0;2;0;0;4;0;0;0;0;72;23;1;0;0;0;0;0;0;1;72;23;1;0;1;97,550050;142;0;223508;54528;105000;41500;26668
9_0;2;0;0;4;0;0;0;0;77;26;4;0;0;0;0;0;0;1;77;26;4;0;0;97,165099;142;0;257162;102240;105000;100000;26668
10_0;3;0;0;5;0;0;0;0;89;32;3;0;0;0;0;0;0;2;89;32;3;0;1;96,562247;142;0;294934;186588;157500;87500;33335
11_0;2;0;0;5;0;0;0;0;95;30;5;0;0;0;0;0;0;2;95;30;5;0;0;96,634259;142;0;311690;204480;105000;122500;33335
0_1;1;0;0;3;0;0;0;0;8;1;0;0;0;0;0;0;0;0;8;1;0;0;0;98,379630;142;0;19880;0;52500;1000;20001
1_1;1;0;0;3;0;0;0;0;14;6;0;0;0;0;0;0;0;0;14;6;0;0;0;98,090278;142;0;46860;0;52500;6000;20001
