Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;2;0;0;0;0;47;18;1;0;0;0;0;0;0;0;47;18;1;0;0;97,964815;149.164;0;163931;0;105000;36500;13334
1_0;2;0;0;2;0;0;0;0;52;14;3;0;0;0;0;0;0;0;52;14;3;0;0;97,848148;125.69;0;146052;0;105000;69500;13334
2_0;2;0;0;3;0;0;0;0;47;18;1;0;0;0;0;0;0;0;47;18;1;0;0;97,964815;106.296;0;116819;0;105000;36500;20001
3_0;2;1;0;4;0;0;0;0;47;22;4;2;0;0;0;0;0;0;47;22;4;2;0;95,664815;105.205;0;246285;0;390000;243000;26668
4_0;2;0;0;3;0;0;0;0;45;17;0;0;1;0;0;0;0;0;45;17;0;0;1;95,357407;84.6637;0;212252;0;105000;351500;20001
5_0;2;0;0;3;0;0;0;0;47;14;5;0;1;0;0;0;0;0;47;14;5;0;1;95,098148;83.6099;0;221316;0;105000;441000;20001
6_0;2;1;0;4;2;0;0;0;46;22;2;0;1;0;0;0;0;1;46;22;2;0;2;94,070370;93.2017;11184.2;250712;36535;390000;430500;26668
7_0;2;1;0;3;1;0;0;0;40;17;2;1;0;0;0;0;0;1;40;17;2;1;0;95,707407;102.297;6137.84;157333;73654.1;390000;146000;20001
8_0;2;0;0;2;0;0;0;0;43;22;1;0;0;0;0;0;0;2;43;22;1;0;1;95,981481;124.668;0;139504;131027;105000;40500;13334
9_0;12;0;0;15;25;0;0;0;46;25;1;0;0;0;0;1;0;2;46;25;2;0;0;90,961111;128.355;192532;157107;276862;630000;506000;100005
10_0;4;1;0;4;1;0;0;0;43;20;1;0;0;0;0;0;0;2;43;20;0;0;0;95,246296;169.512;10170.7;180869;244097;495000;57000;26668
11_0;11;0;0;12;19;0;0;0;44;21;2;0;0;0;0;0;0;2;44;21;2;0;0;93,096296;155.618;177404;178649;224090;577500;409500;80004
12_0;12;0;0;16;27;0;0;0;48;22;2;0;0;0;0;0;1;2;48;22;2;1;0;91,337037;149.164;241645;183173;272970;630000;558500;106672
13_0;2;1;0;3;0;0;0;0;47;20;2;1;0;0;0;0;0;2;47;20;2;0;0;95,112963;125.69;0;150702;180994;390000;130500;20001
14_0;2;0;0;3;0;0;0;0;43;22;2;0;1;0;0;0;0;3;43;22;2;0;2;92,346296;106.296;0;281152;158168;105000;393500;20001
15_0;2;0;0;4;0;1;0;0;52;17;0;0;1;0;0;0;0;2;52;17;0;0;0;95,051852;105.205;6312.29;123300;151495;105000;370000;26668
16_0;2;0;0;4;0;2;0;0;47;25;3;0;1;0;0;0;0;3;47;25;3;0;2;91,422222;84.6637;10159.6;236974;145029;105000;452000;26668
17_0;2;1;0;3;0;0;0;0;47;20;3;0;1;0;0;0;0;3;47;20;3;0;1;91,001852;83.6099;0;225663;180597;390000;410000;20001
