Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;3;0;0;3;0;0;0;0;52;17;3;0;0;0;0;0;0;0;52;17;3;0;0;97,737037;149.164;0;182278;0;157500;72500;20001
1_0;2;1;0;4;0;0;0;0;45;21;2;0;0;0;0;0;0;0;45;21;2;0;0;97,846296;125.69;0;146177;0;390000;58000;26668
2_0;2;0;0;3;0;0;0;0;46;21;0;0;0;0;0;0;0;1;46;21;0;0;1;97,927778;106.296;0;117988;956.663;105000;21000;20001
3_0;2;0;0;3;0;0;0;0;35;14;1;0;0;0;0;0;1;1;35;14;1;1;0;96,187037;105.205;0;88266.9;128350;105000;32500;20001
4_0;2;1;0;4;0;0;0;0;50;18;3;1;0;0;0;0;0;2;50;18;3;0;1;95,733333;84.6637;0;104814;90251.5;390000;147000;26668
5_0;2;1;0;4;0;0;0;0;49;22;2;0;0;0;0;0;0;2;49;22;2;0;0;95,031481;83.6099;0;103927;120398;390000;59000;26668
6_0;2;0;0;4;2;0;0;0;45;19;4;0;0;0;0;0;0;2;45;19;4;0;0;94,905556;93.2017;11184.2;111003;134210;105000;130000;26668
7_0;2;0;0;3;0;0;0;0;55;19;2;0;0;0;0;0;0;3;55;19;2;0;1;93,866667;102.297;0;130225;208584;105000;56000;20001
8_0;2;1;0;4;0;0;0;0;46;18;2;1;0;0;0;0;0;5;46;18;2;1;2;91,105556;124.668;0;205454;393329;390000;128500;26668
9_0;12;0;1;20;25;0;0;0;47;21;0;0;7;0;0;0;0;0;47;21;0;0;2;89,131481;128.355;192532;560783;0;5130000;2.825e+06;133340
10_0;4;1;0;4;1;0;0;0;49;22;4;1;0;0;0;0;0;0;49;22;4;1;0;96,479630;169.512;10170.7;312072;0;495000;188000;26668
11_0;12;0;0;13;20;0;0;0;46;23;1;0;0;0;0;0;0;0;46;23;1;0;0;95,585185;155.618;186742;184252;0;630000;411500;86671
12_0;12;0;0;16;27;0;0;0;48;19;1;0;0;0;0;0;0;1;48;19;1;0;1;94,492593;149.164;241645;169152;32816;630000;537000;106672
13_0;2;1;0;4;0;0;0;0;38;29;1;0;0;0;0;0;0;1;38;29;1;0;0;96,474074;125.69;0;148817;90496.8;390000;47500;26668
14_0;2;0;0;3;0;0;0;0;46;16;2;0;0;0;0;0;0;1;46;16;2;0;0;96,670370;106.296;0;114587;76533;105000;53000;20001
15_0;2;0;0;3;0;0;0;0;54;18;1;0;0;0;0;0;0;4;54;18;1;0;3;95,651852;105.205;0;126667;120354;105000;36500;20001
16_0;2;1;0;4;0;0;0;0;52;21;1;0;0;0;0;0;0;4;52;21;1;0;0;92,381481;84.6637;0;104475;243831;390000;39500;26668
17_0;2;0;0;3;0;0;0;0;42;15;1;0;0;0;0;0;0;7;42;15;1;0;3;91,488889;83.6099;0;80600;303671;105000;33500;20001
18_0;2;1;0;4;0;2;0;0;43;12;2;0;0;0;0;0;0;8;43;12;2;0;1;87,859259;93.2017;11184.2;88821.2;511025;390000;86000;26668
19_0;2;0;0;3;0;0;0;0;41;17;2;0;0;0;0;0;0;9;41;17;2;0;1;86,892593;102.297;0;104650;619411;105000;54000;20001
20_0;4;0;0;4;0;0;0;0;85;36;1;0;0;0;0;0;0;9;85;36;1;0;0;92,121296;124.668;0;252952;807852;210000;54500;26668
0_1;3;0;0;3;0;0;0;0;48;18;1;0;0;0;0;0;0;0;48;18;1;0;0;97,937037;149.164;0;166168;0;157500;36500;20001
1_1;2;1;0;4;0;0;0;0;39;15;2;2;0;0;0;0;0;0;39;15;2;2;0;96,272222;125.69;0;253014;0;390000;199000;26668
2_1;2;0;0;3;0;0;0;0;44;22;2;0;0;0;0;0;1;0;44;22;2;1;0;97,546296;106.296;0;124154;16688.4;105000;59000;20001
3_1;2;0;0;3;0;0;0;0;47;14;2;0;0;0;0;0;1;1;47;14;2;0;1;95,868519;105.205;0;110781;123931;105000;51000;20001
4_1;2;1;0;4;0;0;0;0;52;22;2;1;0;0;0;0;0;2;52;22;2;0;1;95,770370;84.6637;0;111248;82123.7;390000;132500;26668
5_1;2;1;0;4;0;0;0;0;50;21;2;0;0;0;0;0;0;2;50;21;2;0;0;95,040741;83.6099;0;103509;120398;390000;58000;26668
6_1;2;0;0;4;2;0;0;0;39;15;1;0;0;0;0;0;0;2;39;15;1;0;0;95,409259;93.2017;11184.2;85652.3;134210;105000;70500;26668
7_1;2;0;0;3;0;0;0;0;47;20;3;0;0;0;0;0;0;3;47;20;3;0;1;94,020370;102.297;0;123473;206845;105000;75500;20001
8_1;2;1;0;4;0;0;0;0;44;19;2;0;0;0;0;0;0;3;44;19;2;0;0;93,948148;124.668;0;138133;269284;390000;56000;26668
9_1;12;0;1;20;25;0;0;0;49;20;1;0;4;0;0;0;0;0;49;20;1;0;1;92,005556;128.355;192532;361576;0;5130000;1.839e+06;133340
10_1;4;1;0;4;1;0;0;0;46;15;0;0;0;0;0;0;0;0;46;15;0;0;0;98,055556;169.512;10170.7;167817;0;495000;33500;26668
11_1;12;0;0;13;20;0;0;0;45;20;0;0;0;0;0;0;1;0;45;20;0;1;0;95,057407;155.618;186742;167289;61313.5;630000;390000;86671
12_1;12;0;0;16;27;0;0;0;49;17;4;0;0;0;0;0;1;0;49;17;4;0;0;93,424074;149.164;241645;180637;107398;630000;590500;106672
13_1;2;1;0;4;0;0;0;0;51;11;1;1;0;0;0;0;0;1;51;11;1;0;1;96,900000;125.69;0;131346;79059;390000;103000;26668
14_1;2;0;0;3;0;0;0;0;43;11;2;0;0;0;0;0;1;2;43;11;2;1;1;96,244444;106.296;0;99174;116394;105000;48000;20001
15_1;2;0;0;3;0;0;0;0;45;19;3;0;0;0;0;0;2;2;45;19;3;1;0;93,698148;105.205;0;121722;236290;105000;74500;20001
16_1;2;1;0;4;0;0;0;0;43;21;4;2;0;0;0;0;1;2;43;21;4;1;0;92,746296;84.6637;0;148754;182873;390000;242000;26668
