Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;65;23;3;0;0;0;0;0;0;0;65;23;3;0;0;97,865278;142;0;218254;0;105000;78500;20001
1_0;2;0;0;3;0;0;0;0;66;18;3;2;0;0;0;0;0;0;66;18;3;2;0;96,511111;142;0;356704;0;105000;220500;20001
2_0;2;0;0;4;0;0;0;0;61;29;3;0;1;0;0;0;0;0;61;29;3;0;1;95,709722;142;0;438638;0;105000;419000;26668
3_0;2;0;0;3;0;0;0;0;60;30;1;0;1;0;0;0;0;0;60;30;1;0;1;95,797222;142;0;429692;0;105000;383000;20001
4_0;2;0;0;4;0;0;0;0;67;27;3;0;1;0;0;0;0;0;67;27;3;0;1;95,640278;142;0;445738;0;105000;417000;26668
5_0;2;0;0;4;0;0;0;0;64;24;4;0;0;0;0;0;0;0;64;24;4;0;0;97,811111;142;0;223792;0;105000;98000;26668
6_0;2;0;0;4;1;0;0;0;64;33;3;1;0;0;0;0;0;0;64;33;3;1;0;96,788889;142;8520;319784;0;105000;180500;26668
7_0;2;0;0;4;0;0;0;0;61;28;1;0;1;0;0;0;0;0;61;28;1;0;1;95,831944;142;0;426142;0;105000;381000;26668
8_0;7;0;0;19;31;0;0;0;58;26;2;0;1;0;0;0;0;0;58;26;2;0;1;93,319444;142;264120;418900;0;367500;971000;126673
9_0;2;0;0;3;0;0;0;0;66;24;3;0;1;0;0;0;0;0;66;24;3;0;1;95,744444;142;0;435088;0;105000;414000;20001
10_0;7;0;0;19;32;0;0;0;70;23;2;0;1;0;0;0;0;0;70;23;2;0;1;93,069444;142;272640;435940;0;367500;986500;126673
11_0;3;0;0;7;7;0;0;0;58;31;0;0;0;0;0;0;0;0;58;31;0;0;0;97,347222;142;59640;211580;0;157500;160500;46669
12_0;7;0;0;19;29;0;0;0;61;27;2;2;0;0;0;0;0;0;61;27;2;2;0;93,995833;142;247080;366786;0;367500;747500;126673
13_0;2;0;0;4;0;0;0;0;66;27;2;0;0;0;0;0;0;0;66;27;2;0;0;97,780556;142;0;226916;0;105000;64000;26668
14_0;2;0;0;5;0;2;0;0;59;26;1;1;1;0;0;0;0;1;59;26;1;1;2;94,165278;142;17040;491462;88040;105000;489500;33335
15_0;2;0;0;4;0;0;0;0;59;23;2;0;1;0;0;0;0;1;59;23;2;0;1;94,965278;142;0;412510;102240;105000;394500;26668
16_0;2;0;0;3;0;0;0;0;64;28;1;1;1;0;0;0;0;1;64;28;1;1;1;94,033333;142;0;507792;102240;105000;454500;20001
17_0;2;0;0;4;0;0;0;0;57;27;1;2;1;0;0;0;0;1;57;27;1;2;1;93,470833;142;0;565302;102240;105000;527000;26668
18_0;3;0;0;8;0;8;0;0;63;25;4;0;1;0;0;0;0;0;63;25;4;0;0;97,065278;142;68160;231886;0;157500;581500;53336
19_0;2;0;0;4;0;0;0;0;70;23;1;0;1;0;0;0;0;0;70;23;1;0;1;95,783333;142;0;431112;0;105000;376000;26668
20_0;7;0;0;19;0;30;0;0;71;26;4;2;1;0;0;0;0;0;71;26;4;2;1;91,565278;142;255600;606766;0;367500;1.1365e+06;126673
21_0;2;0;0;4;0;0;0;0;60;24;0;0;1;0;0;0;0;0;60;24;0;0;1;96,011111;142;0;407824;0;105000;358500;26668
22_0;7;0;0;19;0;31;0;0;51;17;2;1;1;0;0;0;0;0;51;17;2;1;1;92,979167;142;264120;453690;0;367500;1.0355e+06;126673
23_0;3;0;0;6;0;0;0;0;123;63;8;1;0;0;0;0;0;0;123;63;8;1;0;97,286806;142;0;554794;0;157500;284500;40002
0_1;2;0;0;3;0;0;0;0;56;27;1;0;0;0;0;0;0;0;56;27;1;0;0;98,036111;142;0;200788;0;105000;45500;20001
1_1;2;0;0;3;0;0;0;0;58;22;5;0;0;0;0;0;0;0;58;22;5;0;0;97,944444;142;0;210160;0;105000;114500;20001
