Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;70;30;1;0;0;0;0;0;0;0;70;30;1;0;0;97,661111;142;0;239128;0;105000;48500;20001
1_0;2;0;0;3;0;0;0;0;66;20;2;0;0;0;0;0;0;0;66;20;2;0;0;97,975000;142;0;207036;0;105000;57000;20001
2_0;2;0;0;3;0;0;0;0;60;20;1;0;0;0;0;0;0;1;60;20;1;0;1;98,027778;142;0;189428;12212;105000;38500;20001
3_0;2;0;0;4;0;0;0;0;56;21;1;0;0;0;0;0;0;1;56;21;1;0;0;97,202778;142;0;183748;102240;105000;39500;26668
4_0;2;1;0;4;0;0;0;0;69;26;3;0;0;0;0;0;0;3;69;26;3;0;2;95,329167;142;0;235294;242252;390000;81500;26668
5_0;2;0;0;4;0;0;0;0;54;30;4;0;0;0;0;0;0;3;54;30;4;0;0;94,852778;142;0;219532;306720;105000;104000;26668
6_0;3;0;0;8;8;0;0;0;63;20;4;0;0;0;0;0;0;4;63;20;4;0;1;94,033333;142;68160;210302;331570;157500;242000;53336
7_0;3;0;0;8;9;0;0;0;51;31;2;0;0;0;0;0;0;5;51;31;2;0;1;92,491667;142;76680;206326;484646;157500;234500;53336
8_0;3;1;1;11;7;0;0;0;60;27;0;0;6;0;0;0;0;0;60;27;0;0;1;94,983333;142;59640;453264;0;4942500;2.1635e+06;73337
9_0;3;0;0;8;9;0;0;0;51;22;1;0;0;0;0;0;0;0;51;22;1;0;0;97,529167;142;76680;175938;0;157500;207000;53336
10_0;3;0;0;8;9;0;0;0;71;25;3;0;0;0;0;0;0;1;71;25;3;0;1;96,202778;142;76680;236714;74834;157500;247000;53336
11_0;3;1;0;6;5;0;0;0;66;23;1;1;0;0;0;0;0;2;66;23;1;1;1;94,827778;142;42600;285988;200220;442500;207500;40002
