Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;59;18;1;0;0;0;0;0;0;0;59;18;1;0;0;98,223611;106.296;0;135952;0;105000;36500;20001
1_0;2;0;0;3;0;0;0;0;62;24;4;0;0;0;0;0;1;0;62;24;4;1;0;97,681944;105.205;0;162647;12940.2;105000;98000;20001
2_0;2;0;0;3;0;0;0;0;60;24;3;0;0;0;0;0;1;1;60;24;3;0;1;96,237500;84.6637;0;125472;103882;105000;79500;20001
3_0;2;0;0;3;0;0;0;0;61;22;3;0;0;0;0;0;2;2;61;22;3;1;1;95,281944;83.6099;0;121820;162203;105000;77500;20001
4_0;2;1;0;4;0;0;0;0;70;16;2;3;0;0;0;0;0;3;70;16;2;1;1;94,920833;93.2017;0;188267;152571;390000;273500;26668
5_0;2;0;0;3;0;0;0;0;53;27;5;0;0;0;0;0;0;3;53;27;5;0;0;94,909722;102.297;0;153958;220962;105000;119500;20001
6_0;15;1;0;21;35;0;0;0;69;30;2;0;0;0;0;0;0;3;69;30;2;0;0;91,718056;124.668;261804;212310;269284;1072500;714500;140007
7_0;3;0;1;8;0;0;0;0;68;26;2;0;5;0;0;0;0;0;68;26;2;0;2;93,405556;128.355;0;609430;0;4657500;1.7355e+06;53336
8_0;4;0;0;3;1;0;0;0;56;28;2;0;0;0;0;0;1;0;56;28;2;1;0;97,716667;169.512;10170.7;248844;19663.4;210000;83500;20001
9_0;5;0;0;5;3;0;0;0;61;20;1;0;0;0;0;0;1;0;61;20;1;0;0;96,876389;155.618;28011.2;209929;112045;262500;94000;33335
10_0;3;0;0;3;0;0;0;0;58;26;3;0;0;0;0;0;1;1;58;26;3;0;1;95,998611;149.164;0;222552;207188;157500;81500;20001
11_0;5;1;0;8;9;0;0;0;64;22;2;1;0;0;0;0;0;2;64;22;2;0;1;95,950000;125.69;67872.6;187781;110859;547500;299000;53336
12_0;15;0;0;30;52;0;0;0;68;25;3;0;0;0;0;2;1;3;68;25;5;1;1;88,958333;106.296;331643;172412;340997;787500;1.0425e+06;200010
13_0;2;0;0;3;0;0;0;0;57;22;3;0;0;0;0;0;2;4;57;22;1;1;1;93,929167;105.205;0;144446;315404;105000;77500;20001
14_0;2;0;1;7;0;0;0;0;64;26;2;0;5;0;0;0;2;0;64;26;2;0;1;93,488889;84.6637;0;274988;121916;4605000;1.7355e+06;46669
15_0;10;0;0;22;0;38;0;0;65;28;1;0;0;0;0;0;2;0;65;28;1;0;0;92,654167;83.6099;190631;131184;120398;525000;749500;146674
16_0;2;0;0;4;0;1;0;0;58;22;2;0;0;0;0;0;2;0;58;22;2;0;0;96,002778;93.2017;5592.1;128432;134210;105000;77500;26668
17_0;3;0;0;5;0;4;0;0;68;29;1;0;0;0;0;0;2;1;68;29;1;0;1;94,931944;102.297;24551.4;167154;181578;157500;121500;33335
18_0;3;1;0;4;0;1;0;0;64;24;0;2;0;0;0;0;0;1;64;24;0;0;0;96,844444;124.668;7480.11;186005;89761.3;442500;189500;26668
19_0;3;0;0;3;0;0;0;0;58;27;2;0;0;0;0;0;0;1;58;27;2;0;0;96,947222;128.355;0;189709;92415.6;157500;64000;20001
20_0;4;0;0;3;0;1;0;0;66;27;2;0;0;0;0;0;0;2;66;27;2;0;1;95,708333;169.512;10170.7;270880;242741;210000;82500;20001
21_0;4;0;0;3;0;1;0;0;69;27;1;0;0;0;0;0;0;4;69;27;1;0;2;95,105556;155.618;9337.08;250389;288671;210000;64000;20001
22_0;3;0;0;3;0;0;0;0;68;21;3;0;0;0;0;0;2;5;68;21;3;2;1;92,209722;149.164;0;230010;606649;157500;76500;20001
23_0;5;1;0;7;0;2;0;0;126;50;5;2;0;0;0;0;0;5;126;50;5;0;0;95,255556;125.69;15082.8;391147;452484;547500;326500;46669
0_1;2;0;0;3;0;0;0;0;62;22;3;0;0;0;0;0;0;0;62;22;3;0;0;97,955556;106.296;0;156467;0;105000;77500;20001
1_1;2;0;0;3;0;0;0;0;72;22;3;0;0;0;0;0;0;0;72;22;3;0;0;97,747222;105.205;0;170642;0;105000;77500;20001
2_1;2;0;0;3;0;0;0;0;58;23;2;0;0;0;0;0;1;1;58;23;2;1;1;96,762500;84.6637;0;118360;78991.2;105000;60000;20001
3_1;2;0;0;3;0;0;0;0;59;24;1;0;0;0;0;0;1;1;59;24;1;0;0;96,056944;83.6099;0;116970;120398;105000;42500;20001
4_1;2;1;0;4;0;0;0;0;60;27;5;2;0;0;0;0;1;2;60;27;5;2;1;93,463889;93.2017;0;248848;189759;390000;266500;26668
5_1;2;0;0;3;0;0;0;0;61;23;2;0;0;0;0;0;1;4;61;23;2;0;2;93,923611;102.297;0;147615;299936;105000;60000;20001
6_1;15;1;0;21;35;0;0;0;67;30;2;2;0;0;0;0;0;4;67;30;2;1;0;89,987500;124.668;261804;277886;359045;1072500;861500;140007
7_1;3;0;1;8;0;0;0;0;70;23;2;0;4;0;0;0;0;0;70;23;2;0;0;97,519444;128.355;0;229242;0;4657500;1.398e+06;53336
8_1;4;0;0;3;1;0;0;0;53;20;4;0;0;0;0;0;0;0;53;20;4;0;0;98,068056;169.512;10170.7;225620;0;210000;112500;20001
9_1;5;0;0;5;3;0;0;0;66;26;1;0;0;0;0;0;0;0;66;26;1;0;0;97,605556;155.618;28011.2;240274;0;262500;100000;33335
10_1;3;0;0;3;0;0;0;0;58;21;2;0;0;0;0;0;1;0;58;21;2;1;0;97,209722;149.164;0;202564;97105.5;157500;58000;20001
11_1;5;1;0;8;9;0;0;0;64;26;3;1;0;0;0;0;0;0;64;26;3;0;0;97,016667;125.69;67872.6;202110;0;547500;321500;53336
12_1;15;0;0;30;52;0;0;0;65;15;4;0;0;0;0;0;0;1;65;15;4;0;1;93,266667;106.296;331643;149983;33695.8;787500;1.051e+06;200010
13_1;2;0;0;3;0;0;0;0;62;27;2;0;0;0;0;0;1;1;62;27;2;1;0;96,541667;105.205;0;161805;100155;105000;64000;20001
14_1;2;0;1;7;0;0;0;0;61;23;3;0;1;0;0;0;1;0;61;23;3;0;0;96,876389;84.6637;0;129451;60957.8;4605000;413000;46669
15_1;10;0;0;22;0;38;0;0;69;27;2;0;0;0;0;0;1;0;69;27;2;0;0;93,551389;83.6099;190631;137371;60199.2;525000;767000;146674
16_1;2;0;0;4;0;1;0;0;64;28;3;0;0;0;0;0;1;0;64;28;3;0;0;96,663889;93.2017;5592.1;151173;67105.2;105000;102000;26668
17_1;3;0;0;5;0;4;0;0;59;21;3;0;0;0;0;0;2;0;59;21;3;1;0;95,902778;102.297;24551.4;143932;133293;157500;150500;33335
18_1;3;1;0;4;0;1;0;0;70;29;2;3;0;0;0;0;0;1;70;29;2;1;1;96,716667;124.668;7480.11;284244;2992.04;442500;305000;26668
19_1;3;0;0;3;0;0;0;0;49;26;1;0;0;0;0;0;0;1;49;26;1;0;0;97,209722;128.355;0;165450;92415.6;157500;44500;20001
20_1;4;0;0;3;0;1;0;0;56;17;0;0;0;0;0;0;0;1;56;17;0;0;0;97,277778;169.512;10170.7;200024;122049;210000;35500;20001
21_1;4;0;0;3;0;1;0;0;63;24;2;0;0;0;0;0;0;1;63;24;2;0;0;96,843056;155.618;9337.08;232338;112045;210000;79500;20001
22_1;3;0;0;3;0;0;0;0;70;25;2;0;0;0;0;0;1;1;70;25;2;1;0;96,401389;149.164;0;241347;145136;157500;62000;20001
23_1;5;1;0;7;0;2;0;0;121;53;4;2;0;0;0;0;0;2;121;53;4;1;1;96,467361;125.69;15082.8;448336;175966;547500;311000;46669
0_2;2;0;0;3;0;0;0;0;58;32;1;0;0;0;0;0;0;0;58;32;1;0;0;97,855556;106.296;0;164121;0;105000;50500;20001
1_2;2;0;0;3;0;0;0;0;62;19;2;0;0;0;0;0;1;0;62;19;2;1;0;97,920833;105.205;0;144972;12519.4;105000;56000;20001
2_2;2;0;0;3;0;0;0;0;59;28;3;0;0;0;0;0;1;0;59;28;3;0;0;96,851389;84.6637;0;130975;60957.8;105000;83500;20001
3_2;2;0;0;3;0;0;0;0;67;29;3;0;0;0;0;0;1;1;67;29;3;0;1;95,958333;83.6099;0;141050;102255;105000;84500;20001
4_2;2;1;0;4;0;0;0;0;68;27;3;1;0;0;0;0;0;1;68;27;3;0;0;96,655556;93.2017;0;157324;67105.2;390000;156000;26668
5_2;2;0;0;3;0;0;0;0;64;16;2;0;0;0;0;0;2;1;64;16;2;2;0;95,737500;102.297;0;137897;176054;105000;53000;20001
6_2;15;1;0;21;35;0;0;0;65;24;2;3;0;0;0;0;0;1;65;24;2;1;0;93,159722;124.668;261804;262427;89761.3;1072500;929000;140007
7_2;3;0;1;8;0;0;0;0;55;25;2;0;5;0;0;0;0;0;55;25;2;0;4;89,704167;128.355;0;951496;0;4657500;1.7345e+06;53336
8_2;4;0;0;3;1;0;0;0;70;16;1;0;0;0;0;0;0;0;70;16;1;0;0;97,966667;169.512;10170.7;237995;0;210000;53000;20001
9_2;5;0;0;5;3;0;0;0;59;24;1;0;0;0;0;0;0;1;59;24;1;0;1;96,952778;155.618;28011.2;217710;95705;262500;98000;33335
