Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;34;15;1;0;0;0;0;0;1;0;34;15;1;1;0;97,703704;142;0;119848;21016;52500;33500;13334
1_0;1;0;0;2;0;0;0;0;45;16;0;0;0;0;0;0;1;0;45;16;0;0;0;96,030093;142;0;141290;102240;52500;16000;13334
2_0;1;0;0;3;0;0;0;0;42;14;1;0;0;0;0;0;2;0;42;14;1;1;0;95,125000;142;0;134048;165004;52500;32500;20001
3_0;1;0;0;2;0;0;0;0;37;13;1;0;0;0;0;0;2;0;37;13;1;0;0;94,701389;142;0;120558;204480;52500;31500;13334
4_0;1;0;0;3;0;0;0;0;40;13;1;0;0;0;0;0;2;0;40;13;1;0;0;94,597222;142;0;126948;204480;52500;31500;20001
5_0;1;1;0;4;0;0;0;0;42;15;5;2;1;0;0;0;0;0;42;15;5;0;1;93,879630;142;0;375448;0;337500;589000;26668
6_0;3;0;0;6;7;0;0;0;38;8;0;0;0;0;0;0;0;0;38;8;0;0;0;97,337963;142;59640;103660;0;157500;137500;40002
7_0;1;0;0;3;0;0;0;0;41;12;1;0;0;0;0;0;0;0;41;12;1;0;0;97,942130;142;0;126238;0;52500;30500;20001
8_0;1;0;0;3;1;0;0;0;34;17;1;0;0;0;0;0;0;0;34;17;1;0;0;97,814815;142;8520;125528;0;52500;54000;20001
9_0;1;0;0;3;1;0;0;0;39;10;1;0;0;0;0;0;0;0;39;10;1;0;0;97,965278;142;8520;116298;0;52500;47000;20001
10_0;1;1;0;3;1;0;0;0;31;13;2;0;0;0;0;0;0;0;31;13;2;0;0;98,025463;142;8520;112606;0;337500;68500;20001
11_0;4;0;0;10;16;0;0;0;33;9;1;0;0;0;0;0;0;0;33;9;1;0;0;96,136574;142;136320;100678;0;210000;323500;66670
12_0;7;1;0;19;34;0;0;0;35;17;2;0;1;0;0;0;0;2;35;17;2;0;3;86,414352;142;289680;344350;199368;652500;1.0175e+06;126673
13_0;1;0;0;3;0;1;0;0;36;14;1;0;1;0;0;0;0;1;36;14;1;0;0;96,097222;142;8520;128652;102240;52500;385500;20001
14_0;1;0;0;3;0;1;0;0;41;9;4;0;1;0;0;0;0;0;41;9;4;0;0;97,585648;142;8520;139586;0;52500;436000;20001
15_0;1;0;0;3;0;2;0;0;40;9;3;0;0;0;0;0;0;0;40;9;3;0;0;97,680556;142;17040;125244;0;52500;101500;20001
16_0;1;0;0;3;0;1;0;0;42;12;0;0;0;0;0;0;0;0;42;12;0;0;0;97,847222;142;8520;123540;0;52500;30500;20001
17_0;1;0;0;3;0;1;0;0;32;15;3;0;1;0;0;0;0;0;32;15;3;0;1;94,365741;142;8520;337108;0;52500;423500;20001
18_0;2;1;0;6;0;5;0;0;42;17;0;1;0;0;0;0;0;0;42;17;0;1;0;95,833333;142;42600;213000;0;390000;183000;40002
19_0;1;0;0;3;0;1;0;0;31;13;1;0;0;0;0;0;0;0;31;13;1;0;0;98,104167;142;8520;107778;0;52500;50000;20001
20_0;1;0;0;3;0;1;0;0;38;16;0;0;1;0;0;0;0;0;38;16;0;0;1;94,347222;142;8520;338244;0;52500;369000;20001
21_0;1;0;0;3;0;1;0;0;37;15;1;0;1;0;0;0;0;0;37;15;1;0;1;94,349537;142;8520;338102;0;52500;386500;20001
22_0;1;0;0;3;0;0;0;0;38;13;1;0;0;0;0;0;0;0;38;13;1;0;0;98,000000;142;0;122688;0;52500;31500;20001
23_0;4;1;0;10;0;12;0;0;66;37;2;1;0;0;0;0;0;0;66;37;2;1;0;96,472222;142;102240;330576;0;495000;369500;66670
0_1;1;0;0;2;0;0;0;0;39;14;2;0;0;0;0;0;0;0;39;14;2;0;0;97,840278;142;0;132486;0;52500;51000;13334
1_1;1;0;0;2;0;0;0;0;31;16;1;0;0;0;0;0;0;0;31;16;1;0;0;98,104167;142;0;116298;0;52500;34500;13334
2_1;1;0;0;3;0;0;0;0;31;16;2;0;0;0;0;0;0;0;31;16;2;0;0;98,025463;142;0;121126;0;52500;53000;20001
3_1;1;0;0;2;0;0;0;0;40;15;1;0;1;0;0;0;1;1;40;15;1;1;2;93,131944;142;0;344492;76822;52500;368000;13334
4_1;1;0;0;3;0;0;0;0;32;12;0;0;1;0;0;0;1;0;32;12;0;0;0;96,546296;142;0;109624;102240;52500;346500;20001
5_1;1;1;0;4;0;0;0;0;37;15;0;1;1;0;0;0;0;0;37;15;0;0;1;94,506944;142;0;336966;0;337500;423000;26668
6_1;3;0;0;6;7;0;0;0;38;15;3;0;0;0;0;0;0;0;38;15;3;0;0;96,777778;142;59640;138024;0;157500;200000;40002
7_1;1;0;0;3;0;0;0;0;37;21;0;0;0;0;0;0;0;0;37;21;0;0;0;97,743056;142;0;138450;0;52500;21000;20001
8_1;1;0;0;3;1;0;0;0;42;8;3;0;0;0;0;0;0;0;42;8;3;0;0;97,796296;142;8520;126664;0;52500;82000;20001
9_1;1;0;0;3;1;0;0;0;34;16;0;0;1;0;0;0;2;0;34;16;0;2;1;91,918981;142;8520;329724;157478;52500;369000;20001
10_1;1;1;0;3;1;0;0;0;41;14;2;2;1;0;0;0;0;0;41;14;2;0;1;94,057870;142;8520;355994;0;337500;551000;20001
11_1;4;0;0;10;16;0;0;0;39;14;2;0;1;0;0;0;0;0;39;14;2;0;1;92,164352;142;136320;344350;0;210000;681500;66670
12_1;7;1;0;19;34;0;0;0;42;11;3;0;0;0;0;0;0;0;42;11;3;0;0;93,074074;142;289680;135184;0;652500;695500;126673
13_1;1;0;0;3;0;1;0;0;34;17;0;0;0;0;0;0;0;0;34;17;0;0;0;97,893519;142;8520;120700;0;52500;35500;20001
14_1;1;0;0;3;0;1;0;0;31;18;0;0;0;0;0;0;0;0;31;18;0;0;0;97,951389;142;8520;117150;0;52500;36500;20001
15_1;1;0;0;3;0;2;0;0;38;15;0;0;0;0;0;0;0;0;38;15;0;0;0;97,708333;142;17040;123540;0;52500;52000;20001
16_1;1;0;0;3;0;1;0;0;32;15;3;0;0;0;0;0;0;0;32;15;3;0;0;97,819444;142;8520;125244;0;52500;89000;20001
17_1;1;0;0;3;0;1;0;0;36;19;1;0;1;0;0;0;1;1;36;19;1;1;2;92,543981;142;8520;347332;101530;52500;390500;20001
18_1;2;1;0;6;0;5;0;0;37;22;2;1;1;0;0;0;0;0;37;22;2;0;0;96,664352;142;42600;162022;0;390000;559500;40002
19_1;1;0;0;3;0;1;0;0;38;15;2;0;0;0;0;0;0;0;38;15;2;0;0;97,689815;142;8520;133196;0;52500;70500;20001
20_1;1;0;0;3;0;1;0;0;38;13;3;0;0;0;0;0;0;0;38;13;3;0;0;97,703704;142;8520;132344;0;52500;87000;20001
21_1;1;0;0;3;0;1;0;0;40;14;4;0;1;0;0;0;0;0;40;14;4;0;1;94,055556;142;8520;356136;0;52500;441000;20001
22_1;1;0;0;3;0;0;0;0;36;13;1;0;1;0;0;0;0;0;36;13;1;0;1;94,615741;142;0;330292;0;52500;366000;20001
23_1;4;1;0;10;0;12;0;0;78;31;2;0;0;0;0;0;0;0;78;31;2;0;0;97,016204;142;102240;263836;0;495000;290000;66670
0_2;1;0;0;2;0;0;0;0;39;23;1;0;0;0;0;0;0;0;39;23;1;0;0;97,502315;142;0;153218;0;52500;41500;13334
1_2;1;0;0;2;0;0;0;0;39;13;1;0;0;0;0;0;0;0;39;13;1;0;0;97,965278;142;0;124818;0;52500;31500;13334
2_2;1;0;0;3;0;0;0;0;37;12;3;0;0;0;0;0;0;0;37;12;3;0;0;97,923611;142;0;127374;0;52500;67500;20001
3_2;1;0;0;2;0;0;0;0;38;16;1;0;0;0;0;0;0;0;38;16;1;0;0;97,861111;142;0;131208;0;52500;34500;13334
4_2;1;0;0;3;0;0;0;0;38;16;1;0;1;0;0;0;0;0;38;16;1;0;1;94,407407;142;0;343072;0;52500;369000;20001
5_2;1;1;0;4;0;0;0;0;40;18;3;0;1;0;0;0;0;2;40;18;3;0;3;92,881944;142;0;362668;73982;337500;408000;26668
6_2;3;0;0;6;7;0;0;0;37;12;3;0;1;0;0;0;0;1;37;12;3;0;0;95,164352;142;59640;134758;102240;157500;531500;40002
7_2;1;0;0;3;0;0;0;0;40;15;1;0;1;0;0;0;0;1;40;15;1;0;1;92,717593;142;0;344492;102240;52500;368000;20001
8_2;1;0;0;3;1;0;0;0;30;17;0;0;1;0;0;0;0;2;30;17;0;0;2;91,729167;142;8520;324044;174802;52500;370000;20001
9_2;1;0;0;3;1;0;0;0;40;17;1;0;1;0;0;0;0;4;40;17;1;0;3;89,296296;142;8520;350172;297916;52500;388500;20001
10_2;1;1;0;3;1;0;0;0;29;16;0;1;1;0;0;0;0;3;29;16;0;1;0;91,766204;142;8520;189854;306720;337500;442500;20001
11_2;4;0;0;10;16;0;0;0;41;17;0;0;1;0;0;0;0;2;41;17;0;0;0;92,113426;142;136320;142994;204480;210000;647500;66670
12_2;7;1;0;19;34;0;0;0;38;12;2;0;1;0;0;0;0;1;38;12;2;0;0;91,458333;142;289680;132060;102240;652500;1.0125e+06;126673
13_2;1;0;0;3;0;1;0;0;36;8;1;0;1;0;0;0;0;0;36;8;1;0;0;98,041667;142;8520;111612;0;52500;379500;20001
14_2;1;0;0;3;0;1;0;0;40;19;2;0;0;0;0;0;0;0;40;19;2;0;0;97,435185;142;8520;148816;0;52500;74500;20001
15_2;1;0;0;3;0;2;0;0;30;13;2;0;1;0;0;0;0;0;30;13;2;0;1;94,467593;142;17040;322340;0;52500;421500;20001
16_2;1;0;0;3;0;1;0;0;37;16;3;0;1;0;0;0;0;0;37;16;3;0;1;94,145833;142;8520;350598;0;52500;424500;20001
17_2;1;0;0;3;0;1;0;0;39;13;3;0;0;0;0;0;0;0;39;13;3;0;0;97,668981;142;8520;134474;0;52500;87000;20001
18_2;2;1;0;6;0;5;0;0;39;14;1;0;0;0;0;0;0;0;39;14;1;0;0;97,224537;142;42600;127658;0;390000;125000;40002
19_2;1;0;0;3;0;1;0;0;39;17;2;0;0;0;0;0;0;0;39;17;2;0;0;97,562500;142;8520;141006;0;52500;72500;20001
20_2;1;0;0;3;0;1;0;0;34;17;1;0;0;0;0;0;0;0;34;17;1;0;0;97,814815;142;8520;125528;0;52500;54000;20001
21_2;1;0;0;3;0;1;0;0;37;13;1;0;0;0;0;0;0;0;37;13;1;0;0;97,895833;142;8520;120558;0;52500;50000;20001
22_2;1;0;0;3;0;0;0;0;32;11;2;0;0;0;0;0;1;0;32;11;2;1;0;97,152778;142;0;109056;65604;52500;48000;20001
23_2;4;1;0;10;0;12;0;0;69;30;2;1;0;0;0;0;0;0;69;30;2;0;0;97,165509;142;102240;245518;0;495000;362500;66670
0_3;1;0;0;2;0;0;0;0;39;12;0;0;0;0;0;0;0;0;39;12;0;0;0;98,090278;142;0;117150;0;52500;12000;13334
1_3;1;0;0;2;0;0;0;0;42;18;1;0;0;0;0;0;0;0;42;18;1;0;0;97,629630;142;0;145408;0;52500;36500;13334
2_3;1;0;0;3;0;0;0;0;44;18;2;0;1;0;0;0;0;1;44;18;2;0;2;92,687500;142;0;366360;82218;52500;389500;20001
3_3;1;0;0;2;0;0;0;0;35;15;0;0;1;0;0;0;0;0;35;15;0;0;0;97,969907;142;0;124534;0;52500;349500;13334
4_3;1;0;0;3;0;0;0;0;40;15;1;0;0;0;0;0;1;0;40;15;1;1;0;97,819444;142;0;132628;1136;52500;33500;20001
5_3;1;1;0;4;0;0;0;0;41;18;1;2;0;0;0;0;0;0;41;18;1;1;0;96,377315;142;0;222230;0;337500;183500;26668
6_3;3;0;0;6;7;0;0;0;36;15;2;0;1;0;0;0;0;0;36;15;2;0;1;93,472222;142;59640;340800;0;157500;516000;40002
7_3;1;0;0;3;0;0;0;0;33;22;3;0;1;0;0;0;1;0;33;22;3;1;1;94,076389;142;0;359118;4260;52500;412000;20001
8_3;1;0;0;3;1;0;0;0;27;19;4;0;0;0;0;0;2;0;27;19;4;1;0;95,331019;142;8520;130782;147112;52500;111500;20001
9_3;1;0;0;3;1;0;0;0;39;20;0;0;0;0;0;0;2;0;39;20;0;0;0;94,247685;142;8520;139870;204480;52500;38500;20001
