Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;62;22;4;0;0;0;0;0;1;0;62;22;4;1;0;97,002778;106.296;0;160082;69304.9;105000;96000;20001
1_0;2;0;0;3;0;0;0;0;55;25;1;0;0;0;0;0;2;0;55;25;1;1;0;96,268056;105.205;0;142973;139712;105000;43500;20001
2_0;2;0;0;4;0;0;0;0;60;29;5;0;0;0;0;0;3;1;60;29;5;1;1;94,698611;84.6637;0;139695;183466;105000;121500;26668
3_0;2;0;0;4;0;0;0;0;64;26;5;0;0;0;0;0;4;2;64;26;5;1;1;92,380556;83.6099;0;137956;320728;105000;118500;26668
4_0;2;0;0;3;0;0;0;0;61;22;1;0;0;0;0;0;4;3;61;22;1;0;1;92,020833;93.2017;0;129457;405986;105000;40500;20001
5_0;2;1;0;4;0;0;0;0;62;19;1;6;0;0;0;0;0;3;62;19;1;2;0;93,516667;102.297;0;256562;220962;390000;478500;26668
6_0;15;0;0;21;36;0;0;0;72;28;1;0;0;0;0;0;0;3;72;28;1;0;0;91,675000;124.668;269284;208695;269284;787500;712500;140007
7_0;5;0;0;4;2;0;0;0;64;31;1;0;0;0;0;0;0;4;64;31;1;0;1;93,720833;128.355;15402.6;207165;357725;262500;86500;26668
8_0;5;0;0;4;1;0;0;0;61;31;4;0;0;0;0;1;0;4;61;31;5;0;0;93,588889;169.512;10170.7;283255;489042;262500;123500;26668
9_0;4;0;0;4;1;0;0;0;58;20;4;0;0;0;0;0;0;4;58;20;3;0;0;93,980556;155.618;9337.08;216931;448180;210000;112500;26668
10_0;3;0;0;3;0;0;0;0;67;36;1;0;0;0;0;0;1;4;67;36;1;1;0;92,647222;149.164;0;262379;527294;157500;54500;20001
11_0;5;1;0;8;8;0;0;0;55;20;3;1;0;0;0;0;0;6;55;20;3;0;2;92,740278;125.69;60331.2;170059;426592;547500;297000;53336
12_0;15;0;0;29;52;0;0;0;53;19;1;0;0;0;0;0;0;10;53;19;1;0;4;87,151389;106.296;331643;128512;523188;787500;999500;193343
13_0;2;0;0;4;0;1;0;0;63;29;3;0;0;0;0;0;0;11;63;29;3;0;1;87,163889;105.205;6312.29;171168;794823;105000;103000;26668
14_0;5;0;0;8;0;9;0;0;70;28;3;0;0;0;0;0;0;12;70;28;3;0;1;85,508333;84.6637;45718.4;144944;692718;262500;250000;53336
15_0;9;0;0;18;0;29;0;0;69;25;0;0;0;0;0;0;1;13;69;25;0;1;1;81,730556;83.6099;145481;128341;825983;472500;561500;120006
16_0;3;1;1;13;0;1;0;0;61;26;1;1;11;0;0;0;0;3;61;26;1;0;1;92,045833;93.2017;5592.1;326858;201316;4942500;3.816e+06;86671
17_0;3;0;0;4;0;2;0;0;64;25;0;0;0;0;0;0;0;4;64;25;0;0;1;94,755556;102.297;12275.7;149354;224645;157500;62000;26668
18_0;3;0;0;3;0;0;0;0;65;22;2;0;0;0;0;0;0;6;65;22;2;0;2;93,744444;124.668;0;184883;376623;157500;59000;20001
19_0;3;0;0;3;0;0;0;0;66;28;2;0;0;0;0;1;1;6;66;28;3;1;0;90,834722;128.355;0;207678;639336;157500;65000;20001
20_0;4;1;0;4;0;0;0;0;53;20;4;2;0;0;0;0;0;6;53;20;3;1;0;91,395833;169.512;0;317835;732292;495000;241000;26668
21_0;4;0;0;4;0;0;0;0;63;22;4;0;0;0;0;0;0;7;63;22;4;0;1;90,969444;155.618;0;236695;775133;210000;96000;26668
22_0;3;0;0;3;0;0;0;0;59;29;1;0;0;0;0;0;0;7;59;29;1;0;0;90,918056;149.164;0;223596;751785;157500;47500;20001
23_0;6;0;0;9;0;6;0;0;117;45;6;0;0;0;0;0;0;7;117;45;6;0;0;94,264583;125.69;45248.4;359348;633478;315000;267000;60003
0_1;2;0;0;3;0;0;0;0;54;28;4;0;0;0;0;0;0;0;54;28;4;0;0;97,908333;106.296;0;160082;0;105000;102000;20001
1_1;2;0;0;3;0;0;0;0;60;29;3;0;0;0;0;0;0;0;60;29;3;0;0;97,802778;105.205;0;166434;0;105000;84500;20001
2_1;2;0;0;4;0;0;0;0;55;22;3;0;0;0;0;0;0;2;55;22;3;0;2;97,272222;84.6637;0;115735;50544.2;105000;77500;26668
3_1;2;0;0;4;0;0;0;0;65;25;5;0;0;0;0;0;0;3;65;25;5;0;1;95,445833;83.6099;0;137538;136619;105000;117500;26668
4_1;2;0;0;3;0;0;0;0;63;27;3;0;0;0;0;0;0;4;63;27;3;0;1;94,013889;93.2017;0;147911;253788;105000;82500;20001
5_1;2;1;0;4;0;0;0;0;63;18;1;0;0;0;0;0;0;4;63;18;1;0;0;94,140278;102.297;0;136976;294616;390000;36500;26668
6_1;15;0;0;21;36;0;0;0;64;26;0;0;0;0;0;0;1;7;64;26;0;1;3;89,545833;124.668;269284;184509;484586;787500;692000;140007
7_1;5;0;0;4;2;0;0;0;50;16;1;0;0;0;0;0;1;9;50;16;1;0;2;89,023611;128.355;15402.6;141704;857283;262500;71500;26668
8_1;5;0;0;4;1;0;0;0;59;28;2;0;0;0;0;0;1;9;59;28;2;0;0;87,815278;169.512;10170.7;256472;1.22049e+06;262500;83500;26668
