Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;62;28;1;0;0;0;0;0;0;0;62;28;1;0;0;97,883333;106.296;0;161995;0;105000;46500;20001
1_0;2;0;0;3;0;0;0;0;65;28;1;0;0;0;0;0;0;0;65;28;1;0;0;97,820833;105.205;0;165067;0;105000;46500;20001
2_0;2;1;0;4;0;0;0;0;57;21;2;0;0;0;0;0;0;2;57;21;2;0;2;97,355556;84.6637;0;113703;47496.3;390000;58000;26668
3_0;2;0;0;3;0;0;0;0;65;20;2;0;0;0;0;0;0;2;65;20;2;0;0;95,995833;83.6099;0;120649;120398;105000;57000;20001
4_0;2;0;0;3;0;0;0;0;62;16;2;0;0;0;0;0;0;2;62;16;2;0;0;96,169444;93.2017;0;122840;134210;105000;53000;20001
5_0;2;0;0;3;0;0;0;0;61;27;3;0;0;0;0;0;0;2;61;27;3;0;0;95,837500;102.297;0;159277;147308;105000;82500;20001
6_0;8;1;0;11;14;0;0;0;65;27;1;1;0;0;0;0;1;3;65;27;1;2;1;93,150000;124.668;104721;259186;250958;705000;378000;73337
7_0;4;0;0;4;2;0;0;0;70;28;2;0;0;0;0;0;1;3;70;28;2;0;0;93,502778;128.355;15402.6;215380;369662;210000;102000;26668
8_0;5;1;0;4;1;0;0;0;66;25;3;2;0;0;0;0;0;3;66;25;3;1;0;93,933333;169.512;10170.7;364112;366146;547500;246000;26668
9_0;5;0;0;5;4;0;0;0;58;28;0;0;0;0;0;0;0;3;58;28;0;0;0;94,680556;155.618;37348.3;222534;336135;262500;102000;33335
10_0;4;0;0;5;2;0;0;0;59;26;6;0;0;0;0;0;0;3;59;26;6;0;0;94,598611;149.164;17899.6;240004;322194;210000;174000;33335
11_0;10;0;0;16;25;0;0;0;59;22;4;0;0;0;0;0;0;5;59;22;4;0;2;92,319444;125.69;188535;183633;322898;525000;558500;106672
12_0;15;1;0;29;52;0;0;0;67;29;2;0;0;0;0;1;0;5;67;29;3;0;0;88,155556;106.296;331643;175707;399141;1072500;1.028e+06;193343
13_0;2;0;0;4;0;2;0;0;60;24;2;0;0;0;0;0;0;7;60;24;1;0;2;91,790278;105.205;12624.6;151074;458167;105000;98000;26668
14_0;3;1;1;13;0;3;0;0;67;23;5;1;7;0;0;0;0;0;67;23;5;1;0;96,237500;84.6637;15239.5;214114;0;4942500;2.586e+06;86671
15_0;5;0;0;9;0;12;0;0;56;20;2;0;0;0;0;0;0;0;56;20;2;0;0;97,183333;83.6099;60199.2;109362;0;262500;279000;60003
16_0;3;0;0;6;0;6;0;0;69;25;1;0;0;0;0;0;1;3;69;25;1;1;3;95,180556;93.2017;33552.6;146233;143624;157500;154500;40002
17_0;8;1;0;15;0;22;0;0;63;25;3;1;0;0;0;0;0;5;63;25;3;0;2;92,651389;102.297;135033;160914;245309;705000;561000;100005
18_0;3;1;0;4;0;1;0;0;59;32;1;0;0;0;0;0;0;6;59;32;1;0;1;92,293056;124.668;7480.11;194358;489947;442500;69000;26668
