Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;58;21;1;0;0;0;0;0;0;0;58;21;1;0;0;98,161111;106.296;0;140736;0;105000;39500;20001
1_0;2;0;0;3;0;0;0;0;76;19;2;0;0;0;0;0;0;0;76;19;2;0;0;97,794444;105.205;0;167065;0;105000;56000;20001
2_0;2;0;0;4;0;0;0;0;59;26;0;0;1;0;0;0;0;0;59;26;0;0;1;95,976389;84.6637;0;245271;0;105000;360500;26668
3_0;2;0;0;3;0;0;0;0;59;20;4;0;1;0;0;0;0;2;59;20;4;0;3;95,704167;83.6099;0;243556;15049.8;105000;428500;20001
4_0;2;0;0;4;0;0;0;0;54;24;4;1;1;0;0;0;0;2;54;24;4;1;1;93,211111;93.2017;0;321359;134210;105000;506000;26668
5_0;2;0;0;3;0;0;0;0;74;31;1;0;0;0;0;3;0;2;74;31;4;0;0;94,247222;102.297;0;180453;243263;105000;49500;20001
6_0;3;0;0;6;0;0;0;0;56;27;7;0;0;0;0;0;1;2;56;27;4;1;0;95,768056;124.668;0;197225;182639;157500;156500;40002
7_0;4;0;0;5;2;0;0;0;63;18;5;0;0;0;0;0;1;2;63;18;5;0;0;94,784722;128.355;15402.6;189324;277247;210000;147500;33335
8_0;5;0;0;5;2;0;0;0;59;27;2;0;0;0;0;0;1;3;59;27;2;0;1;94,662500;169.512;20341.4;253081;378012;262500;101000;33335
9_0;5;1;0;5;1;0;0;0;54;21;1;1;0;0;0;0;0;3;54;21;1;0;0;95,125000;155.618;9337.08;200747;336135;547500;131500;33335
10_0;3;0;0;3;0;0;0;0;60;30;0;0;0;0;0;0;0;3;60;30;0;0;0;94,916667;149.164;0;223746;322194;157500;30000;20001
11_0;15;0;0;25;43;0;0;0;66;26;4;0;0;0;0;0;1;3;66;26;4;1;0;90,813889;125.69;324280;206886;300148;787500;895500;166675
12_0;15;0;0;30;52;0;0;0;57;25;1;1;1;0;0;0;0;2;57;25;1;0;0;91,629167;106.296;331643;155936;153066;787500;1.4135e+06;200010
13_0;2;0;0;4;0;0;0;0;61;16;2;0;1;0;0;0;0;2;61;16;2;0;1;94,118056;105.205;0;294048;151495;105000;387500;26668
14_0;2;0;1;9;0;0;0;0;55;24;2;1;2;0;0;0;1;0;55;24;2;2;0;96,905556;84.6637;0;169920;18710.7;4605000;803500;60003
15_0;2;0;0;4;0;0;0;0;65;29;2;1;0;0;0;0;0;0;65;29;2;0;0;97,709722;83.6099;0;137873;0;105000;139500;26668
16_0;2;0;0;4;0;0;0;0;63;29;1;0;0;0;0;0;0;0;63;29;1;0;0;97,834722;93.2017;0;145301;0;105000;47500;26668
17_0;2;0;0;3;0;0;0;0;70;25;2;1;0;0;0;0;0;0;70;25;2;1;0;97,016667;102.297;0;219735;0;105000;135500;20001
18_0;4;0;0;5;0;2;0;0;56;26;5;0;0;0;0;0;0;1;56;26;5;0;1;97,104167;124.668;14960.2;190743;54230.8;210000;155500;33335
19_0;5;0;0;5;0;3;0;0;62;24;5;0;0;0;0;0;1;1;62;24;5;1;0;95,695833;128.355;23103.9;202801;171867;262500;172000;33335
20_0;4;1;0;4;0;1;0;0;63;30;1;1;0;0;0;0;0;3;63;30;1;0;2;95,712500;169.512;10170.7;272067;241046;495000;140500;26668
21_0;5;0;0;5;0;2;0;0;67;24;5;0;0;0;0;0;0;4;67;24;5;0;1;93,938889;155.618;18674.2;257548;402895;262500;153500;33335
22_0;4;0;0;5;0;1;0;0;66;32;2;0;0;0;0;0;1;4;66;32;2;1;0;93,013889;149.164;8949.82;253280;488064;210000;87500;33335
23_0;15;0;0;26;0;44;0;0;61;18;2;0;0;0;0;0;3;4;61;18;2;2;0;88,394444;125.69;331822;168802;549642;787500;869000;173342
24_0;14;0;0;28;0;47;0;0;65;30;5;1;1;0;0;0;2;3;65;30;5;0;0;88,551389;106.296;299754;193777;382665;735000;1.4e+06;186676
25_0;2;0;0;4;0;0;0;0;64;23;2;1;1;0;0;0;1;4;64;23;2;0;2;91,473611;105.205;0;316246;329607;105000;468000;26668
26_0;2;0;0;4;0;0;0;0;61;25;2;1;1;0;0;0;0;3;61;25;2;0;0;94,831944;84.6637;0;132160;182873;105000;470000;26668
27_0;2;0;0;4;0;0;0;0;56;22;1;0;1;0;0;0;0;2;56;22;1;0;0;96,102778;83.6099;0;114211;120398;105000;375000;26668
28_0;2;0;0;4;0;0;0;0;59;34;3;0;1;0;0;0;0;3;59;34;3;0;2;93,540278;93.2017;0;294424;139057;105000;424000;26668
29_0;4;0;0;5;0;0;0;0;132;45;6;0;0;0;0;0;0;3;132;45;6;0;0;96,358333;102.297;0;315485;220962;210000;156000;33335
0_1;2;0;0;3;0;0;0;0;59;34;2;0;0;0;0;0;0;0;59;34;2;0;0;97,731944;106.296;0;173581;0;105000;71000;20001
1_1;2;0;0;3;0;0;0;0;60;24;4;0;0;0;0;0;0;0;60;24;4;0;0;97,894444;105.205;0;159491;0;105000;98000;20001
2_1;2;0;0;4;0;0;0;0;65;25;0;0;0;0;0;0;0;0;65;25;0;0;0;97,951389;84.6637;0;124879;0;105000;25000;26668
3_1;2;0;0;3;0;0;0;0;66;27;1;0;0;0;0;0;0;0;66;27;1;0;0;97,827778;83.6099;0;130766;0;105000;45500;20001
4_1;2;0;0;4;0;0;0;0;66;32;1;1;0;0;0;0;0;0;66;32;1;1;0;96,952778;93.2017;0;204484;0;105000;124000;26668
5_1;2;0;0;3;0;0;0;0;64;19;1;1;0;0;0;0;0;0;64;19;1;1;0;97,355556;102.297;0;194774;0;105000;111000;20001
6_1;3;0;0;6;0;0;0;0;61;27;3;0;0;0;0;0;0;1;61;27;3;0;1;97,318056;124.668;0;194109;46626;157500;82500;40002
7_1;4;0;0;5;2;0;0;0;61;31;2;0;0;0;0;0;0;2;61;31;2;0;1;95,901389;128.355;15402.6;205753;157620;210000;105000;33335
8_1;5;0;0;5;2;0;0;0;61;27;1;0;0;0;0;0;0;3;61;27;1;0;1;95,598611;169.512;20341.4;252403;264439;262500;82500;33335
9_1;5;1;0;5;1;0;0;0;67;25;2;0;0;0;0;0;0;4;67;25;2;0;1;94,101389;155.618;9337.08;244787;406785;547500;80500;33335
10_1;3;0;0;3;0;0;0;0;66;22;2;0;0;0;0;0;0;4;66;22;2;0;0;93,919444;149.164;0;223447;429591;157500;59000;20001
11_1;15;0;0;25;43;0;0;0;54;30;2;0;0;0;0;0;0;6;54;30;2;0;2;89,372222;125.69;324280;185770;451730;787500;862500;166675
12_1;15;0;0;30;52;0;0;0;64;24;2;1;1;0;0;0;0;8;64;24;2;1;3;83,355556;106.296;331643;375224;566982;787500;1.431e+06;200010
13_1;2;0;0;4;0;0;0;0;66;31;5;0;1;0;0;0;0;7;66;31;5;0;0;90,455556;105.205;0;192735;530233;105000;458000;26668
14_1;2;0;1;9;0;0;0;0;64;25;3;0;6;0;0;0;0;1;64;25;3;0;0;96,397222;84.6637;0;158660;60957.8;4605000;2.0875e+06;60003
15_1;2;0;0;4;0;0;0;0;65;26;1;0;1;0;0;0;0;2;65;26;1;0;2;94,023611;83.6099;0;252586;107188;105000;379000;26668
16_1;2;0;0;4;0;0;0;0;66;25;2;0;1;0;0;0;0;2;66;25;2;0;1;93,763889;93.2017;0;284265;134210;105000;396500;26668
17_1;2;0;0;3;0;0;0;0;60;27;1;0;0;0;0;0;0;3;60;27;1;0;1;95,869444;102.297;0;150786;153446;105000;45500;20001
18_1;4;0;0;5;0;2;0;0;56;30;1;0;0;0;0;0;1;3;56;30;1;1;0;94,702778;124.668;14960.2;183761;276764;210000;85500;33335
19_1;5;0;0;5;0;3;0;0;60;16;5;0;0;0;0;0;2;4;60;16;5;1;1;92,872222;128.355;23103.9;178413;457201;262500;164000;33335
20_1;4;1;0;4;0;1;0;0;59;20;5;2;0;0;0;0;0;5;59;20;5;0;1;93,812500;169.512;10170.7;255455;489551;495000;278000;26668
21_1;5;0;0;5;0;2;0;0;60;24;5;0;0;0;0;0;0;5;60;24;5;0;0;92,680556;155.618;18674.2;241208;560225;262500;153500;33335
22_1;4;0;0;5;0;1;0;0;61;15;4;0;0;0;0;0;0;10;61;15;4;0;5;90,798611;149.164;8949.82;201520;777739;210000;107500;33335
23_1;15;0;0;26;0;44;0;0;62;21;3;0;0;0;0;0;0;10;62;21;3;0;0;84,316667;125.69;331822;182502;904968;787500;890500;173342
24_1;14;0;0;28;0;47;0;0;68;23;4;0;1;0;0;0;0;9;68;23;4;0;0;84,766667;106.296;299754;177301;688797;735000;1.301e+06;186676
25_1;2;0;0;4;0;0;0;0;64;19;1;1;1;0;0;0;0;8;64;19;1;1;0;89,283333;105.205;0;205781;605980;105000;445500;26668
26_1;2;0;0;4;0;0;0;0;71;33;3;0;1;0;0;0;0;7;71;33;3;0;0;90,390278;84.6637;0;159083;426705;105000;423000;26668
27_1;2;0;0;4;0;0;0;0;67;23;2;0;1;0;0;0;0;7;67;23;2;0;1;88,798611;83.6099;0;252920;421394;105000;394500;26668
28_1;2;0;0;4;0;0;0;0;66;21;4;1;1;0;0;0;0;7;66;21;4;1;1;88,044444;93.2017;0;332543;469736;105000;503000;26668
29_1;4;0;0;5;0;0;0;0;119;59;3;0;0;0;0;0;0;7;119;59;3;0;0;94,370139;102.297;0;313746;515579;210000;114500;33335
0_2;2;0;0;3;0;0;0;0;70;31;1;0;0;0;0;0;0;0;70;31;1;0;0;97,633333;106.296;0;181128;0;105000;49500;20001
1_2;2;0;0;3;0;0;0;0;61;22;3;1;0;0;0;0;0;0;61;22;3;1;0;97,240278;105.205;0;209042;0;105000;151000;20001
2_2;2;0;0;4;0;0;0;0;67;25;3;1;0;0;0;0;0;0;67;25;3;1;0;97,031944;84.6637;0;180926;0;105000;154000;26668
3_2;2;0;0;3;0;0;0;0;66;24;2;0;1;0;0;0;0;0;66;24;2;0;1;95,791667;83.6099;0;253338;0;105000;395500;20001
