Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;42;17;4;0;0;0;0;0;0;0;42;17;4;0;0;97,951852;142;0;157052;0;52500;91000;20001
1_0;1;0;0;3;0;0;0;0;43;9;2;0;0;0;0;0;1;0;43;9;2;1;0;97,120370;142;0;126806;94004;52500;46000;20001
2_0;1;0;0;3;0;0;0;0;46;19;1;0;0;0;0;0;1;0;46;19;1;0;0;96,622222;142;0;156768;102240;52500;37500;20001
3_0;1;1;0;4;0;0;0;0;46;15;0;1;0;0;0;0;0;0;46;15;0;0;0;98,118519;142;0;144272;0;337500;88500;26668
4_0;1;0;0;3;0;0;0;0;42;16;2;0;0;0;0;0;0;0;42;16;2;0;0;98,114815;142;0;144556;0;52500;53000;20001
5_0;1;0;0;3;0;0;0;0;56;11;3;0;0;0;0;0;0;0;56;11;3;0;0;97,848148;142;0;165004;0;52500;66500;20001
6_0;3;0;0;7;9;0;0;0;53;21;0;0;0;0;0;0;0;0;53;21;0;0;0;96,750000;142;76680;172530;0;157500;187500;46669
7_0;5;0;0;13;22;0;0;0;44;21;1;0;0;0;0;0;1;0;44;21;1;1;0;94,655556;142;187440;158188;64184;262500;446500;86671
8_0;2;1;0;5;4;0;0;0;49;13;4;2;0;0;0;0;0;1;49;13;4;1;1;95,409259;142;34080;239554;78384;390000;308000;33335
9_0;2;0;0;5;4;0;0;0;49;18;0;0;0;0;0;0;0;1;49;18;0;0;0;96,194444;142;34080;155490;102240;105000;92000;33335
10_0;2;0;0;5;5;0;0;0;50;19;1;0;0;0;0;0;0;2;50;19;1;0;1;95,516667;142;42600;165288;135894;105000;130000;33335
11_0;5;0;1;19;21;0;0;0;39;19;1;0;3;0;0;0;0;0;39;19;1;0;1;92,861111;142;178920;368490;0;4762500;1.4295e+06;126673
12_0;3;1;0;9;10;0;0;0;49;23;0;0;0;0;0;0;0;0;49;23;0;0;0;96,675926;142;85200;169690;0;442500;208000;60003
13_0;1;0;0;3;0;0;0;0;40;21;0;0;0;0;0;0;0;0;40;21;0;0;0;98,111111;142;0;144840;0;52500;21000;20001
14_0;1;0;0;3;0;0;0;0;46;20;4;0;0;0;0;0;0;0;46;20;4;0;0;97,729630;142;0;174092;0;52500;94000;20001
15_0;2;0;0;3;0;0;0;0;38;24;1;0;0;0;0;0;0;0;38;24;1;0;0;97,992593;142;0;153928;0;105000;42500;20001
16_0;1;0;0;3;0;0;0;0;51;14;0;0;0;0;0;0;0;1;51;14;0;0;1;97,716667;142;0;148390;26696;52500;14000;20001
17_0;1;0;0;3;0;0;0;0;48;22;0;0;0;0;0;0;0;1;48;22;0;0;0;96,518519;142;0;164720;102240;52500;22000;20001
18_0;3;0;0;8;0;9;0;0;46;22;1;0;0;0;0;0;0;1;46;22;1;0;0;95,511111;142;76680;165288;102240;157500;207000;53336
19_0;6;1;0;15;0;24;0;0;47;23;3;0;0;0;0;0;0;2;47;23;3;0;1;92,601852;142;204480;179914;182896;600000;522500;100005
20_0;2;0;0;5;0;5;0;0;52;16;2;0;0;0;0;0;0;2;52;16;2;0;0;94,614815;142;42600;165856;204480;105000;145500;33335
21_0;6;0;0;16;0;26;0;0;47;20;5;0;0;0;0;0;0;3;47;20;5;0;1;91,446296;142;221520;181050;253328;315000;593500;106672
22_0;2;0;1;7;0;2;0;0;50;14;2;0;4;0;0;0;0;0;50;14;2;0;1;94,692593;142;17040;389932;0;4605000;1.426e+06;46669
23_0;2;0;0;5;0;4;0;0;44;27;2;0;0;0;0;0;0;2;44;27;2;0;2;96,196296;142;34080;180056;77532;105000;138000;33335
24_0;2;0;0;5;0;5;0;0;51;19;2;0;0;0;0;0;0;2;51;19;2;0;0;94,531481;142;42600;172246;204480;105000;148500;33335
25_0;1;1;0;4;0;0;0;0;46;24;1;1;0;0;0;0;0;3;46;24;1;1;1;92,844444;142;0;246228;302460;337500;116000;26668
26_0;1;0;0;3;0;0;0;0;50;17;0;0;0;0;0;0;0;3;50;17;0;0;0;93,981481;142;0;154780;306720;52500;17000;20001
27_0;1;0;0;3;0;0;0;0;53;23;2;0;0;0;0;0;0;3;53;23;2;0;0;93,550000;142;0;187866;306720;52500;60000;20001
28_0;1;0;0;3;0;0;0;0;49;23;2;0;0;0;0;1;0;3;49;23;3;0;0;93,244444;142;0;179346;338670;52500;60000;20001
29_0;3;1;0;6;0;0;0;0;98;36;6;0;0;0;0;0;0;3;98;36;5;0;0;95,794444;142;0;338244;306720;442500;147000;40002
0_1;1;0;0;3;0;0;0;0;51;17;2;0;0;0;0;0;1;0;51;17;2;1;0;97,505556;142;0;166566;24708;52500;54000;20001
1_1;1;0;0;3;0;0;0;0;45;24;2;0;0;0;0;0;1;0;45;24;2;0;0;96,401852;142;0;173666;102240;52500;61000;20001
2_1;1;0;0;3;0;0;0;0;48;16;4;0;0;0;0;0;1;0;48;16;4;0;0;96,488889;142;0;166992;102240;52500;90000;20001
3_1;1;1;0;4;0;0;0;0;46;22;0;1;0;0;0;0;0;0;46;22;0;0;0;97,859259;142;0;164152;0;337500;95500;26668
4_1;1;0;0;3;0;0;0;0;47;18;2;0;0;0;0;0;1;0;47;18;2;1;0;96,698148;142;0;160886;92300;52500;55000;20001
5_1;1;0;0;3;0;0;0;0;54;15;0;0;0;0;0;0;1;0;54;15;0;0;0;96,611111;142;0;157620;102240;52500;15000;20001
6_1;3;0;0;7;9;0;0;0;48;27;1;0;0;0;0;0;2;0;48;27;1;1;0;94,464815;142;76680;183748;164010;157500;212000;46669
7_1;5;0;0;13;22;0;0;0;47;19;2;0;0;0;0;0;3;0;47;19;2;1;0;92,525926;142;187440;163726;221946;262500;463000;86671
8_1;2;1;0;5;4;0;0;0;48;21;1;3;0;0;0;0;0;0;48;21;1;0;0;97,237037;142;34080;177784;0;390000;334000;33335
9_1;2;0;0;5;4;0;0;0;48;19;4;0;0;0;0;0;0;1;48;19;4;0;1;96,544444;142;34080;175512;55380;105000;167000;33335
10_1;2;0;0;5;5;0;0;0;51;18;2;0;0;0;0;0;0;2;51;18;2;0;1;95,779630;142;42600;169406;111612;105000;147500;33335
11_1;5;0;1;19;21;0;0;0;46;21;2;0;2;0;0;0;0;0;46;21;2;0;0;95,292593;142;178920;182044;0;4762500;1.1155e+06;126673
12_1;3;1;0;9;10;0;0;0;52;13;3;0;0;0;0;0;0;0;52;13;3;0;0;96,774074;142;85200;162164;0;442500;253500;60003
13_1;1;0;0;3;0;0;0;0;54;20;1;0;0;0;0;0;0;0;54;20;1;0;0;97,696296;142;0;176648;0;52500;38500;20001
14_1;1;0;0;3;0;0;0;0;54;20;3;0;0;0;0;0;1;0;54;20;3;1;0;96,577778;142;0;186304;76112;52500;75500;20001
15_1;2;0;0;3;0;0;0;0;46;27;3;0;0;0;0;0;1;0;46;27;3;0;0;96,200000;142;0;189144;102240;105000;82500;20001
16_1;1;0;0;3;0;0;0;0;52;20;3;0;0;0;0;1;1;0;52;20;4;0;0;95,305556;142;0;182044;177926;52500;75500;20001
17_1;1;0;0;3;0;0;0;0;56;12;2;0;0;0;0;0;1;0;56;12;1;0;0;96,562963;142;0;161312;102240;52500;49000;20001
18_1;3;0;0;8;0;9;0;0;46;27;3;0;0;0;0;0;1;1;46;27;3;0;1;94,512963;142;76680;189144;154922;157500;249000;53336
19_1;6;1;0;15;0;24;0;0;51;20;1;1;0;0;0;0;0;1;51;20;1;0;0;93,731481;142;204480;173950;102240;600000;556000;100005
20_1;2;0;0;5;0;5;0;0;47;24;1;0;0;0;0;0;0;2;47;24;1;0;1;94,618519;142;42600;173098;196954;105000;135000;33335
21_1;6;0;0;16;0;26;0;0;44;22;1;0;0;0;0;0;0;3;44;22;1;0;1;91,620370;142;221520;161028;260002;315000;521500;106672
22_1;2;0;1;7;0;2;0;0;42;24;3;0;2;0;0;0;0;1;42;24;3;0;0;96,007407;142;17040;186872;102240;4605000;785500;46669
23_1;2;0;0;5;0;4;0;0;44;16;3;0;0;0;0;0;1;1;44;16;3;1;0;96,174074;142;34080;153644;105648;105000;145500;33335
24_1;2;0;0;5;0;5;0;0;52;16;2;0;0;0;0;0;1;1;52;16;2;0;0;94,614815;142;42600;165856;204480;105000;145500;33335
25_1;1;1;0;4;0;0;0;0;47;10;2;1;0;0;0;0;0;2;47;10;2;0;1;95,944444;142;0;141858;169122;337500;120500;26668
26_1;1;0;0;3;0;0;0;0;43;27;1;0;0;0;0;0;0;3;43;27;1;0;1;94,981481;142;0;173098;211722;52500;45500;20001
27_1;1;0;0;3;0;0;0;0;51;20;2;0;0;0;0;0;0;5;51;20;2;0;2;92,400000;142;0;175086;407682;52500;57000;20001
28_1;1;0;0;3;0;0;0;0;47;16;0;0;0;0;0;0;0;5;47;16;0;0;0;91,435185;142;0;145550;511200;52500;16000;20001
29_1;3;1;0;6;0;0;0;0;98;47;5;2;0;0;0;0;0;6;98;47;5;2;1;92,788889;142;0;516880;589016;442500;286500;40002
0_2;1;0;0;3;0;0;0;0;46;21;2;0;0;0;0;0;0;0;46;21;2;0;0;97,818519;142;0;167276;0;52500;58000;20001
1_2;1;0;0;3;0;0;0;0;45;20;3;0;0;0;0;0;0;0;45;20;3;0;0;97,820370;142;0;167134;0;52500;75500;20001
2_2;1;0;0;3;0;0;0;0;56;19;1;0;0;0;0;0;1;1;56;19;1;1;1;96,364815;142;0;178068;100678;52500;37500;20001
3_2;1;1;0;4;0;0;0;0;53;13;5;2;0;0;0;1;0;1;53;13;6;1;0;94,107407;142;0;252902;198942;337500;252500;26668
4_2;1;0;0;3;0;0;0;0;53;10;3;0;0;0;0;0;0;3;53;10;2;0;2;95,425926;142;0;154070;196670;52500;65500;20001
5_2;1;0;0;3;0;0;0;0;44;13;1;0;0;0;0;0;1;3;44;13;1;1;0;93,690741;142;0;135468;348326;52500;31500;20001
6_2;3;0;0;7;9;0;0;0;45;22;1;0;0;0;0;0;2;3;45;22;1;1;0;91,438889;142;76680;163158;416628;157500;207000;46669
7_2;5;0;0;13;22;0;0;0;46;21;0;0;0;0;0;0;2;6;46;21;0;0;3;85,498148;142;187440;157620;766942;262500;428000;86671
8_2;2;1;0;5;4;0;0;0;48;21;3;2;0;0;0;0;0;7;48;21;3;0;1;89,144444;142;34080;183748;614576;390000;297500;33335
9_2;2;0;0;5;4;0;0;0;49;19;1;0;0;0;0;0;0;8;49;19;1;0;1;87,281481;142;34080;163158;778018;105000;111500;33335
10_2;2;0;0;5;5;0;0;0;47;12;1;0;0;0;0;0;0;9;47;12;1;0;1;85,972222;142;42600;139018;894032;105000;123000;33335
11_2;5;0;1;19;21;0;0;0;40;14;2;0;9;0;0;0;0;0;40;14;2;0;0;95,044444;142;178920;201072;0;4762500;3.45e+06;126673
12_2;3;1;0;9;10;0;0;0;44;19;2;0;0;0;0;0;0;0;44;19;2;0;0;96,837037;142;85200;157336;0;442500;241000;60003
13_2;1;0;0;3;0;0;0;0;39;22;4;0;0;0;0;0;0;1;39;22;4;0;1;97,538889;142;0;164862;23856;52500;96000;20001
14_2;1;0;0;3;0;0;0;0;36;19;1;0;0;0;0;0;0;1;36;19;1;0;0;96,900000;142;0;135468;102240;52500;37500;20001
15_2;2;0;0;3;0;0;0;0;52;12;1;0;0;0;0;0;0;1;52;12;1;0;0;96,714815;142;0;149668;102240;105000;30500;20001
16_2;1;0;0;3;0;0;0;0;41;20;1;0;0;0;0;0;0;1;41;20;1;0;0;96,724074;142;0;148958;102240;52500;38500;20001
17_2;1;0;0;3;0;0;0;0;50;19;2;0;0;0;0;0;1;1;50;19;2;1;0;96,159259;142;0;170116;124392;52500;56000;20001
18_2;3;0;0;8;0;9;0;0;52;27;3;0;0;0;0;0;1;1;52;27;3;0;0;93,700000;142;76680;201924;204480;157500;249000;53336
