Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;35;15;1;0;0;0;0;0;0;0;35;15;1;0;0;98,011574;106.296;0;91308.1;0;52500;33500;13334
1_0;2;0;0;2;0;0;0;0;33;10;0;0;0;0;0;0;0;0;33;10;0;0;0;98,391204;105.205;0;73117.4;0;105000;10000;13334
2_0;1;0;0;2;0;0;0;0;31;18;1;0;0;0;0;0;0;0;31;18;1;0;0;98,011574;84.6637;0;72726.1;0;52500;36500;13334
3_0;1;1;0;2;0;0;0;0;36;20;0;0;0;0;0;0;0;0;36;20;0;0;0;97,824074;83.6099;0;78593.3;0;337500;20000;13334
4_0;1;0;0;2;0;0;0;0;33;17;2;0;0;0;0;0;0;0;33;17;2;0;0;97,909722;93.2017;0;84161.1;0;52500;54000;13334
5_0;1;0;0;1;0;0;0;0;38;15;0;0;0;0;0;0;0;2;38;15;0;0;2;96,157407;102.297;0;88998.7;80814.9;52500;15000;6667
6_0;2;0;0;3;0;0;0;0;38;15;5;0;0;0;0;0;0;2;38;15;5;0;0;94,259259;124.668;0;129655;179523;105000;107500;20001
7_0;2;0;0;3;1;0;0;0;34;16;1;0;0;0;0;1;0;3;34;16;2;0;1;93,527778;128.355;7701.3;110899;240281;105000;53000;20001
8_0;3;0;0;3;0;0;0;0;37;15;4;0;0;0;0;0;0;3;37;15;3;0;0;92,733796;169.512;0;165952;366146;157500;89000;20001
9_0;3;0;0;3;1;0;0;0;36;10;0;0;0;0;0;0;0;3;36;10;0;0;0;93,148148;155.618;9337.08;115157;336135;157500;28500;20001
10_0;3;1;0;4;1;0;0;0;31;14;0;0;0;0;0;0;0;3;31;14;0;0;0;93,136574;149.164;8949.82;111127;322194;442500;32500;26668
11_0;3;0;0;4;4;0;0;0;35;17;0;0;0;0;0;0;0;3;35;17;0;0;0;92,442130;125.69;30165.6;108722;271490;157500;91000;26668
12_0;15;0;0;28;53;0;0;0;46;18;2;0;0;0;0;0;0;3;46;18;2;0;0;85,050926;106.296;338021;118839;229599;787500;1.0355e+06;186676
13_0;1;0;0;2;0;0;0;0;36;13;1;0;0;0;0;0;0;3;36;13;1;0;0;93,069444;105.205;0;87740.9;227243;52500;31500;13334
14_0;1;1;0;2;0;0;0;0;38;14;0;1;0;0;0;0;0;3;38;14;0;1;0;91,805556;84.6637;0;116836;182873;337500;87500;13334
15_0;2;0;0;2;0;0;0;0;36;20;1;0;0;0;0;0;0;3;36;20;1;0;0;92,745370;83.6099;0;81436.1;180597;105000;38500;13334
16_0;1;0;0;2;0;0;0;0;36;10;2;0;0;0;0;0;0;3;36;10;2;0;0;93,129630;93.2017;0;75306.9;201316;52500;47000;13334
17_0;1;1;1;7;0;0;0;0;37;13;2;0;3;0;0;1;0;0;37;13;3;0;0;97,557870;102.297;0;106287;1636.76;4837500;1.0535e+06;46669
18_0;3;0;0;4;0;3;0;0;37;12;2;0;0;0;0;0;0;0;37;12;1;0;0;97,613426;124.668;22440.3;106093;0;157500;104500;26668
19_0;2;0;0;3;0;0;0;0;36;18;0;0;0;0;0;0;0;0;36;18;0;0;0;97,916667;128.355;0;115519;0;105000;18000;20001
20_0;4;0;0;3;0;2;0;0;35;13;0;0;0;0;0;0;1;2;35;13;0;1;2;96,567130;169.512;20341.4;133067;97977.9;210000;50000;20001
21_0;4;0;0;3;0;0;0;0;40;19;0;0;0;0;0;0;1;2;40;19;0;0;0;92,731481;155.618;0;152506;336135;210000;19000;20001
22_0;2;1;0;4;0;0;0;0;31;15;0;1;0;0;0;0;0;3;31;15;0;0;1;94,796296;149.164;0;117988;217331;390000;88500;26668
23_0;3;0;0;3;0;2;0;0;38;15;1;0;0;0;0;0;0;3;38;15;1;0;0;92,629630;125.69;15082.8;113624;271490;157500;70500;20001
24_0;15;1;0;29;0;53;0;0;34;9;1;0;0;0;0;0;0;3;34;9;1;0;0;85,962963;106.296;338021;76958.2;229599;1072500;1.008e+06;193343
25_0;1;0;0;2;0;0;0;0;37;17;0;0;0;0;0;0;0;3;37;17;0;0;0;92,928241;105.205;0;94158.4;227243;52500;17000;13334
26_0;1;0;0;2;0;0;0;0;43;15;1;0;0;0;0;0;0;3;43;15;1;0;0;92,733796;84.6637;0;82885.7;182873;52500;33500;13334
27_0;1;1;0;2;0;0;0;0;34;15;2;1;0;0;0;0;0;3;34;15;2;1;0;91,740741;83.6099;0;117723;180597;337500;125500;13334
28_0;1;0;0;2;0;0;0;0;40;20;0;0;0;0;0;0;0;3;40;20;0;0;0;92,685185;93.2017;0;93201.6;201316;52500;20000;13334
29_0;3;0;0;3;0;0;0;0;83;28;2;0;0;0;0;0;0;3;83;28;2;0;0;95,332176;102.297;0;191603;220962;157500;65000;20001
0_1;1;0;0;2;0;0;0;0;34;12;2;0;0;0;0;0;0;0;34;12;2;0;0;98,106481;106.296;0;86950;0;52500;49000;13334
1_1;2;0;0;2;0;0;0;0;45;13;1;0;0;0;0;0;0;0;45;13;1;0;0;97,756944;105.205;0;101944;0;105000;31500;13334
2_1;1;0;0;2;0;0;0;0;34;15;2;0;0;0;0;0;0;1;34;15;2;0;1;96,648148;84.6637;0;74334.7;48258.3;52500;52000;13334
3_1;1;1;0;2;0;0;0;0;36;18;0;0;0;0;0;0;0;1;36;18;0;0;0;96,250000;83.6099;0;75248.9;60199.2;337500;18000;13334
4_1;1;0;0;2;0;0;0;0;35;18;1;0;0;0;0;0;0;1;35;18;1;0;0;96,206019;93.2017;0;85652.3;67105.2;52500;36500;13334
5_1;1;0;0;1;0;0;0;0;33;17;1;0;0;6;0;0;0;1;39;17;1;0;0;90,439815;102.297;0;88896.4;333592;52500;35500;6667
6_1;2;0;0;3;0;0;0;0;40;19;0;0;0;0;0;0;0;2;34;19;0;0;1;95,905093;124.668;0;113199;107340;105000;19000;20001
7_1;2;0;0;3;1;0;0;0;34;13;1;0;0;0;0;0;0;2;34;13;1;0;0;94,666667;128.355;7701.3;103197;184831;105000;50000;20001
8_1;3;0;0;3;0;0;0;0;35;18;2;0;0;0;0;0;1;2;35;18;2;1;0;93,958333;169.512;0;161545;280881;157500;55000;20001
9_1;3;0;0;3;1;0;0;0;40;14;0;0;0;0;0;0;2;2;40;14;0;1;0;92,305556;155.618;9337.08;136944;370993;157500;32500;20001
10_1;3;1;0;4;1;0;0;0;32;15;1;1;0;0;0;0;3;2;32;15;1;2;0;88,689815;149.164;8949.82;200476;519388;442500;125500;26668
11_1;3;0;0;4;4;0;0;0;40;9;1;0;0;0;0;0;3;3;40;9;1;0;1;88,752315;125.69;30165.6;102312;478250;157500;101500;26668
12_1;15;0;0;28;53;0;0;0;39;18;0;0;0;0;0;0;3;4;39;18;0;0;1;80,229167;106.296;338021;100450;469402;787500;998500;186676
13_1;1;0;0;2;0;0;0;0;43;10;1;0;0;0;0;0;3;4;43;10;1;0;0;86,298611;105.205;0;92475.1;530233;52500;28500;13334
14_1;1;1;0;2;0;0;0;0;35;12;1;4;0;0;0;0;0;4;35;12;1;1;0;90,076389;84.6637;0;119122;243831;337500;324500;13334
