Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;44;17;0;0;0;0;1;1;0;0;44;18;1;0;0;96,331019;106.296;0;106296;62183.1;52500;17000;13334
1_0;1;0;0;2;0;0;0;0;45;10;2;0;0;0;1;0;0;0;45;10;1;0;0;96,178241;105.205;0;97945.8;75747.5;52500;47000;13334
2_0;1;0;0;2;0;0;0;0;36;22;1;0;0;0;0;0;1;0;36;21;1;1;0;96,856481;84.6637;0;84833;30140.3;52500;40500;13334
3_0;1;0;0;3;0;0;0;0;40;18;1;0;0;0;0;0;2;0;40;18;1;1;0;94,458333;83.6099;0;83108.3;117054;52500;36500;20001
4_0;1;1;0;3;0;0;0;0;41;21;0;2;0;0;0;2;0;0;41;21;2;0;0;95,842593;93.2017;0;101310;66080;337500;168000;20001
5_0;2;0;0;2;0;0;0;0;35;16;4;0;0;0;0;0;2;0;35;16;2;2;0;95,333333;102.297;0;97898.6;108333;105000;90000;13334
6_0;2;0;0;3;1;0;0;0;36;19;1;0;0;0;0;0;3;1;36;19;1;1;1;93,138889;124.668;7480.11;118934;243103;105000;56000;20001
7_0;4;1;0;4;3;0;0;0;39;13;2;2;0;0;0;0;1;3;39;13;2;0;2;93,412037;128.355;23103.9;123863;218332;495000;252500;26668
8_0;3;0;0;3;1;0;0;0;36;21;2;0;0;0;0;0;1;4;36;21;2;0;1;90,766204;169.512;10170.7;174258;491754;157500;76500;20001
9_0;3;1;0;4;1;0;0;0;38;19;2;1;0;0;0;0;0;5;38;19;2;0;1;90,011574;155.618;9337.08;162465;499689;442500;148000;26668
10_0;3;0;0;3;2;0;0;0;27;15;1;0;0;0;0;0;0;6;27;15;1;0;1;88,180556;149.164;17899.6;110232;633498;157500;70500;20001
11_0;4;0;0;7;9;0;0;0;30;15;2;0;0;0;0;0;0;10;30;15;2;0;4;83,877315;125.69;67872.6;102814;704744;210000;218500;46669
12_0;12;0;0;24;43;0;0;0;41;14;1;0;1;0;0;0;0;10;41;14;1;0;1;71,756944;106.296;274243;257342;765330;630000;1.1625e+06;160008
13_0;1;0;0;2;0;0;0;0;35;19;1;0;1;0;0;0;2;11;35;19;1;2;2;74,712963;105.205;0;255753;893505;52500;372000;13334
14_0;1;1;0;3;0;0;0;0;33;17;1;2;1;0;0;0;0;11;33;17;1;0;1;76,081019;84.6637;0;204293;670536;337500;517000;20001
15_0;1;0;0;3;0;0;0;0;39;11;1;0;1;0;0;0;0;10;39;11;1;0;0;81,270833;83.6099;0;74496.5;601992;52500;364000;20001
16_0;1;1;0;3;0;0;0;0;42;13;2;1;1;0;0;0;0;9;42;13;2;1;0;81,435185;93.2017;0;143531;603947;337500;458000;20001
17_0;2;0;0;2;0;0;0;0;36;24;2;0;0;0;0;0;0;9;36;24;2;0;0;82,481481;102.297;0;111300;662887;105000;61000;13334
18_0;3;0;0;4;0;3;0;0;47;18;2;0;0;0;0;0;0;10;47;18;2;0;1;81,069444;124.668;22440.3;141249;855849;157500;110500;26668
19_0;3;0;0;3;0;2;0;0;28;21;1;0;0;0;0;0;0;10;28;21;1;0;0;81,032407;128.355;15402.6;112182;924156;157500;76500;20001
20_0;3;0;0;3;0;2;0;0;35;17;1;0;0;0;0;0;0;11;35;17;1;0;1;80,541667;169.512;20341.4;152391;1.25219e+06;157500;72500;20001
21_0;3;1;0;4;0;1;0;0;41;15;3;1;0;0;0;0;0;11;41;15;3;1;0;77,946759;155.618;9337.08;240741;1.23249e+06;442500;162500;26668
22_0;3;0;0;4;0;1;0;0;40;20;6;0;0;0;0;0;0;11;40;20;6;0;0;78,740741;149.164;8949.82;179593;1.18138e+06;157500;149500;26668
23_0;4;0;0;7;0;8;0;0;35;17;2;0;0;0;0;0;0;11;35;17;2;0;0;78,395833;125.69;60331.2;117269;995465;210000;202000;46669
24_0;12;0;0;24;0;43;0;0;39;10;0;0;1;0;0;0;0;10;39;10;0;0;0;75,423611;106.296;274243;88969.6;765330;630000;1.14e+06;160008
25_0;1;1;0;3;0;0;0;0;35;15;1;1;1;0;0;0;1;9;35;15;1;2;0;80,344907;105.205;0;151600;741695;337500;441500;20001
26_0;1;1;0;2;0;0;0;0;39;9;1;1;1;0;0;0;0;8;39;9;1;0;0;84,636574;84.6637;0;74250;487663;337500;435500;13334
27_0;1;0;0;3;0;0;0;0;42;17;0;0;1;0;0;0;0;8;42;17;0;0;1;80,967593;83.6099;0;205848;481593;52500;351500;20001
28_0;1;0;0;3;0;0;0;0;38;14;0;0;1;0;0;0;0;7;38;14;0;0;0;86,245370;93.2017;0;84067.9;469736;52500;348500;20001
29_0;3;1;0;4;0;0;0;0;76;25;3;0;0;0;0;0;0;7;76;25;3;0;0;92,150463;102.297;0;178202;515579;442500;80500;26668
0_1;1;0;0;2;0;0;0;0;37;13;2;0;0;0;0;0;0;0;37;13;2;0;0;97,956019;106.296;0;93859.2;0;52500;50000;13334
1_1;1;0;0;2;0;0;0;0;39;13;0;0;0;0;0;0;0;0;39;13;0;0;0;98,043981;105.205;0;88898.1;0;52500;13000;13334
2_1;1;0;0;2;0;0;0;0;36;13;3;0;0;0;0;0;1;0;36;13;3;1;0;97,449074;84.6637;0;76366.6;16932.7;52500;68500;13334
3_1;1;0;0;3;0;0;0;0;40;15;3;0;0;0;0;0;1;0;40;15;3;0;0;96,013889;83.6099;0;83777.2;60199.2;52500;70500;20001
4_1;1;1;0;3;0;0;0;0;32;16;3;2;1;0;0;1;0;0;32;16;4;1;1;91,837963;93.2017;0;274945;53684.2;337500;553000;20001
5_1;2;0;0;2;0;0;0;0;38;9;4;0;0;0;0;0;0;1;38;9;3;0;1;97,946759;102.297;0;89407.9;1329.87;105000;83000;13334
6_1;2;0;0;3;1;0;0;0;37;7;1;0;0;0;0;0;0;1;37;7;1;0;0;96,506944;124.668;7480.11;90883.3;89761.3;105000;44000;20001
7_1;4;1;0;4;3;0;0;0;40;13;1;0;0;0;0;0;0;1;40;13;1;0;0;95,847222;128.355;23103.9;114749;92415.6;495000;87000;26668
8_1;3;0;0;3;1;0;0;0;34;16;1;0;0;0;0;0;0;1;34;16;1;0;0;96,194444;169.512;10170.7;146458;122049;157500;53000;20001
9_1;3;1;0;4;1;0;0;0;37;15;2;0;0;0;0;0;0;1;37;15;2;0;0;96,057870;155.618;9337.08;143635;112045;442500;70500;26668
10_1;3;0;0;3;2;0;0;0;41;21;0;0;0;0;0;0;0;2;41;21;0;0;1;94,863426;149.164;17899.6;154384;158710;157500;58000;20001
11_1;4;0;0;7;9;0;0;0;35;16;1;0;0;0;0;0;0;2;35;16;1;0;0;93,381944;125.69;67872.6;110482;180994;210000;201000;46669
12_1;12;0;0;24;43;0;0;0;37;16;1;0;1;0;0;0;0;1;37;16;1;0;0;90,136574;106.296;274243;102150;76533;630000;1.1645e+06;160008
13_1;1;0;0;2;0;0;0;0;41;15;0;0;1;0;0;0;0;0;41;15;0;0;0;97,761574;105.205;0;101733;0;52500;349500;13334
14_1;1;1;0;3;0;0;0;0;32;17;1;2;0;0;0;0;0;0;32;17;1;2;0;95,569444;84.6637;0;162046;0;337500;182500;20001
