Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;48;23;0;0;0;0;0;1;0;0;48;23;1;0;0;97,811111;142;0;167560;284;52500;23000;20001
1_0;2;0;0;3;0;0;0;0;50;15;5;0;0;0;0;0;0;0;50;15;4;0;0;97,762963;142;0;171536;0;105000;107500;20001
2_0;2;0;0;3;0;0;0;0;49;17;3;0;0;0;0;0;0;2;49;17;3;0;2;96,875926;142;0;167134;72420;105000;72500;20001
3_0;2;0;0;3;0;0;0;0;49;18;0;0;0;0;0;0;0;2;49;18;0;0;0;95,305556;142;0;155490;204480;105000;18000;20001
4_0;2;0;0;3;0;0;0;0;51;22;2;0;0;0;0;0;0;2;51;22;2;0;0;94,975926;142;0;180766;204480;105000;59000;20001
5_0;2;1;0;4;0;0;0;0;52;13;1;1;0;0;0;0;0;4;52;13;1;1;2;93,433333;142;0;227768;275764;390000;105000;26668
6_0;3;0;0;5;5;0;0;0;53;13;3;0;0;0;0;0;0;4;53;13;3;0;0;91,968519;142;42600;164294;408960;157500;161000;33335
7_0;3;0;0;5;6;0;0;0;40;18;2;0;0;0;0;0;0;4;40;18;2;0;0;92,096296;142;51120;145976;408960;157500;166000;33335
8_0;3;0;0;5;5;0;0;0;49;16;1;0;0;0;0;0;0;5;49;16;1;0;1;91,790741;142;42600;154638;432248;157500;127000;33335
9_0;5;1;0;11;17;0;0;0;45;24;0;1;0;0;0;0;0;5;45;24;0;1;0;88,324074;142;144840;239270;511200;547500;412000;73337
10_0;3;0;0;8;9;0;0;0;49;20;4;0;0;0;0;0;0;5;49;20;4;0;0;89,979630;142;76680;180482;511200;157500;260500;53336
11_0;6;0;0;14;22;0;0;0;53;14;1;0;0;0;0;0;0;5;53;14;1;0;0;88,835185;142;187440;157478;511200;315000;439500;93338
12_0;4;0;0;8;11;0;0;0;40;20;0;0;0;0;0;0;0;6;40;20;0;0;1;89,675926;142;93720;142000;555930;210000;223500;53336
13_0;2;1;0;4;0;0;0;0;51;16;3;1;0;0;0;0;0;6;51;16;3;1;0;88,820370;142;0;243814;613440;390000;145000;26668
14_0;2;0;0;3;0;0;0;0;53;18;1;0;0;0;0;1;0;6;53;18;2;0;0;89,001852;142;0;168838;674500;105000;36500;20001
15_0;2;1;0;4;0;0;0;0;49;14;3;0;0;0;0;0;0;7;49;14;2;0;1;89,031481;142;0;156910;684156;390000;69500;26668
16_0;1;0;0;4;0;0;0;0;51;8;1;0;0;0;0;0;0;9;51;8;1;0;2;87,338889;142;0;136178;834676;52500;26500;26668
17_0;1;1;1;10;0;0;0;0;36;20;1;0;11;0;0;0;0;0;36;20;1;0;2;91,803704;142;0;628492;0;4837500;3.718e+06;66670
