Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;4;0;0;0;0;42;21;1;0;0;0;0;0;0;0;42;21;1;0;0;97,992593;106.296;0;115225;0;105000;39500;26668
1_0;2;0;0;4;0;0;0;0;46;15;0;1;0;0;0;0;0;0;46;15;0;1;0;97,185185;105.205;0;159911;0;105000;88500;26668
2_0;1;0;0;5;0;0;0;0;47;18;1;0;0;0;0;0;0;0;47;18;1;0;0;97,964815;84.6637;0;93045.4;0;52500;36500;33335
3_0;2;0;0;5;0;0;0;0;47;20;2;0;1;0;0;0;0;1;47;20;2;0;2;94,316667;83.6099;0;222820;33778.4;105000;391500;33335
4_0;2;0;0;5;0;0;0;0;46;21;2;0;1;0;0;2;0;1;46;21;4;0;1;92,033333;93.2017;0;248848;152105;105000;392500;33335
5_0;2;0;0;5;0;0;0;0;40;20;3;1;1;0;0;0;0;0;40;20;1;1;0;96,925926;102.297;0;169814;0;105000;483500;33335
6_0;3;0;0;4;2;0;0;0;47;18;1;0;0;0;0;0;0;1;47;18;1;0;1;97,162963;124.668;14960.2;137011;39021.2;157500;73500;26668
7_0;3;0;0;3;1;0;0;0;53;16;0;0;0;0;0;0;0;1;53;16;0;0;0;96,490741;128.355;7701.3;143116;92415.6;157500;34500;20001
8_0;3;0;0;3;0;0;0;0;47;19;2;0;0;0;0;0;0;1;47;19;2;0;0;96,531481;169.512;0;195447;122049;157500;56000;20001
9_0;4;0;0;4;2;0;0;0;51;17;4;0;0;0;0;0;0;3;51;17;4;0;2;94,209259;155.618;18674.2;193122;274821;210000;128000;26668
10_0;3;0;0;3;2;0;0;0;51;17;1;0;0;0;0;0;0;3;51;17;1;0;0;93,668519;149.164;17899.6;169897;322194;157500;72500;20001
11_0;6;0;0;10;15;0;0;0;40;19;0;0;0;0;0;0;0;4;40;19;0;0;1;92,075926;125.69;113121;123176;301530;315000;296500;66670
12_0;15;0;0;30;53;0;0;0;50;18;2;0;1;0;0;0;0;3;50;18;2;0;0;87,833333;106.296;338021;130744;229599;787500;1.37e+06;200010
13_0;2;0;0;5;0;0;0;0;49;20;2;1;1;0;0;0;0;2;49;20;2;1;0;94,027778;105.205;0;187791;151495;105000;465000;33335
14_0;2;0;0;5;0;1;0;0;44;18;3;0;1;0;0;0;0;2;44;18;3;0;1;92,381481;84.6637;5079.82;221311;121916;105000;426500;33335
15_0;1;0;0;5;0;0;0;0;46;17;0;1;1;0;0;0;0;2;46;17;0;1;1;91,681481;83.6099;0;255178;120398;52500;425000;33335
16_0;2;0;0;5;0;0;0;0;50;16;2;0;1;0;0;0;0;1;50;16;2;0;0;96,462963;93.2017;0;110910;67105.2;105000;387500;33335
17_0;2;0;0;5;0;0;0;0;44;17;0;0;1;0;0;0;0;0;44;17;0;0;0;98,051852;102.297;0;107617;0;105000;351500;33335
18_0;3;0;0;4;0;2;0;0;44;24;2;0;0;0;0;0;0;0;44;24;2;0;0;97,540741;124.668;14960.2;150599;0;157500;98000;26668
19_0;4;1;0;4;0;2;0;0;45;18;1;1;0;0;0;0;0;0;45;18;1;1;0;96,816667;128.355;15402.6;205240;0;495000;147000;26668
20_0;4;1;0;4;0;1;0;0;46;20;2;0;0;0;0;0;0;1;46;20;2;0;1;96,429630;169.512;10170.7;196295;120354;495000;75500;26668
21_0;3;1;0;4;0;1;0;0;48;12;3;0;0;0;0;0;0;2;48;12;3;0;1;96,120370;155.618;9337.08;165266;151416;442500;86000;26668
22_0;3;1;0;4;0;1;0;0;44;19;1;1;0;0;0;0;0;2;44;19;1;1;0;94,251852;149.164;8949.82;239259;214796;442500;129500;26668
23_0;6;0;0;10;0;14;0;0;49;29;1;0;0;0;0;0;0;2;49;29;1;0;0;93,279630;125.69;105580;169556;180994;315000;306500;66670
24_0;15;0;0;30;0;53;0;0;42;16;2;0;1;0;0;0;0;1;42;16;2;0;0;90,796296;106.296;338021;113737;76533;787500;1.368e+06;200010
25_0;2;0;0;5;0;0;1;0;49;24;6;0;1;0;0;0;0;1;49;24;6;0;1;93,164815;105.205;6312.29;306251;75747.5;105000;488000;33335
