Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;2;0;0;0;0;37;10;1;1;0;0;0;0;0;0;37;10;1;1;0;96,946759;149.164;0;196747;0;105000;102000;13334
1_0;2;0;0;2;0;0;0;0;41;15;0;0;0;0;0;0;0;0;41;15;0;0;0;97,881944;125.69;0;115006;0;105000;15000;13334
2_0;2;0;0;3;0;0;0;0;38;20;1;0;0;0;0;0;0;0;38;20;1;0;0;97,675926;106.296;0;106721;0;105000;38500;20001
3_0;1;0;0;2;0;0;0;0;37;15;0;0;0;0;0;0;0;0;37;15;0;0;0;98,020833;105.205;0;89950.2;0;52500;15000;13334
4_0;1;0;0;2;0;0;0;0;40;17;0;0;0;0;0;0;0;0;40;17;0;0;0;97,824074;84.6637;0;79583.8;0;52500;17000;13334
5_0;2;0;0;3;0;0;0;0;44;13;1;0;1;0;0;0;0;1;44;13;1;0;2;94,189815;83.6099;0;204510;5351.04;105000;366000;20001
6_0;1;0;0;3;0;0;0;0;33;16;1;0;1;0;0;0;0;0;33;16;1;0;0;97,914352;93.2017;0;83974.7;0;52500;369000;20001
7_0;2;0;0;3;0;0;0;0;31;18;2;1;1;0;0;0;0;1;31;18;2;1;2;93,192130;102.297;0;298197;2659.73;105000;463000;20001
8_0;2;0;0;3;0;0;0;0;33;17;2;0;1;0;0;0;0;1;33;17;2;0;1;92,789352;124.668;0;298581;89761.3;105000;388500;20001
9_0;11;0;0;14;23;0;0;0;35;9;1;0;0;0;0;0;0;2;35;9;1;0;1;93,263889;128.355;177130;94854.3;101529;577500;453000;93338
10_0;3;0;0;3;0;0;0;0;34;12;1;0;0;0;0;0;0;5;34;12;1;0;3;92,449074;169.512;0;132897;420051;157500;30500;20001
11_0;2;0;0;3;0;0;0;0;32;17;1;0;0;0;0;0;0;7;32;17;1;0;2;88,092593;155.618;0;132898;667601;105000;35500;20001
12_0;15;0;0;21;37;0;0;0;40;15;2;0;1;0;0;0;0;6;40;15;2;0;0;82,500000;149.164;331143;152147;644387;787500;1.071e+06;140007
13_0;2;0;0;3;0;0;0;0;37;17;2;0;1;0;0;0;0;5;37;17;2;0;0;89,317130;125.69;0;127575;452484;105000;388500;20001
14_0;2;0;0;2;0;0;0;0;33;18;0;0;1;0;0;0;0;4;33;18;0;0;0;91,233796;106.296;0;96410.3;306132;105000;352500;13334
15_0;1;0;0;2;0;0;0;0;33;23;1;0;1;0;0;0;0;3;33;23;1;0;0;92,590278;105.205;0;109518;227243;52500;376000;13334
16_0;1;0;0;2;0;0;0;0;40;9;1;0;1;0;0;0;0;4;40;9;1;0;2;88,587963;84.6637;0;195234;222157;52500;362000;13334
17_0;1;0;0;2;0;0;0;0;33;19;1;0;1;0;0;0;0;3;33;19;1;0;0;92,775463;83.6099;0;80349.2;180597;52500;372000;13334
18_0;2;0;0;3;0;0;0;0;34;17;2;1;1;0;0;0;0;2;34;17;2;1;0;93,194444;93.2017;0;139802;134210;105000;462000;20001
19_0;2;0;0;2;0;0;0;0;39;14;1;0;1;0;0;0;0;1;39;14;1;0;0;96,131944;102.297;0;97284.8;73654.1;105000;367000;13334
20_0;2;0;0;2;0;0;0;0;37;16;2;0;1;0;0;0;0;2;37;16;2;0;2;92,326389;124.668;0;303568;109708;105000;387500;13334
21_0;11;0;0;14;0;23;0;0;35;19;2;0;0;0;0;0;0;2;35;19;2;0;0;91,219907;128.355;177130;124889;184831;577500;481500;93338
22_0;3;0;0;3;0;0;0;0;31;17;1;0;0;0;0;0;0;2;31;17;1;0;0;94,724537;169.512;0;142221;244097;157500;35500;20001
