Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;47;17;1;0;0;0;0;0;0;0;47;17;1;0;0;98,001852;149.164;0;160948;0;105000;35500;20001
1_0;2;0;0;3;0;0;0;0;51;16;2;0;0;0;0;0;0;0;51;16;2;0;0;97,864815;125.69;0;144921;0;105000;53000;20001
2_0;2;0;0;3;0;0;0;0;46;23;3;0;0;0;0;0;0;0;46;23;3;0;0;97,681481;106.296;0;133082;0;105000;78500;20001
3_0;2;0;0;3;0;0;0;0;45;27;4;0;0;0;0;0;0;0;45;27;4;0;0;97,498148;105.205;0;142132;0;105000;101000;20001
4_0;1;0;0;3;0;0;0;0;51;7;2;0;0;0;0;0;0;2;51;7;2;0;2;96,270370;84.6637;0;82377.7;88134.9;52500;44000;20001
5_0;2;0;0;4;0;0;0;0;48;19;0;0;0;0;0;0;0;2;48;19;0;0;0;95,296296;83.6099;0;91970.9;120398;105000;19000;26668
6_0;5;1;0;9;12;0;0;0;48;21;1;0;0;0;0;0;0;3;48;21;1;0;1;93,768519;93.2017;67105.2;109419;137100;547500;261500;60003
7_0;2;0;0;3;1;0;0;0;39;18;1;0;0;0;0;0;0;5;39;18;1;0;2;93,083333;102.297;6137.84;100149;275794;105000;55000;20001
8_0;3;0;1;7;1;0;0;0;45;20;0;0;5;0;0;0;0;0;45;20;0;0;0;97,416667;124.668;7480.11;166432;0;4657500;1.711e+06;46669
9_0;13;0;0;16;27;0;0;0;43;26;1;0;0;0;0;0;1;0;43;26;1;1;0;93,757407;128.355;207935;153898;70852;682500;544000;106672
10_0;4;1;0;4;1;0;0;0;47;26;1;1;0;0;0;0;0;0;47;26;1;0;0;97,509259;169.512;10170.7;217823;0;495000;136500;26668
11_0;4;0;0;3;1;0;0;0;40;22;2;0;0;0;0;0;0;0;40;22;2;0;0;97,837037;155.618;9337.08;172425;0;210000;77500;20001
12_0;14;1;0;18;32;0;0;0;43;15;2;0;0;0;0;0;0;1;43;15;2;0;1;94,531481;149.164;286394;151103;2983.27;1020000;644000;120006
13_0;2;1;0;4;0;1;0;0;50;23;0;1;0;0;0;0;0;1;50;23;0;1;0;95,333333;125.69;7541.4;218701;90496.8;390000;115000;26668
14_0;2;0;0;3;0;2;0;0;46;15;2;0;0;0;0;0;1;1;46;15;2;1;0;95,433333;106.296;12755.5;112461;136909;105000;89000;20001
15_0;2;1;0;4;0;1;0;0;42;18;1;1;0;0;0;0;1;2;42;18;1;1;1;93,383333;105.205;6312.29;163488;206096;390000;128500;26668
16_0;2;0;0;4;0;2;0;0;44;16;2;0;0;0;0;0;1;2;44;16;2;0;0;93,837037;84.6637;10159.6;88727.5;182873;105000;90000;26668
17_0;3;1;0;5;0;3;0;0;49;21;0;2;0;0;0;1;0;3;49;21;1;1;1;93,461111;83.6099;15049.8;143057;137120;442500;223500;33335
18_0;2;0;0;4;0;3;0;0;48;23;2;0;0;0;0;1;0;4;48;23;2;0;1;91,250000;93.2017;16776.3;116316;307286;105000;115500;26668
19_0;3;0;1;10;0;2;0;0;52;11;2;0;4;0;0;0;0;0;52;11;1;0;0;97,437037;102.297;12275.7;129304;0;4657500;1.423e+06;66670
20_0;2;0;0;3;0;0;0;0;49;17;0;0;0;0;0;0;0;0;49;17;0;0;0;98,009259;124.668;0;134019;0;105000;17000;20001
21_0;13;0;0;16;0;27;0;0;48;19;3;0;0;0;0;0;0;1;48;19;3;0;1;93,909259;128.355;207935;154283;59941.8;682500;574000;106672
22_0;4;1;0;4;0;1;0;0;39;21;0;0;0;0;0;0;0;2;39;21;0;0;1;96,025926;169.512;10170.7;170360;183242;495000;39500;26668
23_0;4;0;0;4;0;1;0;0;51;20;0;0;0;0;0;0;0;2;51;20;0;0;0;95,064815;155.618;9337.08;181295;224090;210000;38500;26668
24_0;14;0;0;18;0;32;0;0;44;18;1;0;0;0;0;0;2;2;44;18;1;2;0;91,227778;149.164;286394;157219;262976;735000;628500;120006
25_0;3;0;0;4;0;0;2;0;55;22;3;0;0;0;0;0;2;2;55;22;3;0;0;91,912963;125.69;15082.8;171818;361987;157500;114500;26668
26_0;2;1;0;4;0;0;2;0;37;19;4;2;0;0;0;0;0;3;37;19;4;0;1;94,301852;106.296;12755.5;119370;194947;390000;277000;26668
27_0;2;0;0;4;0;0;2;0;44;22;1;0;0;0;0;0;0;3;44;22;1;0;0;93,677778;105.205;12624.6;119302;227243;105000;77500;26668
28_0;2;0;0;4;0;0;3;0;46;17;0;0;0;0;0;0;0;4;46;17;0;0;1;93,100000;84.6637;15239.5;87203.6;213014;105000;72500;26668
29_0;3;0;0;4;0;0;3;0;46;23;2;0;0;0;0;0;0;4;46;23;2;0;0;92,077778;83.6099;15049.8;101837;240797;157500;115500;26668
30_0;3;0;0;4;0;0;2;0;58;25;4;0;0;0;0;0;0;5;58;25;4;0;1;91,614815;93.2017;11184.2;140362;270471;157500;136000;26668
31_0;2;0;0;3;0;0;0;0;47;17;1;0;0;0;0;0;0;6;47;17;1;0;1;90,088889;102.297;0;110379;437117;105000;35500;20001
32_0;4;0;0;5;0;0;0;0;90;41;3;0;0;0;0;0;0;6;90;41;3;0;0;93,896296;124.668;0;283247;538568;210000;96500;33335
0_1;2;0;0;3;0;0;0;0;44;17;1;0;0;0;0;0;0;0;44;17;1;0;0;98,085185;149.164;0;154235;0;105000;35500;20001
1_1;2;0;0;3;0;0;0;0;44;14;2;0;0;0;0;0;0;0;44;14;2;0;0;98,133333;125.69;0;126696;0;105000;51000;20001
2_1;2;0;0;3;0;0;0;0;47;20;1;0;0;0;0;0;0;2;47;20;1;0;2;96,683333;106.296;0;121071;69304.9;105000;38500;20001
3_1;2;0;0;3;0;0;0;0;46;16;1;0;0;0;0;0;0;2;46;16;1;0;0;95,400000;105.205;0;109834;151495;105000;34500;20001
