Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;2;0;0;0;0;49;22;1;0;0;0;0;0;0;0;49;22;1;0;0;97,761111;149.164;0;180339;0;105000;40500;13334
1_0;2;0;0;2;0;0;0;0;45;16;3;0;0;0;0;0;0;0;45;16;3;0;0;97,968519;125.69;0;137882;0;105000;71500;13334
2_0;2;1;0;3;0;0;0;0;43;21;3;0;0;0;0;0;0;0;43;21;3;0;0;97,838889;106.296;0;124047;0;390000;76500;20001
3_0;2;0;0;2;0;0;0;0;56;16;4;0;0;0;0;1;0;0;56;16;5;0;0;96,412963;105.205;0;136346;67436.3;105000;90000;13334
4_0;2;0;0;2;0;0;0;0;44;24;3;0;0;0;0;0;1;0;44;24;2;1;0;96,677778;84.6637;0;104136;47750.3;105000;79500;13334
5_0;2;0;0;2;0;0;0;0;46;20;0;0;0;0;0;0;2;0;46;20;0;1;0;96,396296;83.6099;0;91134.8;71570.1;105000;20000;13334
6_0;2;0;0;4;3;0;0;0;43;18;1;0;0;0;0;0;2;0;43;18;1;0;0;95,075926;93.2017;16776.3;96836.5;134210;105000;92000;26668
7_0;2;0;0;3;1;0;0;0;46;33;1;0;0;0;0;0;2;0;46;33;1;0;0;94,659259;102.297;6137.84;141580;147308;105000;70000;20001
8_0;2;1;0;3;0;0;0;0;47;18;2;4;0;0;0;0;0;0;47;18;2;2;0;95,842593;124.668;0;279881;0;390000;349000;20001
9_0;15;1;0;19;31;0;0;0;47;26;4;0;0;0;0;0;0;0;47;26;4;0;0;94,035185;128.355;238740;174691;0;1072500;673500;126673
10_0;4;0;0;4;2;0;0;0;45;19;0;0;0;0;0;0;0;0;45;19;0;0;0;97,824074;169.512;20341.4;178835;0;210000;56000;26668
11_0;4;0;0;4;2;0;0;0;47;16;1;0;0;0;0;0;0;0;47;16;1;0;0;97,816667;155.618;18674.2;164799;0;210000;71500;26668
12_0;15;1;0;21;36;0;0;0;50;16;1;0;0;0;0;0;0;2;50;16;1;0;2;91,714815;149.164;322194;164677;180488;1072500;700500;140007
