Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;38;14;2;0;0;0;0;0;0;0;38;14;2;0;0;97,875000;149.164;0;136932;0;105000;51000;20001
1_0;2;0;0;3;0;0;0;0;45;14;4;0;0;0;0;0;0;0;45;14;4;0;0;97,474537;125.69;0;137128;0;105000;88000;20001
2_0;2;0;0;3;0;0;0;0;39;20;0;0;0;0;0;0;0;0;39;20;0;0;0;97,719907;106.296;0;104701;0;105000;20000;20001
3_0;1;0;0;3;0;0;0;0;36;16;2;0;0;0;1;0;0;0;36;17;2;0;0;97,418981;105.205;0;97630.2;19673.3;52500;53000;20001
4_0;2;1;0;4;0;0;0;0;46;17;1;0;0;0;0;0;0;1;46;16;1;0;1;96,206019;84.6637;0;89066.2;49697.6;390000;35500;26668
5_0;1;0;0;3;0;0;0;0;35;16;2;0;0;0;0;0;0;3;35;16;2;0;2;94,101852;83.6099;0;76335.9;136702;52500;53000;20001
6_0;2;0;0;4;4;0;0;0;34;11;0;0;0;0;0;0;0;3;34;11;0;0;0;92,754630;93.2017;22368.4;68037.2;201316;105000;85000;26668
7_0;2;0;0;3;2;0;0;0;38;14;2;0;0;0;0;0;0;3;38;14;2;0;0;92,597222;102.297;12275.7;93909;220962;105000;88000;20001
8_0;2;0;0;3;0;0;0;0;35;15;1;0;0;0;0;0;0;4;35;15;1;0;1;91,405093;124.668;0;107090;355804;105000;33500;20001
9_0;9;0;0;11;17;0;0;0;40;13;0;0;0;0;0;0;1;4;40;13;0;1;0;88,053241;128.355;130922;110385;421133;472500;327500;73337
10_0;3;1;0;4;1;0;0;0;37;14;3;1;0;0;0;0;0;4;37;14;3;0;0;90,965278;169.512;10170.7;163240;488195;442500;161500;26668
11_0;3;0;0;3;2;0;0;0;39;15;1;0;0;0;0;0;0;4;39;15;1;0;0;90,928241;155.618;18674.2;143013;448180;157500;70500;20001
12_0;14;0;0;19;34;0;0;0;36;18;1;0;0;0;0;0;0;4;36;18;1;0;0;86,449074;149.164;304294;139319;429591;735000;665500;126673
13_0;2;0;0;3;0;1;0;0;38;24;2;0;0;0;0;0;0;4;38;24;2;0;0;90,606481;125.69;7541.4;140521;361987;105000;79500;20001
14_0;2;0;0;3;0;2;0;0;41;17;2;0;0;0;0;0;0;4;41;17;2;0;0;90,687500;106.296;12755.5;108741;306132;105000;91000;20001
15_0;2;0;0;3;0;2;0;0;36;16;3;0;0;0;0;1;0;4;36;16;4;0;0;90,615741;105.205;12624.6;101207;312669;105000;108500;20001
16_0;2;0;0;3;0;0;0;0;34;13;2;0;0;0;0;0;0;4;34;13;1;0;0;91,421296;84.6637;0;69932.2;243831;105000;50000;20001
17_0;1;0;1;5;0;0;0;0;38;13;1;0;4;0;0;0;0;0;38;13;1;0;0;97,518519;83.6099;0;89629.9;0;4552500;1.3695e+06;33335
18_0;1;1;0;4;0;0;0;0;34;12;2;0;0;0;0;0;0;0;34;12;2;0;0;98,106481;93.2017;0;76238.9;0;337500;49000;26668
19_0;2;0;0;3;0;1;0;0;37;14;0;0;0;0;0;0;1;0;37;14;0;1;0;97,435185;102.297;6137.84;85418.3;21789.3;105000;32500;20001
20_0;2;1;0;4;0;0;0;0;36;23;1;1;0;0;0;0;0;0;36;23;1;0;0;97,546296;124.668;0;132149;0;390000;115000;26668
