Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;62;17;2;0;0;0;0;0;0;0;62;17;2;0;0;98,141667;106.296;0;142224;0;105000;54000;20001
1_0;2;0;0;3;0;0;0;0;62;29;2;0;0;0;0;0;0;0;62;29;2;0;0;97,808333;105.205;0;166013;0;105000;66000;20001
2_0;2;0;0;3;0;0;0;0;59;30;0;0;0;0;0;0;0;0;59;30;0;0;0;97,937500;84.6637;0;125726;0;105000;30000;20001
3_0;2;0;0;4;0;0;0;0;60;20;1;0;1;0;0;0;0;0;60;20;1;0;1;96,075000;83.6099;0;236282;0;105000;373000;26668
4_0;2;0;0;4;0;0;0;0;63;30;2;1;1;0;0;0;0;0;63;30;2;1;1;94,951389;93.2017;0;338788;0;105000;475000;26668
5_0;4;0;0;6;0;0;0;0;114;51;6;0;0;0;0;0;0;1;114;51;6;0;1;97,900000;102.297;0;300140;9206.76;210000;162000;40002
0_1;2;0;0;3;0;0;0;0;62;22;1;0;0;0;0;0;0;0;62;22;1;0;0;98,050000;106.296;0;149239;0;105000;40500;20001
1_1;2;0;0;3;0;0;0;0;69;28;2;1;0;0;0;0;0;0;69;28;2;1;0;96,954167;105.205;0;230714;0;105000;138500;20001
2_1;2;0;0;3;0;0;0;0;55;30;1;0;0;0;0;0;0;0;55;30;1;0;0;97,973611;84.6637;0;123524;0;105000;48500;20001
3_1;2;0;0;4;0;0;0;0;64;22;2;0;1;0;0;0;0;0;64;22;2;0;1;95,888889;83.6099;0;247485;0;105000;393500;26668
4_1;2;0;0;4;0;0;0;0;59;24;4;0;1;0;0;0;0;1;59;24;4;0;2;95,494444;93.2017;0;278953;23393.6;105000;432500;26668
5_1;4;0;0;6;0;0;0;0;130;57;4;1;0;0;0;0;0;1;130;57;4;1;0;96,891667;102.297;0;384229;73654.1;210000;204500;40002
0_2;2;0;0;3;0;0;0;0;59;19;3;0;0;0;0;0;0;0;59;19;3;0;0;98,101389;106.296;0;145306;0;105000;74500;20001
1_2;2;0;0;3;0;0;0;0;63;24;0;0;0;0;0;0;0;0;63;24;0;0;0;98,020833;105.205;0;149917;0;105000;24000;20001
2_2;2;0;0;3;0;0;0;0;72;24;5;0;0;0;0;0;0;0;72;24;5;0;0;97,597222;84.6637;0;146468;0;105000;116500;20001
3_2;2;0;0;4;0;0;0;0;66;18;0;0;0;0;0;0;0;0;66;18;0;0;0;98,125000;83.6099;0;112873;0;105000;18000;26668
4_2;2;0;0;4;0;0;0;0;65;28;3;1;1;0;0;0;0;0;65;28;3;1;1;94,918056;93.2017;0;341025;0;105000;491500;26668
