Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;28;10;1;0;0;0;0;0;0;0;28;10;1;0;0;98,486111;106.296;0;69517.5;0;105000;28500;20001
1_0;2;0;0;3;0;0;0;0;38;16;1;0;0;0;0;0;0;0;38;16;1;0;0;97,861111;105.205;0;97209.3;0;105000;34500;20001
2_0;2;0;0;3;0;0;0;0;45;14;3;0;0;0;0;0;0;0;45;14;3;0;0;97,553241;84.6637;0;89489.5;0;105000;69500;20001
3_0;2;1;0;4;0;0;0;0;39;12;2;0;0;0;0;0;0;1;39;12;2;0;1;97,581019;83.6099;0;74663.7;12708.7;390000;49000;26668
4_0;2;0;0;3;0;0;0;0;30;10;1;0;0;0;0;0;0;2;30;10;1;0;1;96,587963;93.2017;0;63749.9;73629.3;105000;28500;20001
5_0;3;0;0;4;0;0;0;0;73;32;3;0;0;0;0;0;0;2;73;32;3;0;0;96,207176;102.297;0;187920;147308;157500;87500;26668
0_1;2;0;0;3;0;0;0;0;43;12;1;0;0;0;0;0;0;0;43;12;1;0;0;97,872685;106.296;0;97685.9;0;105000;30500;20001
1_1;2;0;0;3;0;0;0;0;38;15;1;0;0;0;0;0;0;0;38;15;1;0;0;97,907407;105.205;0;95105.2;0;105000;33500;20001
2_1;2;0;0;3;0;0;0;0;38;13;2;0;0;0;0;0;0;0;38;13;2;0;0;97,921296;84.6637;0;76028;0;105000;50000;20001
3_1;2;1;0;4;0;0;0;0;40;16;0;0;0;0;0;0;0;0;40;16;0;0;0;97,870370;83.6099;0;76921.1;0;390000;16000;26668
4_1;2;0;0;3;0;0;0;0;34;12;2;0;0;0;0;0;0;1;34;12;2;0;1;97,606481;93.2017;0;76238.9;20131.6;105000;49000;20001
5_1;3;0;0;4;0;0;0;0;67;30;7;0;0;0;0;0;1;2;67;30;7;1;1;96,332176;102.297;0;188534;135646;157500;159500;26668
0_2;2;0;0;3;0;0;0;0;33;12;1;0;0;0;0;0;0;0;33;12;1;0;0;98,219907;106.296;0;81741.5;0;105000;30500;20001
1_2;2;0;0;3;0;0;0;0;38;21;1;0;0;0;0;0;1;0;38;21;1;1;0;96,407407;105.205;0;107730;55548.2;105000;39500;20001
2_2;2;0;0;3;0;0;0;0;41;15;0;0;0;0;0;0;1;0;41;15;0;0;0;96,215278;84.6637;0;77467.2;60957.8;105000;15000;20001
3_2;2;1;0;4;0;0;0;0;36;11;0;1;0;0;0;0;0;0;36;11;0;0;0;98,180556;83.6099;0;65717.4;0;390000;84500;26668
4_2;2;0;0;3;0;0;0;0;39;11;0;0;0;0;0;0;0;0;39;11;0;0;0;98,136574;93.2017;0;75027.3;0;105000;11000;20001
5_2;3;0;0;4;0;0;0;0;78;30;3;0;0;0;0;0;0;0;78;30;3;0;0;97,833333;102.297;0;191501;0;157500;85500;26668
0_3;2;0;0;3;0;0;0;0;37;20;1;0;0;0;0;0;1;0;37;20;1;1;0;96,740741;106.296;0;105127;44538;105000;38500;20001
1_3;2;0;0;3;0;0;0;0;32;13;1;0;0;0;0;0;1;0;32;13;1;0;0;96,541667;105.205;0;81428.6;75747.5;105000;31500;20001
2_3;2;0;0;3;0;0;0;0;43;15;0;0;0;0;0;0;1;0;43;15;0;0;0;96,145833;84.6637;0;80007.1;60957.8;105000;15000;20001
3_3;2;1;0;4;0;0;0;0;40;14;3;1;0;0;0;0;0;0;40;14;3;0;0;97,666667;83.6099;0;84278.8;0;390000;143000;26668
4_3;2;0;0;3;0;0;0;0;45;15;5;0;0;0;0;0;0;1;45;15;5;0;1;96,118056;93.2017;0;106716;49583.3;105000;107500;20001
5_3;3;0;0;4;0;0;0;0;62;32;4;0;0;0;0;0;0;1;62;32;4;0;0;97,192130;102.297;0;174519;73654.1;157500;106000;26668
0_4;2;0;0;3;0;0;0;0;36;15;2;0;0;0;0;0;1;0;36;15;2;1;0;97,821759;106.296;0;96516.6;3507.76;105000;52000;20001
1_4;2;0;0;3;0;0;0;0;29;18;1;0;0;0;0;0;1;0;29;18;1;0;0;96,414352;105.205;0;87214.9;75747.5;105000;36500;20001
2_4;2;0;0;3;0;0;0;0;40;16;2;0;0;0;0;0;1;0;40;16;2;0;0;96,046296;84.6637;0;83647.7;60957.8;105000;53000;20001
3_4;2;1;0;4;0;0;0;0;41;11;1;3;0;0;0;0;0;1;41;11;1;2;1;95,034722;83.6099;0;163457;15885.9;390000;250000;26668
4_4;2;0;0;3;0;0;0;0;38;18;0;0;0;0;0;0;0;1;38;18;0;0;0;96,180556;93.2017;0;86677.5;67105.2;105000;18000;20001
5_4;3;0;0;4;0;0;0;0;82;21;5;0;0;0;0;0;0;1;82;21;5;0;0;97,060185;102.297;0;186181;73654.1;157500;113500;26668
