Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;44;13;2;0;0;0;0;0;0;0;44;13;2;0;0;98,170370;142;0;140296;0;52500;50000;13334
1_0;1;0;0;2;0;0;0;0;44;20;2;0;0;0;0;0;2;0;44;20;2;2;0;96,020370;142;0;160176;144982;52500;57000;13334
2_0;2;1;0;3;0;0;0;0;49;11;0;2;0;0;0;0;0;0;49;11;0;0;0;98,135185;142;0;142994;0;390000;158000;20001
3_0;1;0;0;2;0;0;0;0;48;18;3;0;0;0;0;0;0;1;48;18;3;0;1;97,733333;142;0;167844;5964;52500;73500;13334
4_0;2;0;0;2;0;0;0;0;53;21;1;0;0;0;0;0;0;1;53;21;1;0;0;96,353704;142;0;177358;102240;105000;39500;13334
5_0;2;0;0;4;0;0;0;0;98;41;0;0;0;0;0;0;0;1;98;41;0;0;0;97,212963;142;0;325180;102240;105000;41000;26668
0_1;1;0;0;2;0;0;0;0;46;23;3;0;0;0;0;0;0;0;46;23;3;0;0;97,681481;142;0;177784;0;52500;78500;13334
1_1;1;0;0;2;0;0;0;0;52;22;1;0;0;0;0;0;0;0;52;22;1;0;0;97,677778;142;0;178068;0;52500;40500;13334
2_1;2;1;0;3;0;0;0;0;45;24;4;0;0;0;0;0;0;0;45;24;4;0;0;97,609259;142;0;183322;0;390000;98000;20001
3_1;1;0;0;2;0;0;0;0;42;15;1;0;0;0;0;0;0;1;42;15;1;0;1;96,911111;142;0;136888;99968;52500;33500;13334
4_1;2;0;0;2;0;0;0;0;46;18;2;0;0;0;0;0;0;4;46;18;2;0;3;94,485185;142;0;158756;264120;105000;55000;13334
5_1;2;0;0;4;0;0;0;0;90;29;0;0;0;0;0;0;0;4;90;29;0;0;0;95,546296;142;0;274060;408960;105000;29000;26668
0_2;1;0;0;2;0;0;0;0;45;18;2;0;0;0;0;0;0;0;45;18;2;0;0;97,957407;142;0;156626;0;52500;55000;13334
1_2;1;0;0;2;0;0;0;0;55;19;0;0;0;0;0;0;0;0;55;19;0;0;0;97,768519;142;0;171110;0;52500;19000;13334
2_2;2;1;0;3;0;0;0;0;37;20;1;0;0;0;0;0;0;0;37;20;1;0;0;98,168519;142;0;140438;0;390000;38500;20001
3_2;1;0;0;2;0;0;0;0;48;17;2;0;0;0;0;0;0;0;48;17;2;0;0;97,911111;142;0;160176;0;52500;54000;13334
4_2;2;0;0;2;0;0;0;0;51;19;4;0;0;0;0;0;0;1;51;19;4;0;1;96,957407;142;0;181902;51404;105000;93000;13334
5_2;2;0;0;4;0;0;0;0;91;39;2;0;0;0;0;0;0;1;91;39;2;0;0;97,284259;142;0;314246;102240;105000;76000;26668
0_3;1;0;0;2;0;0;0;0;48;14;4;0;0;0;0;0;0;0;48;14;4;0;0;97,896296;142;0;161312;0;52500;88000;13334
1_3;1;0;0;2;0;0;0;0;50;19;1;0;0;0;0;0;0;0;50;19;1;0;0;97,844444;142;0;165288;0;52500;37500;13334
2_3;2;1;0;3;0;0;0;0;46;22;2;1;0;0;0;0;0;2;46;22;2;1;2;94,875926;142;0;245376;147538;390000;132500;20001
3_3;1;0;0;2;0;0;0;0;47;22;3;0;0;0;0;0;0;3;47;22;3;0;1;94,466667;142;0;177074;247222;52500;77500;13334
4_3;2;0;0;2;0;0;0;0;44;17;2;0;0;0;0;0;0;3;44;17;2;0;0;94,022222;142;0;151656;306720;105000;54000;13334
5_3;2;0;0;4;0;0;0;0;81;40;4;0;0;0;0;0;0;4;81;40;4;0;1;95,837963;142;0;305442;332848;105000;114000;26668
0_4;1;0;0;2;0;0;0;0;48;13;1;0;0;0;0;0;0;0;48;13;1;0;0;98,122222;142;0;143988;0;52500;31500;13334
1_4;1;0;0;2;0;0;0;0;50;17;2;0;0;0;0;0;0;0;50;17;2;0;0;97,855556;142;0;164436;0;52500;54000;13334
2_4;2;1;0;3;0;0;0;0;49;18;0;0;0;0;0;0;0;0;49;18;0;0;0;97,972222;142;0;155490;0;390000;18000;20001
3_4;1;0;0;2;0;0;0;0;37;18;1;0;0;0;0;0;0;2;37;18;1;0;2;96,270370;142;0;134758;151230;52500;36500;13334
4_4;2;0;0;2;0;0;0;0;47;17;3;0;0;0;0;0;0;2;47;17;3;0;0;95,209259;142;0;162874;204480;105000;72500;13334
5_4;2;0;0;4;0;0;0;0;98;30;3;0;0;0;0;0;0;2;98;30;3;0;0;96,655556;142;0;308424;204480;105000;85500;26668
